,Symbol,Step Value,Expiry
620,INFY,20,2025-03-27
622,INFY,40,2025-04-24
624,IOC,5,2025-02-27
626,IOC,5,2025-03-27
628,IOC,5,2025-04-24
630,IPCALAB,20,2025-02-27
632,IRB,1,2025-02-27
634,IRB,1,2025-03-27
636,IRB,2,2025-04-24
638,IRCTC,10,2025-02-27
640,IRCTC,10,2025-03-27
642,IRCTC,20,2025-04-24
644,IRFC,5,2025-02-27
646,IRFC,5,2025-03-27
648,IRFC,5,2025-04-24
650,ITC,5,2025-02-27
652,ITC,5,2025-03-27
654,ITC,10,2025-04-24
656,JINDALSTEL,20,2025-02-27
658,JINDALSTEL,20,2025-03-27
660,JINDALSTEL,40,2025-04-24
662,JIOFIN,5,2025-02-27
664,JIOFIN,5,2025-03-27
666,JIOFIN,10,2025-04-24
668,JKCEMENT,50,2025-02-27
670,JKCEMENT,50,2025-03-27
672,JSL,10,2025-02-27
674,JSL,10,2025-03-27
676,JSL,20,2025-04-24
678,JSWENERGY,10,2025-02-27
680,JSWENERGY,10,2025-03-27
682,JSWENERGY,20,2025-04-24
684,JSWSTEEL,10,2025-02-27
686,JSWSTEEL,10,2025-03-27
688,JSWSTEEL,20,2025-04-24
690,JUBLFOOD,10,2025-02-27
692,JUBLFOOD,10,2025-03-27
694,JUBLFOOD,20,2025-04-24
696,KALYANKJIL,20,2025-02-27
699,KALYANKJIL,20,2025-03-27
701,KALYANKJIL,40,2025-04-24
703,KEI,100,2025-02-27
705,KEI,100,2025-03-27
706,KEI,200,2025-04-24
709,KOTAKBANK,20,2025-02-27
710,KOTAKBANK,20,2025-03-27
713,KOTAKBANK,40,2025-04-24
715,KPITTECH,20,2025-02-27
717,KPITTECH,20,2025-03-27
718,KPITTECH,40,2025-04-24
720,LALPATHLAB,50,2025-02-27
722,LAURUSLABS,10,2025-02-27
724,LAURUSLABS,10,2025-03-27
726,LAURUSLABS,20,2025-04-24
728,LICHSGFIN,10,2025-02-27
730,LICHSGFIN,10,2025-03-27
732,LICHSGFIN,20,2025-04-24
734,LICI,10,2025-02-27
736,LICI,10,2025-03-27
738,LICI,20,2025-04-24
740,LODHA,20,2025-02-27
742,LODHA,20,2025-03-27
744,LODHA,40,2025-04-24
746,LT,50,2025-02-27
748,LT,50,2025-03-27
750,LT,100,2025-04-24
752,LTF,5,2025-02-27
754,LTF,5,2025-03-27
756,LTF,5,2025-04-24
758,LTIM,100,2025-02-27
760,LTIM,100,2025-03-27
762,LTIM,200,2025-04-24
764,LTTS,50,2025-02-27
766,LTTS,50,2025-03-27
768,LUPIN,20,2025-02-27
770,LUPIN,20,2025-03-27
772,LUPIN,40,2025-04-24
774,M&M,50,2025-02-27
776,M&M,50,2025-03-27
778,M&M,100,2025-04-24
780,M&MFIN,5,2025-02-27
782,M&MFIN,5,2025-03-27
784,M&MFIN,10,2025-04-24
786,MANAPPURAM,5,2025-02-27
788,MANAPPURAM,5,2025-03-27
790,MANAPPURAM,5,2025-04-24
792,MARICO,10,2025-02-27
794,MARICO,10,2025-03-27
796,MARICO,20,2025-04-24
798,MARUTI,100,2025-02-27
800,MARUTI,100,2025-03-27
802,MARUTI,200,2025-04-24
804,MAXHEALTH,20,2025-02-27
806,MAXHEALTH,20,2025-03-27
808,MAXHEALTH,40,2025-04-24
810,MCX,100,2025-02-27
812,MCX,100,2025-03-27
814,MCX,200,2025-04-24
816,METROPOLIS,20,2025-02-27
819,MFSL,20,2025-02-27
820,MFSL,20,2025-03-27
822,MFSL,40,2025-04-24
824,MGL,20,2025-02-27
826,MGL,20,2025-03-27
828,MGL,40,2025-04-24
830,MOTHERSON,5,2025-02-27
832,MOTHERSON,5,2025-03-27
834,MOTHERSON,5,2025-04-24
837,MPHASIS,50,2025-02-27
839,MPHASIS,50,2025-03-27
841,MPHASIS,100,2025-04-24
843,MRF,500,2025-02-27
845,MRF,500,2025-03-27
847,MRF,1000,2025-04-24
848,MUTHOOTFIN,20,2025-02-27
850,MUTHOOTFIN,20,2025-03-27
853,MUTHOOTFIN,40,2025-04-24
854,NATIONALUM,5,2025-02-27
856,NATIONALUM,5,2025-03-27
858,NATIONALUM,10,2025-04-24
860,NAUKRI,100,2025-02-27
863,NAUKRI,100,2025-03-27
864,NAUKRI,200,2025-04-24
866,NAVINFLUOR,50,2025-02-27
869,NBCC,5,2025-02-27
871,NBCC,5,2025-03-27
872,NBCC,5,2025-04-24
874,NCC,5,2025-02-27
877,NCC,5,2025-03-27
879,NCC,10,2025-04-24
880,NESTLEIND,20,2025-02-27
883,NESTLEIND,20,2025-03-27
884,NESTLEIND,40,2025-04-24
886,NHPC,1,2025-02-27
888,NHPC,1,2025-03-27
891,NHPC,2,2025-04-24
893,NMDC,1,2025-02-27
894,NMDC,1,2025-03-27
896,NMDC,2,2025-04-24
899,NTPC,5,2025-02-27
900,NTPC,5,2025-03-27
902,NTPC,10,2025-04-24
905,NYKAA,5,2025-02-27
907,NYKAA,5,2025-03-27
908,NYKAA,5,2025-04-24
910,OBEROIRLTY,20,2025-02-27
912,OBEROIRLTY,20,2025-03-27
914,OBEROIRLTY,40,2025-04-24
916,OFSS,250,2025-02-27
918,OFSS,250,2025-03-27
920,OFSS,500,2025-04-24
922,OIL,10,2025-02-27
924,OIL,10,2025-03-27
926,OIL,20,2025-04-24
928,ONGC,5,2025-02-27
930,ONGC,5,2025-03-27
932,ONGC,5,2025-04-24
934,PAGEIND,500,2025-02-27
937,PAGEIND,500,2025-03-27
938,PAGEIND,1000,2025-04-24
940,PAYTM,20,2025-02-27
943,PAYTM,20,2025-03-27
944,PAYTM,40,2025-04-24
947,PEL,20,2025-02-27
948,PEL,20,2025-03-27
950,PEL,40,2025-04-24
953,PERSISTENT,100,2025-02-27
954,PERSISTENT,100,2025-03-27
956,PERSISTENT,200,2025-04-24
958,PETRONET,5,2025-02-27
961,PETRONET,5,2025-03-27
963,PETRONET,10,2025-04-24
964,PFC,10,2025-02-27
966,PFC,10,2025-03-27
968,PFC,20,2025-04-24
970,PHOENIXLTD,50,2025-02-27
972,PHOENIXLTD,50,2025-03-27
975,PHOENIXLTD,100,2025-04-24
977,PIDILITIND,20,2025-02-27
978,PIDILITIND,20,2025-03-27
980,PIDILITIND,40,2025-04-24
983,PIIND,50,2025-02-27
985,PIIND,50,2025-03-27
986,PIIND,100,2025-04-24
988,PNB,1,2025-02-27
990,PNB,1,2025-03-27
992,PNB,2,2025-04-24
994,POLICYBZR,50,2025-02-27
997,POLICYBZR,50,2025-03-27
999,POLICYBZR,100,2025-04-24
1000,POLYCAB,100,2025-02-27
1002,POLYCAB,100,2025-03-27
1004,POLYCAB,200,2025-04-24
1006,POONAWALLA,5,2025-02-27
1008,POONAWALLA,5,2025-03-27
1010,POONAWALLA,10,2025-04-24
1012,POWERGRID,5,2025-02-27
1014,POWERGRID,5,2025-03-27
1016,POWERGRID,10,2025-04-24
1018,PRESTIGE,50,2025-02-27
1020,PRESTIGE,50,2025-03-27
1022,PRESTIGE,100,2025-04-24
1024,PVRINOX,20,2025-02-27
1026,RAMCOCEM,10,2025-02-27
1028,RAMCOCEM,10,2025-03-27
1030,RAMCOCEM,20,2025-04-24
1032,RBLBANK,5,2025-02-27
1034,RBLBANK,5,2025-03-27
1036,RBLBANK,5,2025-04-24
1038,RECLTD,10,2025-02-27
1040,RECLTD,10,2025-03-27
1042,RECLTD,20,2025-04-24
1044,RELIANCE,10,2025-02-27
1046,RELIANCE,10,2025-03-27
1048,RELIANCE,20,2025-04-24
1050,SAIL,5,2025-02-27
1052,SAIL,5,2025-03-27
1054,SAIL,5,2025-04-24
1056,SBICARD,5,2025-02-27
1058,SBICARD,5,2025-03-27
1060,SBICARD,10,2025-04-24
1062,SBILIFE,20,2025-02-27
1064,SBILIFE,20,2025-03-27
1066,SBILIFE,40,2025-04-24
1069,SBIN,10,2025-02-27
1070,SBIN,10,2025-03-27
1072,SBIN,20,2025-04-24
1074,SHREECEM,250,2025-02-27
1076,SHREECEM,250,2025-03-27
1078,SHREECEM,500,2025-04-24
1080,SHRIRAMFIN,10,2025-02-27
1082,SHRIRAMFIN,10,2025-03-27
1084,SHRIRAMFIN,20,2025-04-24
1086,SIEMENS,100,2025-02-27
1088,SIEMENS,100,2025-03-27
1090,SIEMENS,200,2025-04-24
1092,SJVN,5,2025-02-27
1094,SJVN,5,2025-03-27
1097,SJVN,5,2025-04-24
1098,SOLARINDS,100,2025-02-27
1100,SOLARINDS,100,2025-03-27
1102,SOLARINDS,200,2025-04-24
1104,SONACOMS,10,2025-02-27
1106,SONACOMS,10,2025-03-27
1108,SONACOMS,20,2025-04-24
1110,SRF,20,2025-02-27
1112,SRF,20,2025-03-27
1114,SRF,40,2025-04-24
1116,SUNPHARMA,20,2025-02-27
1118,SUNPHARMA,20,2025-03-27
1120,SUNPHARMA,40,2025-04-24
1122,SUNTV,10,2025-02-27
1124,SUPREMEIND,100,2025-02-27
1126,SUPREMEIND,100,2025-03-27
1128,SUPREMEIND,200,2025-04-24
1130,SYNGENE,10,2025-02-27
1132,SYNGENE,10,2025-03-27
1134,SYNGENE,20,2025-04-24
1136,TATACHEM,20,2025-02-27
1138,TATACHEM,20,2025-03-27
1140,TATACHEM,40,2025-04-24
1142,TATACOMM,20,2025-02-27
1144,TATACOMM,20,2025-03-27
1146,TATACOMM,40,2025-04-24
1148,TATACONSUM,10,2025-02-27
1150,TATACONSUM,10,2025-03-27
1152,TATACONSUM,20,2025-04-24
1154,TATAELXSI,100,2025-02-27
1156,TATAELXSI,100,2025-03-27
1158,TATAELXSI,200,2025-04-24
1160,TATAMOTORS,10,2025-02-27
1162,TATAMOTORS,10,2025-03-27
1164,TATAMOTORS,20,2025-04-24
1166,TATAPOWER,5,2025-02-27
1168,TATAPOWER,5,2025-03-27
1170,TATAPOWER,10,2025-04-24
1172,TATASTEEL,1,2025-02-27
1174,TATASTEEL,1,2025-03-27
1176,TATASTEEL,2,2025-04-24
1178,TCS,50,2025-02-27
1180,TCS,50,2025-03-27
1182,TCS,100,2025-04-24
1184,TECHM,20,2025-02-27
1186,TECHM,20,2025-03-27
1188,TECHM,40,2025-04-24
1190,TIINDIA,50,2025-02-27
1192,TIINDIA,50,2025-03-27
1194,TIINDIA,100,2025-04-24
1196,TITAN,50,2025-02-27
1198,TITAN,50,2025-03-27
1200,TITAN,100,2025-04-24
1202,TORNTPHARM,50,2025-02-27
1204,TORNTPHARM,50,2025-03-27
1206,TORNTPHARM,100,2025-04-24
1208,TORNTPOWER,20,2025-02-27
1210,TORNTPOWER,20,2025-03-27
1212,TORNTPOWER,40,2025-04-24
1214,TRENT,100,2025-02-27
1216,TRENT,100,2025-03-27
1218,TRENT,200,2025-04-24
1220,TVSMOTOR,20,2025-02-27
1222,TVSMOTOR,20,2025-03-27
1224,TVSMOTOR,40,2025-04-24
1226,UBL,20,2025-02-27
1228,ULTRACEMCO,100,2025-02-27
1230,ULTRACEMCO,100,2025-03-27
1232,ULTRACEMCO,200,2025-04-24
1234,UNIONBANK,1,2025-02-27
1236,UNIONBANK,1,2025-03-27
1238,UNIONBANK,2,2025-04-24
1240,UNITDSPR,20,2025-02-27
1242,UNITDSPR,20,2025-03-27
1244,UNITDSPR,40,2025-04-24
1246,UPL,10,2025-02-27
1248,UPL,10,2025-03-27
1250,UPL,20,2025-04-24
1252,VBL,10,2025-02-27
1254,VBL,10,2025-03-27
1256,VBL,20,2025-04-24
1258,VEDL,10,2025-02-27
1260,VEDL,10,2025-03-27
1262,VEDL,20,2025-04-24
1264,VOLTAS,20,2025-02-27
1266,VOLTAS,20,2025-03-27
1268,VOLTAS,40,2025-04-24
1270,WIPRO,5,2025-02-27
1272,WIPRO,5,2025-03-27
1274,WIPRO,5,2025-04-24
1276,YESBANK,1,2025-02-27
1278,YESBANK,1,2025-03-27
1280,YESBANK,2,2025-04-24
1282,ZOMATO,5,2025-02-27
1284,ZOMATO,5,2025-03-27
1286,ZOMATO,10,2025-04-24
1288,ZYDUSLIFE,10,2025-02-27
1290,ZYDUSLIFE,10,2025-03-27
1290,ZYDUSLIFE,20,2025-04-24
1290,NIFTY,50,2025-02-27
1290,NIFTY,50,2025-03-27
1290,NIFTY,50,2025-04-24
1290,BANKNIFTY,100,2025-02-27
1290,BANKNIFTY,100,2025-03-27
1290,BANKNIFTY,100,2025-04-24
