symbol,ATR_pct,ATR
PERSISTENT,3.732251579,219.8669405
PETRONET,3.473135074,10.41940522
PFC,4.62708722,17.6870409
PHOENIXLTD,2.924215557,45.66747436
PIDILITIND,1.971346504,54.87834398
PIIND,3.165827617,101.9396493
PNB,3.185359768,2.975126023
POLICYBZR,5.369343273,82.01671849
POLYCAB,3.986422203,224.0369278
POONAWALLA,4.28600577,11.98795814
POWERGRID,3.068250945,8.138535631
PRESTIGE,4.540746698,56.207633
PVRINOX,,40.33286664
RAMCOCEM,3.159808303,27.33392172
RBLBANK,4.276488026,6.887283966
RECLTD,4.765008226,18.93852519
RELIANCE,1.708674012,21.11921079
SAIL,4.085872912,4.372292603
SBICARD,2.781129389,23.68687901
SBILIFE,2.197094534,32.70265359
SBIN,2.070499473,15.12499865
SHREECEM,2.519702107,705.3074547
SHRIRAMFIN,1.035714286,5.8
SIEMENS,4.266327454,212.8492099
SJVN,4.675391924,3.99418732
SOLARINDS,2.754392595,242.6619876
SONACOMS,3.501502251,17.86466449
SRF,2.74006392,75.24078522
SUNPHARMA,2.204493515,37.24822468
SUNTV,,15.8058499
SUPREMEIND,4.328680031,161.4164784
SYNGENE,3.082034037,21.85470335
TATACHEM,2.928219119,25.15633045
TATACOMM,3.0495812,46.07917194
TATACONSUM,2.07858044,21.46342163
TATAELXSI,2.495588063,149.231175
TATAMOTORS,2.903879233,19.9118999
TATAPOWER,3.409756383,11.90857417
TATASTEEL,2.803896646,3.833767884
TCS,1.743468245,66.40783374
TECHM,2.127183236,36.06851895
TIINDIA,4.003962964,108.0269208
TITAN,2.429803808,78.42920732
TORNTPHARM,2.628612904,82.23221177
TORNTPOWER,4.70936166,59.54987819
TRENT,4.598749919,230.9331253
TVSMOTOR,2.928591668,69.99919804
UBL,,60.31453579
ULTRACEMCO,2.561620949,291.3293081
UNIONBANK,3.730389265,4.260850618
UNITDSPR,2.719870729,36.45986712
UPL,2.853400924,18.66409544
VBL,4.197827296,20.08660361
VEDL,3.445906486,14.70540593
VOLTAS,4.771349156,61.33092205
WIPRO,2.438135837,7.698413906
YESBANK,2.982340274,0.540698292
ZOMATO,4.06853496,9.561057157
ZYDUSLIFE,3.167577042,28.38782545
