,sector,stock_1,stock_2,stock_1_avg_iv,stock_2_avg_iv,avg_diff,avg_ratio,std_diff,std_dff_ratio,iv_correlation,price_correlation,p_val_diff,p_val_ratio
0,Auto,TATAMOTORS,HEROMOTOCO,28.7082974368024,28.664305973441568,-0.043991463360832955,1.0021598203633888,2.6099913535154533,0.09411118325281552,0.320605595509068,0.958301441123499,0.38289786718159435,0.3472652941793242
1,Auto,TATAMOTORS,TVSMOTOR,28.7082974368024,29.776047778709138,1.0677503419067367,1.0421075688806205,3.2188483148516402,0.11528738086129814,0.48857245807621985,0.9620293454331574,1.7920069470272555,1.707762677118622
2,Auto,TATAMOTORS,M&M,28.7082974368024,27.581409758680017,-1.1268876781223807,0.9660384476816333,2.981611678371489,0.10296719742654516,0.35737729125107237,0.9316535219101254,4.67703488116274,4.769710982494875
3,Auto,TATAMOTORS,MARUTI,28.7082974368024,22.237870825429038,-6.470426611373361,0.7766402150342372,2.4394064077897943,0.0771338362626869,0.4806679608557322,0.9068541533283037,3.3610261242482022,5.944278875952773
4,Auto,TATAMOTORS,BAJAJ-AUTO,28.7082974368024,27.117068359288837,-1.5912290775135662,0.9480378390853716,2.8935077198393913,0.09710824992729448,0.3648331882785639,0.9786662762792401,2.0564377642007776,1.6303100023364616
5,Auto,TATAMOTORS,EICHERMOT,28.7082974368024,29.31360843958177,0.6053110027793709,1.025706622601828,2.7938735933731547,0.09943711855581797,0.543113686682391,0.7875401455945215,1.3171493637502327,0.9173557774724577
6,Auto,TATAMOTORS,ASHOKLEY,28.918656046279445,30.114899483173783,1.1962434368943444,1.0427312001174607,2.5539110166217376,0.09274331075829906,0.6184811788469955,0.6497312419426373,0.0020564600025731205,0.00698134517561909
7,Auto,TATAMOTORS,ESCORTS,28.653019654618056,31.277057719234556,2.6240380646165016,1.0965279575548776,3.5721952754771387,0.13299271198345672,0.3294806000097098,0.6811063686680727,1.5377551239012268,1.4744040663843585
8,Auto,HEROMOTOCO,TVSMOTOR,28.664305973441568,29.776047778709138,1.1117418052675696,1.0455839032062866,3.547010844243002,0.12693912079479858,0.5115469309205104,0.9540707118113395,14.419712297499537,11.613093503152522
9,Auto,HEROMOTOCO,M&M,28.664305973441568,27.581409758680017,-1.0828962147615475,0.9664883024840618,2.491558859838595,0.08702135285923623,0.6912890566217468,0.8884475422095275,1.695823156388729,1.0581059448990204
10,Auto,HEROMOTOCO,MARUTI,28.664305973441568,22.237870825429038,-6.426435148012529,0.7790400452132873,2.7350888279373016,0.08590254825838471,0.6332166392398058,0.8181154906773654,7.237736113095976,4.689997460371921
11,Auto,HEROMOTOCO,BAJAJ-AUTO,28.664305973441568,27.117068359288837,-1.5472376141527326,0.949797066330447,2.77715603090779,0.09592764102159522,0.7575701728308122,0.9730607784343505,3.3616538525286845,1.9632695286082504
12,Auto,HEROMOTOCO,EICHERMOT,28.664305973441568,29.31360843958177,0.6493024661402039,1.0265686975709756,2.3819780463701092,0.08441425154776437,0.673174380840882,0.8107887848588676,0.6665479051087818,0.3256147529571699
13,Auto,HEROMOTOCO,ASHOKLEY,28.140357373583132,30.114899483173783,1.9745421095906506,1.0710464949947875,2.3821672266831824,0.08800338404956223,0.5974820086665636,0.5649491404490008,0.00037793739175689473,0.0010362078728259913
14,Auto,HEROMOTOCO,ESCORTS,28.823082352331067,31.277057719234556,2.45397536690349,1.0880903003819105,2.9518040532733156,0.10287211598519572,0.4521885159861854,0.6219763824303755,0.28354601847961913,0.11029119661520657
15,Auto,TVSMOTOR,M&M,29.776047778709138,27.581409758680017,-2.1946380200291173,0.9337687107346186,3.3929592623360754,0.10874013046731952,0.493427197179756,0.9055783237032249,9.82965247780191,9.16188622282274
16,Auto,TVSMOTOR,MARUTI,29.776047778709138,22.237870825429038,-7.538176953280099,0.749286190014068,2.4404354295531294,0.07102655572912388,0.702702813248602,0.8855629165514406,0.32890558860671265,0.5279991554675756
17,Auto,TVSMOTOR,BAJAJ-AUTO,29.776047778709138,27.117068359288837,-2.658979419420303,0.9148452694226896,2.8619924773917838,0.09104039737006764,0.6227048003717894,0.962674398775558,0.517971190368583,0.9699538833110289
18,Auto,TVSMOTOR,EICHERMOT,29.776047778709138,29.31360843958177,-0.4624393391273659,0.993440790115711,3.6657642887250623,0.12668258921497988,0.5706573829287563,0.8662140730012724,15.914758538318875,17.38752746431619
19,Auto,TVSMOTOR,ASHOKLEY,30.06034782991719,30.114899483173783,0.054551653256592426,1.0088319814503557,3.8359383168001373,0.13376779641582312,0.5616627960121445,0.6435428727291734,0.18162378765532255,0.2527281204633033
20,Auto,TVSMOTOR,ESCORTS,29.099013509308715,31.277057719234556,2.1780442099258415,1.082297182253668,4.077298309543659,0.15165049681684709,0.4476863398333813,0.7504924447250348,5.271128790543166,7.009998681906721
21,Auto,M&M,MARUTI,27.581409758680017,22.237870825429038,-5.343538933250982,0.810581165879076,3.07917438182156,0.10070805559906981,0.6168322449665101,0.924619962628984,12.35978146583761,12.726280923081267
22,Auto,M&M,BAJAJ-AUTO,27.581409758680017,27.117068359288837,-0.46434139939118546,0.9859006017756607,2.6410119086003734,0.09248592034767698,0.6685830951295223,0.8799307803138319,2.5411436373311145,2.635688169836102
23,Auto,M&M,EICHERMOT,27.581409758680017,29.31360843958177,1.7321986809017516,1.0660929308913991,2.3090891882075386,0.08296104339395549,0.6929378321921371,0.7519378453867642,0.5993841759172548,0.547989313348649
