,symbol,long_move_val,fut_benchmark,long_moves,days_theta,idv_updated_time
0,BANKBARODA,2.654615619015279,229.7,3,1.5,2025-01-16 09:18:58.567287
1,GUJGASLTD,5.3079705641765695,491.4790322580644,0,0.0,2025-01-16 09:14:19.232175
2,PFC,5.860458974702888,435.9,1,0.5,2025-01-16 09:15:02.583046
3,UNITDSPR,17.845471237691005,1417.0,2,1.0,2025-01-16 10:30:24.869941
4,DLF,8.602132938879455,745.25,3,1.5,2025-01-16 14:25:14.076910
5,GAIL,2.165734472393888,179.5,2,1.0,2025-01-16 11:48:47.183494
6,TATAPOWER,3.980997280390492,371.75,1,0.5,2025-01-16 09:15:02.583046
7,ATUL,87.8608579418506,6753.591935483873,0,0.0,2025-01-16 09:14:19.232175
8,AUROPHARMA,12.871398055645162,1152.4564516129033,0,0.0,2025-01-16 09:14:19.232175
9,BSOFT,7.30154744426995,537.55,1,0.5,2025-01-16 09:16:11.949932
10,SAIL,1.4250398594906617,108.57,2,1.0,2025-01-16 14:21:11.481430
11,MFSL,11.588909006791171,1069.5,15,7.5,2025-01-16 13:19:22.808729
12,INDIANB,6.516530759932089,522.5,3,1.5,2025-01-16 10:25:08.132074
13,OBEROIRLTY,30.16973425403226,1971.7,3,1.5,2025-01-16 13:34:45.384399
14,LICHSGFIN,5.862848394397283,569.3,2,1.0,2025-01-16 09:30:11.644407
15,APOLLOTYRE,4.829272867572157,456.0,2,1.0,2025-01-16 15:26:49.645555
16,IRFC,2.2883231833701188,138.76,3,1.5,2025-01-16 10:46:14.602395
17,SHRIRAMFIN,7.936671903013581,551.55,2,1.0,2025-01-16 09:42:02.082476
18,BRITANNIA,41.00457422954159,4819.85,3,1.5,2025-01-16 13:20:02.957173
19,POWERGRID,2.763440205093379,299.89838709677423,0,0.0,2025-01-16 09:14:19.232175
20,AXISBANK,13.196689843378609,1042.75,1,0.5,2025-01-16 10:38:27.299884
21,ZYDUSLIFE,9.176355426570456,988.9612903225806,0,0.0,2025-01-16 09:14:19.232175
22,GRANULES,8.343244926994908,582.35,1,0.5,2025-01-16 10:17:45.192923
23,APOLLOHOSP,60.08192348718165,6785.55,3,1.5,2025-01-16 14:07:54.277104
24,ABFRL,3.664073961162988,274.3,2,1.0,2025-01-16 09:49:53.341771
25,JKCEMENT,56.62353711570457,4565.0,2,1.0,2025-01-16 09:28:36.321160
26,NMDC,0.8467764331918505,65.35,2,1.0,2025-01-16 09:45:12.666121
27,ASIANPAINT,17.84241163752122,2220.55,1,0.5,2025-01-16 12:32:07.436740
28,AMBUJACEM,6.164999558064517,539.7,5,2.5,2025-01-16 12:51:28.682900
29,SUPREMEIND,75.08785581315789,4374.620967741936,0,0.0,2025-01-16 09:14:19.232175
30,BANKINDIA,1.1686970004244486,100.45,3,1.5,2025-01-16 14:29:29.351436
31,KPITTECH,20.6464091188455,1323.05,3,1.5,2025-01-16 12:28:51.629841
32,CUB,1.838237752224109,173.63,2,1.0,2025-01-16 13:16:33.431879
33,HDFCBANK,13.325501829838704,1663.1,1,0.5,2025-01-16 09:15:14.252219
34,CUMMINSIND,32.487442286502535,2926.0,3,1.5,2025-01-16 09:50:21.621040
35,BHARTIARTL,12.910703003650257,1636.7,2,1.0,2025-01-16 15:29:53.275652
36,GODREJCP,13.04131729966044,1145.5,1,0.5,2025-01-16 12:41:32.642528
37,BANDHANBNK,1.272907085365025,150.91,5,2.5,2025-01-16 14:25:41.251324
38,CIPLA,15.254880176230898,1448.8225806451612,0,0.0,2025-01-16 09:14:19.232175
39,GODREJPROP,29.84766866052632,2362.1,6,3.0,2025-01-16 15:00:35.297796
40,GLENMARK,16.902396492020372,1462.05,1,0.5,2025-01-16 11:57:05.299777
41,GNFC,6.41731404376061,555.5,3,1.5,2025-01-16 09:29:16.840664
42,MARUTI,100.55504435730046,12042.0,1,0.5,2025-01-16 11:49:38.112226
43,MARICO,5.946869283870969,655.15,1,0.5,2025-01-16 10:44:53.072632
44,ASTRAL,15.4644420713073,1501.0,1,0.5,2025-01-16 09:22:27.852974
45,LTIM,85.07474585271648,5937.35,5,2.5,2025-01-16 13:36:07.561150
46,INDIAMART,37.51117658913412,2210.4,2,1.0,2025-01-16 10:56:39.047286
47,ICICIGI,27.27201732054329,1897.5,2,1.0,2025-01-16 11:27:55.124219
48,MPHASIS,40.19286470458403,2822.9,3,1.5,2025-01-16 15:12:50.584352
49,M&M,32.595079374278434,3000.1,1,0.5,2025-01-16 14:18:38.042551
50,LAURUSLABS,7.863467978947369,557.7,2,1.0,2025-01-16 12:05:29.301923
51,WIPRO,4.199773599320882,288.3,1,0.5,2025-01-16 11:10:06.292840
52,VOLTAS,19.02078540764007,1587.55,4,2.0,2025-01-16 10:46:31.617311
53,LUPIN,20.085396079202035,2092.2,2,1.0,2025-01-16 12:49:46.630492
54,CDSL,22.969492576400675,1608.9,2,1.0,2025-01-16 10:01:47.422019
55,PVRINOX,14.743123633701188,1089.2,4,2.0,2025-01-16 11:53:27.565033
56,BHEL,3.291631428438029,210.22,2,1.0,2025-01-16 10:24:53.489747
57,ADANIENSOL,13.204832079966042,791.35,7,3.5,2025-01-16 11:17:13.139802
58,PNB,1.303358360696095,101.45,2,1.0,2025-01-16 09:18:58.567287
59,TRENT,83.9937872040747,6236.3,4,2.0,2025-01-16 11:05:16.138222
60,MRF,994.5867046999148,114702.28548387098,0,0.0,2025-01-16 09:14:19.232175
61,COALINDIA,3.8379570324278434,378.3,1,0.5,2025-01-16 09:15:04.078775
62,ALKEM,51.10669820967742,5188.540322580644,0,0.0,2025-01-16 09:14:19.232175
63,HUDCO,3.5290982621477083,225.25,5,2.5,2025-01-16 10:28:50.626909
64,BPCL,3.4836891419354834,268.05,2,1.0,2025-01-16 13:12:16.527687
65,TATAMOTORS,9.468436264855686,776.8,1,0.5,2025-01-16 09:15:02.583046
66,HINDCOPPER,3.364419890441426,232.0,7,3.5,2025-01-16 15:25:01.441499
67,POLYCAB,92.03571859405773,6674.6,2,1.0,2025-01-16 10:26:40.322086
68,RECLTD,6.923279831239388,488.7,1,0.5,2025-01-16 09:15:26.997399
69,MOTHERSON,1.8030579819439725,149.59290322580645,0,0.0,2025-01-16 09:14:19.232175
