,symbol,long_move_val,long_move_val_track,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track
0,BANKBARODA,2.532005788123939,0.9042877814728352,221.32,220.18,3,13,1.5,2025-02-05 13:31:06.828147,2025-02-05 15:06:09.760119
1,GUJGASLTD,6.7300737023769095,2.403597750848896,483.55,480.5,2,8,1.0,2025-02-05 12:20:38.460345,2025-02-05 14:53:14.729998
2,PFC,6.392335695076399,2.282977033955857,411.45,410.45,1,6,0.5,2025-02-05 09:16:04.054946,2025-02-05 15:06:09.760119
3,UNITDSPR,14.352171470713072,5.12577552525467,1456.8,1448.15,4,24,2.0,2025-02-05 11:41:03.521081,2025-02-05 15:10:46.485058
4,DLF,8.370507808573855,2.9894670744906624,765.35,764.6,2,11,1.0,2025-02-05 15:04:03.188019,2025-02-05 15:06:02.040958
5,GAIL,1.9800589185738533,0.707163899490662,180.87,179.78,1,10,0.5,2025-02-05 09:15:45.263608,2025-02-05 11:35:25.655385
6,TATAPOWER,4.6479455785653645,1.659980563773345,369.2,367.8,5,18,2.5,2025-02-05 11:08:01.469596,2025-02-05 12:12:06.315877
7,ATUL,72.69304358319184,25.961801279711374,6263.609677419356,6225.0,0,9,0.0,2025-02-05 09:14:57.247890,2025-02-05 13:55:27.556938
8,AUROPHARMA,15.169815397792869,5.417791213497453,1193.55,1197.6,3,14,1.5,2025-02-05 15:06:12.772070,2025-02-05 14:33:18.781268
9,BSOFT,7.866922909168081,2.809615324702886,536.85,537.0,1,13,0.5,2025-02-05 09:26:13.263218,2025-02-05 13:49:28.067393
10,SAIL,1.606675996876061,0.5738128560271647,108.29,108.94,1,13,0.5,2025-02-05 09:40:12.863454,2025-02-05 14:23:10.676826
11,MFSL,16.447696774193552,5.87417741935484,1123.2,1121.45,9,44,4.5,2025-02-05 13:44:12.816687,2025-02-05 14:19:35.875583
12,INDIANB,7.299246398981324,2.606873713921901,543.15,543.8,2,15,1.0,2025-02-05 12:14:03.212878,2025-02-05 15:17:46.300555
13,OBEROIRLTY,22.57312967368421,8.06183202631579,1824.8483870967743,1806.5,0,13,0.0,2025-02-05 09:14:57.247890,2025-02-05 15:24:48.145518
14,LICHSGFIN,6.542892557300508,2.336747341893039,580.25,575.45,2,16,1.0,2025-02-05 12:30:28.874276,2025-02-05 15:02:14.040780
15,APOLLOTYRE,5.649763068336165,2.0177725244057734,422.7306451612903,420.5,0,5,0.0,2025-02-05 09:14:57.247890,2025-02-05 15:04:16.314095
16,IRFC,2.059130316027165,0.7354036842954162,131.59,131.54,1,7,0.5,2025-02-05 09:23:58.513261,2025-02-05 15:14:18.107824
