,symbol,long_move_val,long_move_val_track,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track
0,BANKBARODA,3.12957842491511,1.1177065803268251,224.21,222.64,1,10,0.5,2025-01-30 09:28:28.448148,2025-01-30 14:57:26.091906
1,GUJGASLTD,5.956398552631579,2.1272851973684213,478.35,478.7,5,16,2.5,2025-01-30 14:06:05.374418,2025-01-30 15:14:35.939596
2,PFC,7.005788073896434,2.5020671692487264,414.95,411.55,4,14,2.0,2025-01-30 13:00:49.468297,2025-01-30 13:34:03.159785
3,UNITDSPR,15.39485003463497,5.498160726655347,1425.35,1431.3,2,20,1.0,2025-01-30 09:14:59.055311,2025-01-30 15:25:44.273420
4,DLF,10.652804845670628,3.804573159168081,754.4,751.25,6,21,3.0,2025-01-30 13:26:58.007193,2025-01-30 15:01:58.261000
5,GAIL,2.509073462962648,0.896097665343803,165.51,165.82,7,25,3.5,2025-01-30 15:28:13.038734,2025-01-30 15:22:45.823343
6,TATAPOWER,5.026041263157893,1.7950147368421048,348.4,352.45,3,14,1.5,2025-01-30 14:32:23.887698,2025-01-30 15:06:08.450656
7,ATUL,80.89948174736841,28.89267205263158,6358.5,6326.25,2,12,1.0,2025-01-30 09:31:29.023113,2025-01-30 14:51:00.723362
8,AUROPHARMA,16.587048356112057,5.923945841468592,1188.35,1181.4,3,14,1.5,2025-01-30 14:01:31.124945,2025-01-30 15:24:24.407598
9,BSOFT,8.53753113327674,3.0491182618845505,532.4,526.95,4,35,2.0,2025-01-30 15:14:39.687149,2025-01-30 15:29:49.455575
10,SAIL,1.7721894351273342,0.6329247982597622,105.4,105.7,1,12,0.5,2025-01-30 09:25:38.847802,2025-01-30 15:01:56.833456
11,MFSL,9999999.0,2499999.75,1030.2274193548387,1030.2274193548387,0,0,0.0,2025-01-30 09:10:04.582442,2025-01-30 09:10:04.582442
12,INDIANB,8.079503535229199,2.8855369768675714,546.45,542.85,9,60,4.5,2025-01-30 11:39:34.422481,2025-01-30 15:28:27.719421
13,OBEROIRLTY,26.527997653565365,9.474284876273344,1749.75,1761.6,4,27,2.0,2025-01-30 09:15:36.879115,2025-01-30 15:26:56.199942
14,LICHSGFIN,7.521728350339559,2.6863315536927,582.75,589.95,2,25,1.0,2025-01-30 15:07:35.824048,2025-01-30 15:30:01.970630
15,APOLLOTYRE,6.041475839558574,2.1576699426994908,430.35,433.0,3,17,1.5,2025-01-30 13:02:49.957224,2025-01-30 14:29:12.066280
16,IRFC,2.416239954329372,0.8629428408319185,149.04,149.05,8,30,4.0,2025-01-30 15:15:07.796833,2025-01-30 15:15:10.549421
17,SHRIRAMFIN,8.164492266213921,2.9158900950764006,538.55,541.4,7,31,3.5,2025-01-30 13:00:49.468297,2025-01-30 15:28:16.023183
18,BRITANNIA,58.60741578013582,20.93121992147708,5089.95,5074.25,3,12,1.5,2025-01-30 15:10:30.687153,2025-01-30 15:09:48.166348
19,POWERGRID,3.4155310463497446,1.2198325165534802,296.15,295.0,3,17,1.5,2025-01-30 10:22:02.344145,2025-01-30 15:17:15.117404
20,AXISBANK,9.731206334125636,3.475430833616299,981.35,985.75,3,17,1.5,2025-01-30 09:14:58.478100,2025-01-30 15:29:23.104480
21,ZYDUSLIFE,11.759161117741932,4.199700399193548,951.6,953.05,2,16,1.0,2025-01-30 14:42:11.003967,2025-01-30 15:04:30.730086
22,GRANULES,8.152032941256364,2.911440336162987,562.15,562.9,6,27,3.0,2025-01-30 14:48:24.323258,2025-01-30 15:25:36.721855
23,APOLLOHOSP,74.65454152971138,26.66233626061121,6801.9,6829.85,1,12,0.5,2025-01-30 09:20:04.821739,2025-01-30 15:27:31.907512
24,ABFRL,4.150079364516127,1.4821712016129027,263.1,265.45,3,12,1.5,2025-01-30 14:42:05.067741,2025-01-30 15:01:58.261000
25,JKCEMENT,58.55848673565367,20.913745262733453,4833.3,4795.0,6,36,3.0,2025-01-30 15:18:47.086204,2025-01-30 15:29:08.671256
26,NMDC,1.0672736715789473,0.3811691684210526,64.79,64.82,2,12,1.0,2025-01-30 13:12:28.594231,2025-01-30 15:23:00.733430
27,ASIANPAINT,23.68662990657895,8.459510680921055,2245.9,2249.35,3,10,1.5,2025-01-30 10:48:28.947779,2025-01-30 15:05:29.065410
28,AMBUJACEM,7.554599864855688,2.698071380305603,509.9,509.1,6,37,3.0,2025-01-30 15:09:58.854963,2025-01-30 14:58:30.174550
29,SUPREMEIND,58.00710664023767,20.71682380008488,3817.05,3828.75,8,28,4.0,2025-01-30 15:28:38.026376,2025-01-30 15:29:00.471036
30,BANKINDIA,1.480441118709677,0.5287289709677419,111.21,111.28,6,20,3.0,2025-01-30 11:39:26.000853,2025-01-30 11:36:33.399482
31,KPITTECH,25.276193878098475,9.027212099320884,1427.15,1436.7,7,43,3.5,2025-01-30 13:49:33.508825,2025-01-30 15:10:13.856011
32,CUB,2.470491754363328,0.8823184837011883,175.7,175.7,9,29,4.5,2025-01-30 15:29:17.737561,2025-01-30 15:29:17.737561
