,symbol,long_move_val,fut_benchmark,long_moves,days_theta,idv_updated_time
0,BANKBARODA,2.633838046986417,261.09838709677416,0,0.0,2024-12-05 09:05:58.780660
1,GUJGASLTD,4.50094694736842,501.35,1,0.5,2024-12-05 13:04:17.209814
2,PFC,6.164784031748726,510.6,2,1.0,2024-12-05 12:03:26.878857
3,UNITDSPR,11.61382637079796,1529.5145161290327,0,0.0,2024-12-05 09:05:58.780660
4,DLF,8.251075781409167,851.2661290322582,0,0.0,2024-12-05 09:05:58.780660
5,GAIL,2.031716984719864,208.85,1,0.5,2024-12-05 09:59:50.481553
6,TATAPOWER,3.937255010101868,434.85,4,2.0,2024-12-05 15:25:33.840557
7,ATUL,67.2581253235993,7410.0,4,2.0,2024-12-05 14:29:12.415015
8,AUROPHARMA,12.350816337096772,1249.25,1,0.5,2024-12-05 10:41:06.368447
9,BSOFT,6.588086134380305,606.9,2,1.0,2024-12-05 11:16:50.795417
10,SAIL,1.4349230700000002,122.77,2,1.0,2024-12-05 14:51:35.203664
11,MFSL,13.08912462177419,1172.2,2,1.0,2024-12-05 12:57:46.854363
12,INDIANB,8.590461891765704,598.5,1,0.5,2024-12-05 09:39:49.491780
13,OBEROIRLTY,25.50403578947368,2108.4,1,0.5,2024-12-05 11:15:34.149718
14,LICHSGFIN,6.147803396095076,640.6080645161288,0,0.0,2024-12-05 09:05:58.780660
15,POWERGRID,2.7317985769100184,328.7,5,2.5,2024-12-05 14:52:08.472947
16,IRFC,2.1028240685908317,149.89419354838708,0,0.0,2024-12-05 09:05:58.780660
17,SHRIRAMFIN,34.11626487589134,3139.8,2,1.0,2024-12-05 13:15:09.048624
18,BRITANNIA,37.68045828705432,4871.8,2,1.0,2024-12-05 12:08:46.201729
19,APOLLOTYRE,4.954500969906621,538.0,1,0.5,2024-12-05 09:25:56.852601
20,AXISBANK,8.473365314770797,1171.0,3,1.5,2024-12-05 14:52:05.342139
21,ABFRL,3.5338259348047534,309.7,1,0.5,2024-12-05 10:18:44.253392
22,ZYDUSLIFE,8.253002286587439,982.45,3,1.5,2024-12-05 15:29:37.280165
23,GRANULES,7.182925230050934,567.0,5,2.5,2024-12-05 15:00:44.793377
24,APOLLOHOSP,54.45402410742784,7257.45,6,3.0,2024-12-05 14:56:25.174854
25,ASIANPAINT,17.2917176401528,2468.5,6,3.0,2024-12-05 15:20:31.343770
26,JKCEMENT,43.99430428140916,4632.866129032258,0,0.0,2024-12-05 09:05:58.780660
27,SUPREMEIND,61.27242212308997,4745.0,2,1.0,2024-12-05 12:35:29.413649
28,AMBUJACEM,5.647452482724958,571.8,1,0.5,2024-12-05 10:23:17.729791
29,NMDC,2.464389153650254,235.2267741935484,0,0.0,2024-12-05 09:05:58.780660
30,BANKINDIA,1.590416687096774,118.4,2,1.0,2024-12-05 12:07:49.511972
31,KPITTECH,17.624409282979627,1500.0,4,2.0,2024-12-05 14:13:12.541360
32,CUB,1.7725071846179965,185.55,2,1.0,2024-12-05 10:24:35.596540
33,HDFCBANK,11.755227372071303,1862.6,4,2.0,2024-12-05 14:56:58.492857
34,CUMMINSIND,37.24129675,3474.3,2,1.0,2024-12-05 10:58:40.733872
35,BHARTIARTL,12.41662378752122,1615.65,6,3.0,2024-12-05 15:05:25.298618
36,GODREJCP,9.699135824915109,1252.5,2,1.0,2024-12-05 15:20:24.617528
37,BANDHANBNK,1.8159726465025463,178.7,2,1.0,2024-12-05 11:00:55.202152
38,CIPLA,12.748306914261462,1505.7,6,3.0,2024-12-05 15:09:18.311636
39,GODREJPROP,35.20238466672326,2876.0,1,0.5,2024-12-05 09:48:49.866932
40,GLENMARK,14.965335962648558,1555.0,4,2.0,2024-12-05 14:13:47.376714
41,ASTRAL,14.892040106536502,1828.0,3,1.5,2024-12-05 14:56:37.831681
42,MARUTI,85.14373515611204,11163.1,4,2.0,2024-12-05 14:56:19.917739
43,MARICO,5.237410776315789,633.0999999999999,0,0.0,2024-12-05 09:05:58.780660
44,GNFC,7.164893060696097,637.1,2,1.0,2024-12-05 10:57:41.104587
45,LTIM,52.00876978000848,6357.5,4,2.0,2024-12-05 14:15:26.292829
46,INDIAMART,25.403833239473684,2374.120967741936,0,0.0,2024-12-05 09:05:58.780660
47,MPHASIS,31.48098093374364,3062.55,1,0.5,2024-12-05 09:19:21.872409
48,ICICIGI,16.754662105263154,1935.2,3,1.5,2024-12-05 14:56:18.407971
49,M&M,30.603800429286924,3066.35,3,1.5,2024-12-05 14:56:21.610214
50,LAURUSLABS,6.928945854668929,591.7,1,0.5,2024-12-05 09:42:10.680725
51,WIPRO,2.5531408968590834,299.85,2,1.0,2024-12-05 14:12:27.379663
52,VOLTAS,15.489677487266556,1676.3,1,0.5,2024-12-05 09:57:36.869909
53,LUPIN,17.628770859974527,2123.15,5,2.5,2024-12-05 14:12:18.363640
54,CESC,2.4664985452971138,192.5,2,1.0,2024-12-05 10:39:44.304039
55,CDSL,21.69255730645161,1862.3,10,5.0,2024-12-05 13:55:40.011345
56,PVRINOX,19.134835887096774,1586.0,1,0.5,2024-12-05 09:21:49.323362
57,BHEL,3.2016448382852296,252.3,2,1.0,2024-12-05 13:15:20.135060
58,ADANIENSOL,16.395312910016976,815.6,2,1.0,2024-12-05 09:52:28.839421
59,PNB,1.2694530828522916,110.47,2,1.0,2024-12-05 12:15:46.051297
60,TRENT,78.65064599380302,7075.0,5,2.5,2024-12-05 15:27:49.810056
61,MRF,823.7786300864179,130829.2,4,2.0,2024-12-05 10:31:18.430355
62,COALINDIA,3.6891494862478775,418.55,2,1.0,2024-12-05 12:12:16.301483
63,ALKEM,49.78457365594226,5631.35,1,0.5,2024-12-05 09:53:33.463213
64,HUDCO,3.457517923251274,245.95,3,1.5,2024-12-05 15:12:24.645844
65,BPCL,3.098120898811545,297.9,3,1.5,2024-12-05 15:18:31.964376
66,TATAMOTORS,7.612482384125635,790.55,4,2.0,2024-12-05 14:56:58.492857
67,HINDCOPPER,3.5671591388370123,284.88225806451607,0,0.0,2024-12-05 09:05:58.780660
68,POLYCAB,70.03417464473684,7324.05,2,1.0,2024-12-05 14:32:23.397347
69,RECLTD,6.362194747453311,545.3870967741935,0,0.0,2024-12-05 09:05:58.780660
70,MOTHERSON,1.8458245568760607,169.05,3,1.5,2024-12-05 14:29:47.324221
71,IPCALAB,14.479727422750418,1496.9,2,1.0,2024-12-05 12:25:20.129984
72,TATACHEM,11.059308221731747,1143.0,1,0.5,2024-12-05 14:14:18.069625
73,PAGEIND,408.3034225403226,46163.2,2,1.0,2024-12-05 12:38:41.682728
74,NTPC,2.724146241977929,370.4,5,2.5,2024-12-05 15:10:36.097401
75,JSWSTEEL,8.605559799278439,998.35,6,3.0,2024-12-05 14:56:31.069358
76,HAL,49.69282697342955,4584.8,1,0.5,2024-12-05 13:20:00.666227
77,PAYTM,13.375547633701183,958.25,3,1.5,2024-12-05 14:40:21.448214
78,TCS,30.253404881154488,4456.6,5,2.5,2024-12-05 14:51:51.299710
79,ESCORTS,36.19894942393887,3464.75,2,1.0,2024-12-05 13:11:05.124794
80,ICICIPRULI,6.400442216808151,679.5,4,2.0,2024-12-05 15:25:59.783726
81,HINDUNILVR,16.08091167325976,2489.9,3,1.5,2024-12-05 14:56:19.917739
82,ANGELONE,41.21045478272495,3210.9,6,3.0,2024-12-05 14:57:04.443991
83,HFCL,1.80579563327674,129.55,2,1.0,2024-12-05 14:51:34.131599
84,HCLTECH,13.801744572368415,1928.4,4,2.0,2024-12-05 15:05:35.014424
85,NHPC,0.9655482844142612,82.12,2,1.0,2024-12-05 11:21:36.007260
86,TVSMOTOR,22.824769069100167,2524.35,4,2.0,2024-12-05 14:34:23.871869
87,POONAWALLA,4.823935198217317,358.79193548387093,0,0.0,2024-12-05 09:05:58.780660
88,ADANIPORTS,16.174983934634973,1272.2758064516129,0,0.0,2024-12-05 09:05:58.780660
89,ZOMATO,3.875434404626486,302.35,4,2.0,2024-12-05 11:27:09.982179
90,JUBLFOOD,6.158557863327675,661.2,2,1.0,2024-12-05 09:54:01.065859
91,IDEA,0.1916545069609507,8.16,5,2.5,2024-12-05 09:48:02.740660
92,DELHIVERY,3.758363421901529,335.5,1,0.5,2024-12-05 09:54:53.373359
93,IOC,1.3192865772495754,140.16,2,1.0,2024-12-05 12:15:17.858612
94,ATGL,13.568972074023767,743.0919354838709,0,0.0,2024-12-05 09:05:58.780660
95,BIOCON,4.2479974704584045,376.4,1,0.5,2024-12-05 11:32:25.648412
96,LT,27.505948408319185,3828.3,5,2.5,2024-12-05 14:56:58.492857
97,BOSCHLTD,281.0882784280135,36132.45,3,1.5,2024-12-05 12:29:43.680529
98,NCC,4.156755580645161,313.7,2,1.0,2024-12-05 12:48:21.731386
99,PIIND,39.87011316247877,4143.5,1,0.5,2024-12-05 10:09:06.984183
100,LTTS,50.66558395161291,5320.0,2,1.0,2024-12-05 14:57:01.219601
101,ABBOTINDIA,202.42879846986415,29000.0,6,3.0,2024-12-05 14:57:42.480871
102,PERSISTENT,58.82650085938031,6150.0,2,1.0,2024-12-05 09:14:54.602120
103,UNIONBANK,1.6701062374363325,128.78,2,1.0,2024-12-05 12:03:26.878857
104,ASHOKLEY,2.1195442814261463,231.63,2,1.0,2024-12-05 14:57:02.886816
105,IGL,4.472376866893039,385.45,9,4.5,2024-12-05 14:03:01.059511
106,METROPOLIS,20.261609255857387,2107.15,4,2.0,2024-12-05 13:25:22.137246
107,JSL,8.397503578650255,737.05,6,3.0,2024-12-05 15:24:36.946579
108,BATAINDIA,11.256303293718164,1438.706451612903,0,0.0,2024-12-05 09:05:58.780660
109,TATACOMM,15.825449642317482,1805.5516129032255,0,0.0,2024-12-05 09:05:58.780660
110,PIDILITIND,22.26956273862479,3196.5,3,1.5,2024-12-05 11:16:20.167873
111,M&MFIN,2.970557079796265,285.05,4,2.0,2024-12-05 13:22:52.754213
112,BEL,3.424018173174873,313.4241935483871,0,0.0,2024-12-05 09:05:58.780660
113,LALPATHLAB,25.828595469609503,3002.95,1,0.5,2024-12-05 12:19:20.147082
114,SYNGENE,8.89762527589134,933.25,2,1.0,2024-12-05 14:37:36.130975
115,ITC,3.2726665699915105,469.25,4,2.0,2024-12-05 14:54:10.192138
116,KALYANKJIL,9.328898529286928,719.3274193548389,0,0.0,2024-12-05 09:05:58.780660
117,BHARATFORG,14.367755261417658,1381.0,2,1.0,2024-12-05 10:19:57.496353
118,ICICIBANK,8.563821439728352,1337.9,2,1.0,2024-12-05 14:20:21.359601
119,CROMPTON,4.035782792869271,405.25,1,0.5,2024-12-05 09:48:54.697577
120,COLPAL,24.677706254668927,2909.95,7,3.5,2024-12-05 12:31:11.125527
121,UBL,16.35607016129032,1974.95,3,1.5,2024-12-05 10:51:20.952053
122,NAUKRI,86.45412307368419,8569.35,3,1.5,2024-12-05 12:01:12.400397
123,BERGEPAINT,4.058586974830219,484.75,1,0.5,2024-12-05 12:34:37.848622
124,APLAPOLLO,17.49472208616299,1567.55,3,1.5,2024-12-05 14:08:40.140070
125,SUNTV,7.427831237818336,772.0532258064517,0,0.0,2024-12-05 09:05:58.780660
126,CANBK,1.1687064188709675,108.78,2,1.0,2024-12-05 11:39:15.465245
127,HINDPETRO,4.518696267402376,393.2,1,0.5,2024-12-05 14:13:41.350088
128,SIEMENS,79.88326133837013,7787.65,2,1.0,2024-12-05 09:48:33.955552
129,ADANIGREEN,28.627201461799665,1237.35,3,1.5,2024-12-05 09:53:27.488604
130,BAJAJFINSV,13.239784018251273,1645.0,3,1.5,2024-12-05 13:13:35.670702
131,CYIENT,26.321104922368427,1968.85,1,0.5,2024-12-05 09:18:28.518997
132,DALBHARAT,18.669430925764008,1921.95,3,1.5,2024-12-05 15:13:05.233094
133,VBL,8.101556127843802,638.65,2,1.0,2024-12-05 11:46:42.913907
134,HINDALCO,6.080143234634975,670.9,1,0.5,2024-12-05 13:38:29.859919
135,CANFINHOME,8.826494694185058,836.35,1,0.5,2024-12-05 13:36:16.137810
136,CHOLAFIN,13.555322992105262,1294.6806451612904,0,0.0,2024-12-05 09:05:58.780660
137,COFORGE,81.44173385704582,8865.0,1,0.5,2024-12-05 09:17:42.250909
138,INDIGO,38.19346206112055,4391.0,2,1.0,2024-12-05 14:00:05.683085
139,DIXON,212.91129549872664,17238.0,1,0.5,2024-12-05 11:57:45.847377
140,IRB,0.7009697160611204,57.26,3,1.5,2024-12-05 14:15:43.924786
141,NYKAA,2.282699082037351,168.78548387096777,0,0.0,2024-12-05 09:05:58.780660
142,LTF,1.4724818151188457,148.30935483870968,0,0.0,2024-12-05 09:05:58.780660
143,DIVISLAB,54.435836463497445,6070.9,7,3.5,2024-12-05 09:39:29.365849
144,ACC,20.644278210993207,2272.95,3,1.5,2024-12-05 10:52:15.539781
145,IEX,2.01333478196944,179.0,2,1.0,2024-12-05 10:53:08.032631
146,ABB,78.270431402674,7520.0,2,1.0,2024-12-05 10:15:39.860740
147,KEI,59.12444877589134,4495.0,1,0.5,2024-12-05 13:19:29.687940
148,ULTRACEMCO,89.33732463157895,11985.75,6,3.0,2024-12-05 15:12:31.312836
149,TIINDIA,49.46550617253821,3777.65,2,1.0,2024-12-05 10:09:59.726585
150,TORNTPHARM,29.49468439533108,3371.55,7,3.5,2024-12-05 15:14:12.985283
151,GRASIM,20.5505164991511,2723.45,6,3.0,2024-12-05 15:17:34.316686
152,OFSS,151.41400019902375,12469.470967741934,0,0.0,2024-12-05 09:05:58.780660
153,ADANIENT,37.66622948213073,2545.6,1,0.5,2024-12-05 14:29:00.931083
154,AARTIIND,4.777924853650255,448.766129032258,0,0.0,2024-12-05 09:05:58.780660
155,INDHOTEL,7.308101329456705,819.7,1,0.5,2024-12-05 10:00:52.141917
156,IRCTC,7.280891977376911,841.8,3,1.5,2024-12-05 14:12:19.770826
157,PEL,14.447353429371814,1254.8,1,0.5,2024-12-05 15:22:33.853262
158,INFY,13.456476271392187,1938.3,7,3.5,2024-12-05 15:05:03.971184
159,CONCOR,7.3641684183361615,847.341935483871,0,0.0,2024-12-05 09:05:58.780660
160,SUNPHARMA,10.529952209677418,1812.45,7,3.5,2024-12-05 14:52:00.399101
161,HDFCAMC,40.510793637096775,4371.75,2,1.0,2024-12-05 12:15:36.515605
162,EICHERMOT,39.93459791714771,4845.95,3,1.5,2024-12-05 14:51:12.948382
163,INDUSTOWER,4.255727724957554,365.25,8,4.0,2024-12-05 09:49:27.282375
164,ABCAPITAL,1.9102892371137523,199.67129032258063,0,0.0,2024-12-05 09:05:58.780660
165,DEEPAKNTR,27.959202193548386,2701.6903225806445,0,0.0,2024-12-05 09:05:58.780660
166,TATACONSUM,7.061673640237689,970.2,5,2.5,2024-12-05 15:09:15.143709
167,KOTAKBANK,11.855449699745332,1777.65,3,1.5,2024-12-05 14:54:11.796104
168,DRREDDY,8.509265777419355,1245.8,5,2.5,2024-12-05 15:24:46.392485
169,RELIANCE,9.322567460101869,1324.9,3,1.5,2024-12-05 14:56:16.676987
170,BAJAJ-AUTO,83.06782782385399,8951.1,5,2.5,2024-12-05 15:12:55.659582
171,NIFTY,118.86780180008488,24795.9,8,4.0,2024-12-05 15:14:31.144599
172,MANAPPURAM,1.8951253358234297,169.15,2,1.0,2024-12-05 14:02:34.922842
173,BAJFINANCE,53.99604399320882,6863.35,4,2.0,2024-12-05 13:57:30.060068
174,NATIONALUM,3.3585243979796258,249.4,1,0.5,2024-12-05 09:26:01.221056
175,DMART,41.51649803225807,3859.13064516129,0,0.0,2024-12-05 09:05:58.780660
176,PRESTIGE,24.492337436332768,1720.15,2,1.0,2024-12-05 14:57:33.463165
177,CGPOWER,8.971108528183361,768.45,3,1.5,2024-12-05 11:14:36.419340
178,RAMCOCEM,8.923019760611204,1027.05,2,1.0,2024-12-05 12:34:16.043259
179,LICI,9.956327609337862,975.3,2,1.0,2024-12-05 14:54:48.075176
180,UPL,5.140395387224108,562.75,3,1.5,2024-12-05 15:20:27.976349
181,TECHM,13.83136545178268,1791.0,6,3.0,2024-12-05 15:10:42.691194
182,JSWENERGY,8.105335275127336,669.9,2,1.0,2024-12-05 15:19:12.076441
183,EXIDEIND,5.039062699999999,456.65,2,1.0,2024-12-05 14:15:11.931724
184,CHAMBLFERT,6.04532474736842,549.7,2,1.0,2024-12-05 15:26:14.012816
185,YESBANK,0.296599315942275,21.326451612903234,0,0.0,2024-12-05 09:05:58.780660
186,RBLBANK,2.0324863191850597,175.45,5,2.5,2024-12-05 10:52:56.254212
187,LODHA,19.53141045483871,1372.7,4,2.0,2024-12-05 15:05:39.310882
188,IDFCFIRSTB,0.6284460294736842,66.2416129032258,0,0.0,2024-12-05 09:05:58.780660
189,BALKRISIND,25.205178393208826,2855.9,1,0.5,2024-12-05 11:08:58.544850
190,SHREECEM,214.34713421935484,26467.2,5,2.5,2024-12-05 14:56:51.854989
191,GMRINFRA,0.8653268670967741,84.09999999999998,0,0.0,2024-12-05 09:05:58.780660
192,JINDALSTEL,9.10368616820883,937.85,2,1.0,2024-12-05 13:17:37.793136
193,FEDERALBNK,2.012375424006791,216.36741935483863,0,0.0,2024-12-05 09:05:58.780660
194,SBICARD,5.209863014643462,718.95,1,0.5,2024-12-05 13:13:24.119474
195,MUTHOOTFIN,17.080263645076396,1951.45,4,2.0,2024-12-05 14:30:01.415009
196,HAVELLS,13.947128711502543,1755.15,5,2.5,2024-12-05 14:46:06.854969
197,MCX,75.85202114261459,6479.75,2,1.0,2024-12-05 10:34:56.402852
198,TATAELXSI,88.32286857792866,7431.95,3,1.5,2024-12-05 13:55:19.538446
199,SONACOMS,8.400162164685907,675.35,2,1.0,2024-12-05 11:28:51.867929
