,Unnamed: 0.1,Unnamed: 0,symbol,long_move_val,fut_benchmark,long_moves,days_theta,idv_updated_time
63,63,63,BANDHANBNK,2.3729518611544984,171.51,2.0,1.0,2024-11-25 12:01:46.465925
64,64,64,CIPLA,12.528594566383704,1498.1,2.0,1.0,2024-11-25 12:01:46.465925
65,65,65,ULTRACEMCO,83.65759651973681,11480.45,8.0,4.0,2024-11-25 14:22:18.922930
66,66,66,GODREJPROP,31.56531368421053,2957.2,8.0,4.0,2024-11-25 12:01:46.465925
67,67,67,GLENMARK,16.527970324193543,1499.1,2.0,1.0,2024-11-25 12:01:46.465925
68,68,68,ASTRAL,16.90539760950763,1797.7,5.0,2.5,2024-11-25 12:01:46.465925
69,69,69,MARUTI,90.24192822580645,11163.05,3.0,1.5,2024-11-25 12:01:46.465925
70,70,70,MARICO,5.0751139342105285,606.85,3.0,1.5,2024-11-25 12:01:46.465925
71,71,71,GNFC,,562.4435483870968,0.0,0.0,2024-11-25 09:19:24.078985
72,72,72,LTIM,53.89608156876062,6172.6,4.0,2.0,2024-11-25 12:01:46.465925
73,73,73,TORNTPHARM,,3122.551612903226,0.0,0.0,2024-11-25 09:19:24.078985
74,74,74,ICICIGI,16.02941824473684,1837.35,1.0,0.5,2024-11-25 12:01:46.465925
75,75,75,INDIAMART,26.528126652631585,2316.1,2.0,1.0,2024-11-25 14:22:18.922930
76,76,76,MPHASIS,30.488564291850587,2926.3,4.0,2.0,2024-11-25 12:01:46.465925
77,77,77,M&M,31.849948911290323,3074.3,4.0,2.0,2024-11-25 12:01:46.465925
78,78,78,GRASIM,21.53760746349745,2625.0,3.0,1.5,2024-11-25 12:01:46.465925
79,79,79,AARTIIND,,428.35161290322577,0.0,0.0,2024-11-25 09:19:24.078985
80,80,80,OFSS,143.92689301171472,11835.4,5.0,2.5,2024-11-25 12:01:46.465925
81,81,81,ADANIENT,63.19384326910016,2308.8,2.0,1.0,2024-11-25 12:01:46.465925
82,82,82,LAURUSLABS,5.464365110865874,524.1,6.0,3.0,2024-11-25 12:01:46.465925
83,83,83,WIPRO,5.5433526129032265,580.75,4.0,2.0,2024-11-25 12:01:46.465925
84,84,84,INDHOTEL,8.510010081833617,800.4,1.0,0.5,2024-11-25 14:22:18.922930
85,85,85,IRCTC,7.834760811375212,817.45,3.0,1.5,2024-11-25 12:01:46.465925
86,86,86,VOLTAS,18.023737820373515,1664.55,3.0,1.5,2024-11-25 14:22:18.922930
87,87,87,LUPIN,19.14373334465196,2100.35,2.0,1.0,2024-11-25 12:01:46.465925
88,88,88,INFY,13.72645108828523,1894.75,4.0,2.0,2024-11-25 12:01:46.465925
89,89,89,CONCOR,7.779253304456708,806.85,4.0,2.0,2024-11-25 12:01:46.465925
90,90,90,PVRINOX,17.15946405050934,1492.2,2.0,1.0,2024-11-25 12:01:46.465925
91,91,91,BHEL,3.241157712436332,242.97,4.0,2.0,2024-11-25 12:01:46.465925
92,92,92,PEL,13.425727843803056,1109.95,4.0,2.0,2024-11-25 12:01:46.465925
93,93,93,EICHERMOT,45.30035059991512,5028.05,2.0,1.0,2024-11-25 12:01:46.465925
94,94,94,HDFCAMC,42.51356895246181,4338.05,2.0,1.0,2024-11-25 12:01:46.465925
95,95,95,SUNPHARMA,13.02223702410866,1789.15,2.0,1.0,2024-11-25 14:22:18.922930
96,96,96,INDUSTOWER,4.255422782258065,336.45,1.0,0.5,2024-11-25 14:22:18.922930
97,97,97,ABCAPITAL,2.1821037190152794,191.4,3.0,1.5,2024-11-25 12:01:46.465925
98,98,98,PNB,1.3571774108658743,104.8,6.0,3.0,2024-11-25 12:01:46.465925
99,99,99,DEEPAKNTR,26.55154215178268,2713.75,4.0,2.0,2024-11-25 12:01:46.465925
100,100,100,TRENT,84.85976030237691,6758.05,3.0,1.5,2024-11-25 12:01:46.465925
101,101,101,MRF,1089.3072267000002,125329.95,1.0,0.5,2024-11-25 12:01:46.465925
102,102,102,TATACONSUM,8.18259214006791,954.15,4.0,2.0,2024-11-25 12:01:46.465925
103,103,103,COALINDIA,3.782660653650256,419.6,5.0,2.5,2024-11-25 14:22:18.922930
104,104,104,KOTAKBANK,12.812801606791172,1770.7,2.0,1.0,2024-11-25 12:01:46.465925
105,105,105,RELIANCE,10.526913658828525,1294.1,6.0,3.0,2024-11-25 12:01:46.465925
106,106,106,BAJAJ-AUTO,88.59817937419352,9540.84193548387,0.0,0.0,2024-11-25 09:19:24.078985
107,107,107,NIFTY,116.27791808149404,24274.0,7.0,3.5,2024-11-25 12:01:46.465925
108,108,108,DRREDDY,9.838183577419356,1219.55,2.0,1.0,2024-11-25 12:01:46.465925
109,109,109,BAJFINANCE,58.63206374872664,6746.8,4.0,2.0,2024-11-25 12:01:46.465925
110,110,110,MANAPPURAM,2.240456722903226,151.411935483871,0.0,0.0,2024-11-25 09:19:24.078985
111,111,111,NATIONALUM,3.451116361629881,245.5322580645161,0.0,0.0,2024-11-25 09:19:24.078985
112,112,112,BPCL,3.3884548288624794,297.1,4.0,2.0,2024-11-25 12:01:46.465925
113,113,113,TATAMOTORS,7.981183047538199,796.1,2.0,1.0,2024-11-25 12:01:46.465925
114,114,114,ALKEM,57.88811463497456,5561.498387096774,0.0,0.0,2024-11-25 09:19:24.078985
115,115,115,HINDCOPPER,,263.9225806451614,0.0,0.0,2024-11-25 09:19:24.078985
116,116,116,RAMCOCEM,9.273543756366722,969.6,6.0,3.0,2024-11-25 12:01:46.465925
117,117,117,TECHM,15.03014748302207,1751.65,3.0,1.5,2024-11-25 12:01:46.465925
118,118,118,EXIDEIND,4.910278833870967,430.2,2.0,1.0,2024-11-25 12:01:46.465925
119,119,119,CHAMBLFERT,5.775602204414261,480.35,4.0,2.0,2024-11-25 12:01:46.465925
120,120,120,RECLTD,7.089469365025468,526.0,5.0,2.5,2024-11-25 12:01:46.465925
121,121,121,UPL,6.204799420628182,576.65,3.0,1.5,2024-11-25 12:01:46.465925
122,122,122,POLYCAB,64.47750515398981,6776.9,5.0,2.5,2024-11-25 12:01:46.465925
123,123,123,IPCALAB,16.219360045415957,1614.75,2.0,1.0,2024-11-25 12:01:46.465925
124,124,124,MOTHERSON,2.031126103904924,167.01,2.0,1.0,2024-11-25 12:01:46.465925
125,125,125,RBLBANK,2.200245650628183,159.53,1.0,0.5,2024-11-25 12:01:46.465925
126,126,126,TATACHEM,11.99895038578098,1085.75,5.0,2.5,2024-11-25 14:35:08.940200
127,127,127,PAGEIND,389.9160263157895,45620.8,3.0,1.5,2024-11-25 12:01:46.465925
128,128,128,IDFCFIRSTB,0.7669017382003395,64.94,5.0,2.5,2024-11-25 14:35:08.940200
129,129,129,BALKRISIND,24.56811382682512,2786.95,2.0,1.0,2024-11-25 12:01:46.465925
130,130,130,JSWSTEEL,8.752689464176568,949.0596774193548,0.0,0.0,2024-11-25 09:19:24.078985
131,131,131,GMRINFRA,1.0568558903820036,80.44,3.0,1.5,2024-11-25 12:01:46.465925
132,132,132,JINDALSTEL,9.575892493548386,884.8,1.0,0.5,2024-11-25 14:22:18.922930
133,133,133,HAL,49.08824368760611,4287.65,6.0,3.0,2024-11-25 12:01:46.465925
134,134,134,SHREECEM,203.52459991256373,25367.6,9.0,4.5,2024-11-25 14:22:18.922930
135,135,135,NTPC,3.8991648048387098,372.95,4.0,2.0,2024-11-25 12:01:46.465925
136,136,136,ESCORTS,34.59745172258064,3613.6,6.0,3.0,2024-11-25 14:22:18.922930
137,137,137,MUTHOOTFIN,17.856899177419358,1937.8,2.0,1.0,2024-11-25 12:01:46.465925
138,138,138,HAVELLS,14.733529336842102,1707.0,4.0,2.0,2024-11-25 12:01:46.465925
139,139,139,TCS,27.94970229626486,4288.3,7.0,3.5,2024-11-25 12:01:46.465925
140,140,140,MCX,85.22163613989811,6208.425806451613,0.0,0.0,2024-11-25 09:19:24.078985
141,141,141,FEDERALBNK,2.2607267109677416,211.2935483870968,0.0,0.0,2024-11-25 09:19:24.078985
142,142,142,SBICARD,6.171485799660443,695.2,6.0,3.0,2024-11-25 12:01:46.465925
143,143,143,ICICIPRULI,6.928508977419355,690.95,1.0,0.5,2024-11-25 12:01:46.465925
144,144,144,HINDUNILVR,15.812692841723262,2489.05,6.0,3.0,2024-11-25 12:01:46.465925
145,145,145,HCLTECH,14.734403126994904,1899.7,4.0,2.0,2024-11-25 12:01:46.465925
