,symbol,long_move_val,fut_benchmark,long_moves,days_theta,idv_updated_time
0,BANKBARODA,2.2718328191001698,243.19,2,1.0,2024-12-31 14:45:00.629091
1,GUJGASLTD,4.554532246859083,497.5,9,4.5,2024-12-31 10:49:28.868489
2,PFC,5.260880609252971,450.35,1,0.5,2024-12-31 12:34:45.477858
3,UNITDSPR,12.649366131196942,1630.0,1,0.5,2024-12-31 13:48:21.408957
4,DLF,7.527146355687605,833.5,3,1.5,2024-12-31 14:13:24.812561
5,GAIL,1.979888206757216,192.65,3,1.5,2024-12-31 12:32:07.606255
6,TATAPOWER,3.759241887733446,397.85,3,1.5,2024-12-31 14:06:20.239255
7,ATUL,69.14135966612902,6992.1,1,0.5,2024-12-31 09:19:42.455427
8,AUROPHARMA,11.867656234083189,1344.0,7,3.5,2024-12-31 12:34:17.546415
9,BSOFT,6.042554361290324,566.75,2,1.0,2024-12-31 09:43:05.972357
10,SAIL,1.3494448797028862,114.17,1,0.5,2024-12-31 13:58:09.490816
11,MFSL,10.6442677790747,1118.0,2,1.0,2024-12-31 12:40:35.470838
12,INDIANB,6.273422555390492,535.5,2,1.0,2024-12-31 11:15:50.680760
13,OBEROIRLTY,24.7979473344652,2311.5,1,0.5,2024-12-31 13:32:26.197405
14,LICHSGFIN,5.179344165365024,600.9,3,1.5,2024-12-31 14:12:54.461370
15,APOLLOTYRE,4.55014171434635,532.6,1,0.5,2024-12-31 09:52:30.803550
16,IRFC,1.9569695775891345,140.8,5,2.5,2024-12-31 10:38:46.929980
17,SHRIRAMFIN,30.91421714838709,2902.95,1,0.5,2024-12-31 09:23:39.181988
18,BRITANNIA,32.174475082342944,4785.0,3,1.5,2024-12-31 09:49:53.868899
19,POWERGRID,2.317850448005094,310.2,2,1.0,2024-12-31 13:41:17.929405
20,AXISBANK,8.118416656451613,1069.85,1,0.5,2024-12-31 09:15:02.812896
21,ZYDUSLIFE,7.664989123853989,975.0,3,1.5,2024-12-31 10:38:49.159605
22,GRANULES,5.872276956748727,593.0,1,0.5,2024-12-31 12:22:38.280358
23,APOLLOHOSP,49.87673554779287,7345.0,2,1.0,2024-12-31 15:00:58.360700
24,ABFRL,2.7718746417657045,280.5,2,1.0,2024-12-31 10:45:03.982932
25,JKCEMENT,42.90478296417656,4615.0,2,1.0,2024-12-31 13:29:05.176518
26,NMDC,0.8125108992784381,66.61,1,0.5,2024-12-31 14:43:33.848673
27,ASIANPAINT,17.307444686926996,2296.125806451613,0,0.0,2024-12-31 09:05:59.608929
28,AMBUJACEM,5.0397037163837,539.6,2,1.0,2024-12-31 09:52:03.245161
29,SUPREMEIND,52.07452058658743,4743.2,1,0.5,2024-12-31 13:35:04.151404
30,BANKINDIA,1.137588071765705,101.6009677419355,0,0.0,2024-12-31 09:05:59.608929
31,KPITTECH,15.093284014219018,1467.95,4,2.0,2024-12-31 13:28:03.206538
32,CUB,1.4701790912563664,173.63,2,1.0,2024-12-31 14:45:54.228583
33,HDFCBANK,11.89778943803056,1792.75,2,1.0,2024-12-31 10:25:09.608958
34,CUMMINSIND,32.373039002886244,3314.15,8,4.0,2024-12-31 13:57:31.599837
35,BHARTIARTL,11.227111525000002,1599.6,4,2.0,2024-12-31 12:31:50.323519
36,GODREJCP,8.275854976230901,1089.3,2,1.0,2024-12-31 13:01:19.510243
37,BANDHANBNK,1.872379301935484,160.18,2,1.0,2024-12-31 13:33:26.827685
38,CIPLA,11.1525869,1543.95,1,0.5,2024-12-31 11:40:09.450709
39,GODREJPROP,30.903489004838708,2796.95,1,0.5,2024-12-31 09:15:23.434005
40,GLENMARK,15.497560196774195,1619.85,3,1.5,2024-12-31 11:11:21.171533
41,GNFC,5.412140720713074,564.7,5,2.5,2024-12-31 14:13:40.917193
42,MARUTI,80.19133231706282,10903.65,2,1.0,2024-12-31 10:55:49.008731
43,MARICO,5.247278889643464,641.1,1,0.5,2024-12-31 09:52:33.509226
44,ASTRAL,14.365291191001695,1657.55,3,1.5,2024-12-31 12:03:35.076777
45,LTIM,54.53862299694398,5585.4,4,2.0,2024-12-31 11:59:45.854331
46,ICICIGI,16.778742399405772,1790.25,2,1.0,2024-12-31 15:19:10.640313
47,INDIAMART,25.333614056876065,2262.9,1,0.5,2024-12-31 09:16:28.746163
48,MPHASIS,31.647643803904927,2856.2,6,3.0,2024-12-31 12:44:45.587147
49,M&M,26.63066311196944,3027.0,2,1.0,2024-12-31 10:47:05.169350
50,LAURUSLABS,6.450919989006792,603.5,2,1.0,2024-12-31 13:33:41.103389
51,WIPRO,3.126965424448217,302.0,3,1.5,2024-12-31 12:30:54.947379
52,VOLTAS,15.641289592359929,1771.5,7,3.5,2024-12-31 13:36:46.981938
53,LUPIN,20.21175117351443,2374.9,7,3.5,2024-12-31 11:27:36.488088
54,CESC,2.2248729574533104,188.0,3,1.5,2024-12-31 13:50:36.704600
55,CDSL,20.45753780950764,1764.0,4,2.0,2024-12-31 13:28:29.765908
56,PVRINOX,14.315191709677418,1307.45,3,1.5,2024-12-31 12:35:27.681975
57,BHEL,2.8060536392190154,230.95,1,0.5,2024-12-31 09:17:29.821237
58,ADANIENSOL,12.140450038624785,813.0,1,0.5,2024-12-31 09:18:32.938367
59,PNB,1.1253505328353135,103.75,1,0.5,2024-12-31 14:59:33.922059
60,TRENT,76.71335396943972,7170.9,6,3.0,2024-12-31 15:13:43.688637
61,MRF,818.2462699692694,131862.65,4,2.0,2024-12-31 12:33:22.576821
62,COALINDIA,3.240518782682512,384.8,1,0.5,2024-12-31 12:33:14.282567
63,ALKEM,49.65191590543294,5620.45,3,1.5,2024-12-31 14:06:41.620344
64,HUDCO,3.1044597337181665,237.14,3,1.5,2024-12-31 14:12:23.610067
65,BPCL,2.993236997198642,292.8064516129032,0,0.0,2024-12-31 09:05:59.608929
66,TATAMOTORS,6.884014221392189,747.35,1,0.5,2024-12-31 14:04:35.522215
67,HINDCOPPER,2.9640349492359928,249.25,2,1.0,2024-12-31 10:35:54.323563
68,POLYCAB,70.15855426833616,7310.5,4,2.0,2024-12-31 15:00:13.742189
69,RECLTD,6.170698945288623,501.7838709677419,0,0.0,2024-12-31 09:05:59.608929
70,MOTHERSON,1.6858153549405772,157.09,1,0.5,2024-12-31 13:06:34.505501
71,IPCALAB,15.491908884932087,1695.0,2,1.0,2024-12-31 11:58:48.319304
72,TATACHEM,10.037064172495755,1059.75,6,3.0,2024-12-31 12:51:08.525535
73,PAGEIND,371.5293787941425,47671.45,1,0.5,2024-12-31 11:05:15.629487
74,NTPC,2.7645001922750416,335.25,3,1.5,2024-12-31 13:39:12.679484
75,JSWSTEEL,8.007260628565366,907.0451612903224,0,0.0,2024-12-31 09:05:59.608929
76,HAL,43.03783197962649,4209.5,2,1.0,2024-12-31 13:39:57.781843
77,PAYTM,14.983343777589134,1025.8193548387096,0,0.0,2024-12-31 09:05:59.608929
78,TCS,30.872458804074704,4075.0,4,2.0,2024-12-31 11:14:36.179059
79,ESCORTS,31.018802717487265,3364.75,2,1.0,2024-12-31 15:21:45.936099
80,ICICIPRULI,6.521572757427843,660.3,1,0.5,2024-12-31 14:39:30.347568
81,HINDUNILVR,14.600893853225802,2341.1,1,0.5,2024-12-31 15:28:58.662974
82,ANGELONE,42.91487058870966,2910.0,2,1.0,2024-12-31 12:03:14.812526
83,HFCL,1.5400553389219014,113.43,1,0.5,2024-12-31 13:46:14.360876
84,HCLTECH,15.305848892062818,1915.75,4,2.0,2024-12-31 14:04:34.831783
85,TVSMOTOR,21.589118288624785,2377.2419354838707,0,0.0,2024-12-31 09:05:59.608929
86,NHPC,0.8523552441086589,81.25,4,2.0,2024-12-31 15:02:37.780949
87,POONAWALLA,3.661773754329372,313.45,4,2.0,2024-12-31 13:40:55.093667
88,ADANIPORTS,12.552201651315787,1231.0,4,2.0,2024-12-31 15:28:37.340783
89,ZOMATO,3.54523437763158,279.3,2,1.0,2024-12-31 12:37:47.065264
90,JUBLFOOD,7.374982236417656,716.2145161290323,0,0.0,2024-12-31 09:05:59.608929
91,IDEA,0.143023024516129,8.09,2,1.0,2024-12-31 14:41:58.193901
92,DELHIVERY,3.971227076740236,344.5629032258065,0,0.0,2024-12-31 09:05:59.608929
93,IOC,1.1962584750254666,137.15,1,0.5,2024-12-31 12:28:25.606951
94,ATGL,11.06816219312394,723.85,10,5.0,2024-12-31 14:40:59.459141
95,BIOCON,3.7115978364601023,369.5,2,1.0,2024-12-31 12:31:03.266164
96,LT,25.680907590662144,3633.2,3,1.5,2024-12-31 13:40:12.210671
97,BOSCHLTD,244.0124843879032,34375.6,1,0.5,2024-12-31 13:42:50.244816
98,NCC,3.374641638539898,272.508064516129,0,0.0,2024-12-31 09:05:59.608929
99,PIIND,34.80912396731748,3714.05,5,2.5,2024-12-31 15:01:15.274247
100,LTTS,43.80280616859082,4780.0,4,2.0,2024-12-31 12:08:20.461079
101,ABBOTINDIA,248.83079209953308,30046.862903225803,0,0.0,2024-12-31 09:05:59.608929
102,PERSISTENT,74.10873804787778,6446.9,7,3.5,2024-12-31 13:57:41.711649
103,UNIONBANK,1.248671569074703,121.32,2,1.0,2024-12-31 15:07:47.399605
104,ASHOKLEY,1.9048296604414263,220.61,1,0.5,2024-12-31 09:16:18.901268
105,IGL,4.836029709677419,412.95,2,1.0,2024-12-31 13:35:11.537564
106,JSL,7.8111897470288625,702.5,3,1.5,2024-12-31 13:25:31.009773
107,METROPOLIS,19.981878084380305,2087.0,3,1.5,2024-12-31 10:19:56.619902
108,BATAINDIA,10.45165608064516,1373.0,2,1.0,2024-12-31 14:07:25.017168
109,TATACOMM,16.63835731561969,1713.3,2,1.0,2024-12-31 13:21:32.801739
110,M&MFIN,2.865848179966044,264.5774193548387,0,0.0,2024-12-31 09:05:59.608929
111,PIDILITIND,21.22187612393888,2912.35,1,0.5,2024-12-31 11:03:07.713816
112,BEL,2.9759274738539903,293.65,2,1.0,2024-12-31 13:40:03.220012
113,LALPATHLAB,25.172194494227504,3005.5,1,0.5,2024-12-31 12:00:53.705666
114,SYNGENE,7.755827146349746,867.8,3,1.5,2024-12-31 13:47:52.602217
115,ITC,1.3340848312818334,483.9,16,8.0,2024-12-31 15:18:01.189132
116,KALYANKJIL,8.76105480942275,756.4,6,3.0,2024-12-31 15:14:13.578626
117,BHARATFORG,12.033421811799665,1313.1,4,2.0,2024-12-31 13:38:27.213353
118,COLPAL,22.31413500955008,2708.85,2,1.0,2024-12-31 13:23:48.969629
119,ICICIBANK,8.59859168760611,1296.65,1,0.5,2024-12-31 09:15:04.877409
120,CROMPTON,3.6450485842105262,398.0290322580645,0,0.0,2024-12-31 09:05:59.608929
121,UBL,15.533619185059424,2047.26935483871,0,0.0,2024-12-31 09:05:59.608929
122,NAUKRI,80.25589419473684,8724.7,8,4.0,2024-12-31 13:03:12.490581
123,BERGEPAINT,3.5711526967741927,451.4,2,1.0,2024-12-31 15:09:15.071597
124,APLAPOLLO,16.254196285229202,1581.0,7,3.5,2024-12-31 12:50:49.396966
125,SUNTV,6.069695412563664,683.3516129032258,0,0.0,2024-12-31 09:05:59.608929
126,CANBK,0.9963190087266558,100.29645161290324,0,0.0,2024-12-31 09:05:59.608929
127,HINDPETRO,4.510082084932089,409.4,2,1.0,2024-12-31 10:55:50.511404
128,SIEMENS,70.00028069405772,6576.0,3,1.5,2024-12-31 13:06:31.718352
129,ADANIGREEN,20.09470934804753,1048.6,1,0.5,2024-12-31 10:05:38.702416
130,CYIENT,21.839621950382,1851.5,6,3.0,2024-12-31 14:09:52.888906
131,BAJAJFINSV,11.941284942275042,1582.8,2,1.0,2024-12-31 12:15:29.094190
132,VBL,5.988878030899829,643.7,3,1.5,2024-12-31 14:36:29.935115
133,DALBHARAT,17.788347565365022,1781.2,2,1.0,2024-12-31 13:48:41.783119
134,HINDALCO,5.4086018760611205,606.2322580645161,0,0.0,2024-12-31 09:05:59.608929
135,CANFINHOME,7.275077394397283,759.5661290322579,0,0.0,2024-12-31 09:05:59.608929
136,CHOLAFIN,12.718458233573854,1196.85,4,2.0,2024-12-31 10:06:30.610437
137,COFORGE,105.1580703942275,9677.9,5,2.5,2024-12-31 12:33:19.716109
138,INDIGO,38.33329484134125,4604.0,1,0.5,2024-12-31 10:12:37.513382
139,DIXON,227.93614183747877,17959.0,3,1.5,2024-12-31 12:33:27.599563
140,IRB,0.6948963805772495,57.5,2,1.0,2024-12-31 15:03:13.234311
141,NYKAA,1.858872410696095,163.5,3,1.5,2024-12-31 12:23:39.345137
142,LTF,1.434379551018676,134.7,1,0.5,2024-12-31 09:15:17.388649
143,DIVISLAB,45.09758530967743,6130.75,4,2.0,2024-12-31 15:05:35.846600
