,symbol,long_move_val,fut_benchmark,long_moves,days_theta,idv_updated_time
0,BANKBARODA,2.494758273820034,259.45,1,0.5,2024-12-12 09:43:02.729737
1,GUJGASLTD,5.23599426451613,509.0,2,1.0,2024-12-12 13:52:18.444822
2,PFC,5.85244004269949,509.35,1,0.5,2024-12-12 12:02:35.864629
3,UNITDSPR,10.902033800000002,1523.55,2,1.0,2024-12-12 09:34:36.144501
4,DLF,7.469591618845502,869.6,1,0.5,2024-12-12 09:41:02.389137
5,GAIL,1.897924818548387,206.706129032258,0,0.0,2024-12-12 09:08:54.910182
6,TATAPOWER,4.1091101935483865,432.45,1,0.5,2024-12-12 09:40:39.204080
7,ATUL,73.98550041426147,7233.25,3,1.5,2024-12-12 10:45:03.840773
8,AUROPHARMA,10.692768852292016,1220.25,1,0.5,2024-12-12 11:02:05.001867
9,BSOFT,6.073298534804753,615.15,2,1.0,2024-12-12 10:55:26.882841
10,SAIL,1.4683035951612902,129.1,3,1.5,2024-12-12 12:54:20.962820
11,MFSL,12.303120379456708,1123.85,2,1.0,2024-12-12 14:00:10.916916
12,INDIANB,7.821608058573851,585.0,2,1.0,2024-12-12 12:01:50.144858
13,OBEROIRLTY,21.829494530135825,2134.05,2,1.0,2024-12-12 14:32:16.697312
14,LICHSGFIN,5.948229988497453,632.45,3,1.5,2024-12-12 15:28:02.598583
15,AXISBANK,8.761777609932087,1149.7677419354836,0,0.0,2024-12-12 09:08:54.910182
16,IRFC,2.3745218439728357,162.76,1,0.5,2024-12-12 09:36:57.048784
17,SHRIRAMFIN,33.439387149320886,3253.4967741935484,0,0.0,2024-12-12 09:08:54.910182
18,BRITANNIA,37.24592423429542,4825.65,2,1.0,2024-12-12 12:58:39.572265
19,POWERGRID,2.5268359688455004,328.06935483870967,0,0.0,2024-12-12 09:08:54.910182
20,APOLLOTYRE,5.006764589770798,541.6548387096776,0,0.0,2024-12-12 09:08:54.910182
21,ABFRL,3.430321239388795,307.6,1,0.5,2024-12-12 09:44:57.570593
22,ZYDUSLIFE,7.862476069439729,979.55,1,0.5,2024-12-12 10:30:35.961894
23,GRANULES,6.493958118421053,588.5000000000001,0,0.0,2024-12-12 09:08:54.910182
24,APOLLOHOSP,53.1892520098472,7238.0,2,1.0,2024-12-12 11:02:59.648378
25,ASIANPAINT,16.36740052054329,2393.6,2,1.0,2024-12-12 12:22:05.931034
26,JKCEMENT,47.80357078166383,4661.0,1,0.5,2024-12-12 09:44:01.305537
27,SUPREMEIND,64.7000409393888,4890.85,1,0.5,2024-12-12 09:43:30.080588
28,AMBUJACEM,5.153141365747029,573.9,3,1.5,2024-12-12 12:24:03.454920
29,NMDC,2.4909029579796265,239.78,1,0.5,2024-12-12 10:34:53.361633
