,symbol,long_move_val,fut_benchmark,long_moves,days_theta,idv_updated_time
0,BANKBARODA,2.332995324032258,248.52,6,3.0,2024-12-19 13:47:13.276587
1,GUJGASLTD,4.98585942580645,506.2,3,1.5,2024-12-19 11:57:10.877810
2,PFC,5.677927651528012,483.65,5,2.5,2024-12-19 11:45:10.580390
3,UNITDSPR,14.929827351443125,1572.0,3,1.5,2024-12-19 14:52:28.207111
4,DLF,8.181540131281832,861.05,4,2.0,2024-12-19 13:45:01.639920
5,GAIL,2.1145324831069603,194.43,7,3.5,2024-12-19 13:46:30.987584
6,TATAPOWER,4.220680855263157,411.7,4,2.0,2024-12-19 10:37:26.580891
7,ATUL,60.95022648556875,7399.4,5,2.5,2024-12-19 10:33:29.009290
8,AUROPHARMA,11.696820278862477,1264.45,4,2.0,2024-12-19 10:02:20.989041
9,BSOFT,6.172838090322579,593.35,4,2.0,2024-12-19 09:26:25.604536
10,SAIL,9999999.0,120.7583870967742,0,0.0,2024-12-19 09:10:06.651967
11,MFSL,9999999.0,1148.3370967741937,0,0.0,2024-12-19 09:10:06.651967
12,INDIANB,7.502449499999999,553.8,3,1.5,2024-12-19 09:55:36.406467
13,OBEROIRLTY,26.341619060271643,2307.85,3,1.5,2024-12-19 09:35:44.761354
14,LICHSGFIN,5.678545362309,591.85,6,3.0,2024-12-19 10:41:05.815635
15,AXISBANK,8.780400483616297,1113.0,4,2.0,2024-12-19 09:20:41.784374
16,IRFC,2.425570936502546,149.75,2,1.0,2024-12-19 11:20:38.093229
17,SHRIRAMFIN,37.272679689558565,2938.5,5,2.5,2024-12-19 11:50:09.524679
18,BRITANNIA,40.561901862393874,4797.75,5,2.5,2024-12-19 14:20:17.841439
19,POWERGRID,2.5789359877758904,323.75,4,2.0,2024-12-19 11:57:14.736265
20,APOLLOTYRE,4.979751817657046,530.65,1,0.5,2024-12-19 09:39:51.093122
21,ABFRL,3.206207295076401,291.0,1,0.5,2024-12-19 09:15:28.425640
22,ZYDUSLIFE,8.700906551782685,986.45,4,2.0,2024-12-19 11:20:47.801947
23,GRANULES,9999999.0,598.5999999999999,0,0.0,2024-12-19 09:10:06.651967
24,APOLLOHOSP,59.56837940789473,7285.0,7,3.5,2024-12-19 10:42:35.483823
25,ASIANPAINT,19.35586607886248,2295.75,8,4.0,2024-12-19 11:50:25.095574
26,JKCEMENT,9999999.0,4635.2661290322585,0,0.0,2024-12-19 09:10:06.651967
27,SUPREMEIND,71.82561634125636,5032.95,1,0.5,2024-12-19 09:15:57.727263
28,AMBUJACEM,5.2632440950764,559.75,2,1.0,2024-12-19 09:15:00.569533
29,NMDC,2.597952201561969,214.75,4,2.0,2024-12-19 09:51:17.041572
30,BANKINDIA,1.209121337741936,107.28,3,1.5,2024-12-19 11:20:46.220345
31,KPITTECH,18.51921989473684,1523.15,5,2.5,2024-12-19 12:41:52.372372
32,CUB,1.8235106010186752,180.33,3,1.5,2024-12-19 09:45:16.728760
33,HDFCBANK,11.768578334804753,1797.0,5,2.5,2024-12-19 09:49:50.977285
34,CUMMINSIND,35.43928848870967,3387.9,5,2.5,2024-12-19 13:50:12.282886
35,BHARTIARTL,12.43326680390492,1608.0,5,2.5,2024-12-19 09:54:35.561264
36,GODREJCP,9.812413669269946,1081.7,2,1.0,2024-12-19 09:15:28.425640
37,BANDHANBNK,2.0946442852631573,164.7,4,2.0,2024-12-19 09:53:58.221738
38,CIPLA,12.417463152292024,1502.4,5,2.5,2024-12-19 12:53:00.917349
39,GODREJPROP,35.13372277079796,2994.0,5,2.5,2024-12-19 10:32:20.227733
40,GLENMARK,14.69502336842105,1541.15,4,2.0,2024-12-19 10:44:21.405962
41,ASTRAL,14.419948325382,1786.0,4,2.0,2024-12-19 14:14:52.350969
42,MARUTI,86.83821320916806,10991.25,5,2.5,2024-12-19 10:39:32.389099
43,MARICO,5.561036723599319,641.45,3,1.5,2024-12-19 11:56:55.794143
44,GNFC,5.815179917996602,596.35,5,2.5,2024-12-19 13:21:08.693357
45,LTIM,62.492264250339566,6269.6,12,6.0,2024-12-19 13:20:20.039696
46,INDIAMART,22.794451105263143,2362.8,3,1.5,2024-12-19 09:20:02.136879
47,MPHASIS,34.39639524999998,3109.05,9,4.5,2024-12-19 10:01:22.297445
48,ICICIGI,15.625747218421056,1900.7,7,3.5,2024-12-19 13:56:52.941495
49,M&M,28.19730376485569,3024.4,4,2.0,2024-12-19 10:21:14.205222
50,LAURUSLABS,5.826981952461801,570.5,2,1.0,2024-12-19 10:45:41.845927
51,WIPRO,3.4386697436332776,313.2,6,3.0,2024-12-19 13:57:59.610981
52,VOLTAS,15.392192121561967,1745.9,7,3.5,2024-12-19 15:00:22.584312
53,LUPIN,17.14738164702887,2161.65,5,2.5,2024-12-19 14:11:43.843618
54,CESC,2.5615933147368417,187.87,4,2.0,2024-12-19 10:43:49.001736
55,CDSL,25.3941698196944,1958.0,4,2.0,2024-12-19 11:22:55.726641
56,PVRINOX,23.434084947368408,1416.0,2,1.0,2024-12-19 15:00:32.034674
57,BHEL,3.070949703862478,240.2,5,2.5,2024-12-19 11:44:27.992429
58,ADANIENSOL,14.824691903225808,794.8,4,2.0,2024-12-19 13:53:44.887601
59,PNB,1.1926988391850597,103.18,7,3.5,2024-12-19 13:46:23.179589
60,TRENT,84.94985597962649,7101.6,5,2.5,2024-12-19 15:00:56.495434
61,MRF,995.6658825473688,129689.45,2,1.0,2024-12-19 09:15:03.567006
62,COALINDIA,3.7710770797962647,391.85,2,1.0,2024-12-19 09:15:31.294430
63,ALKEM,47.39509065789473,5494.7,5,2.5,2024-12-19 10:21:23.825019
64,HUDCO,3.604747771816638,245.09,6,3.0,2024-12-19 13:50:23.265826
65,BPCL,2.993080660101867,294.35,5,2.5,2024-12-19 11:13:52.453629
66,TATAMOTORS,7.898438726910015,744.35,4,2.0,2024-12-19 14:37:11.877816
67,HINDCOPPER,9999999.0,279.616129032258,0,0.0,2024-12-19 09:10:06.651967
68,POLYCAB,73.84868761884549,7449.7,4,2.0,2024-12-19 14:04:55.886257
69,RECLTD,6.026483277589135,527.8,6,3.0,2024-12-19 14:14:44.491701
70,MOTHERSON,1.910285412427844,157.07,4,2.0,2024-12-19 09:24:14.801796
71,IPCALAB,15.716883825976232,1599.0,8,4.0,2024-12-19 14:03:35.528745
72,TATACHEM,10.682168261460102,1055.8,3,1.5,2024-12-19 10:37:09.686431
73,PAGEIND,434.5275214184208,49050.0,1,0.5,2024-12-19 09:15:00.569533
74,NTPC,3.1161026931239397,338.85,2,1.0,2024-12-19 09:15:01.443670
75,JSWSTEEL,8.705924924278438,928.55,3,1.5,2024-12-19 10:08:31.001229
76,HAL,45.93388686235144,4398.0,5,2.5,2024-12-19 13:42:41.237053
77,PAYTM,15.914992299066212,1010.5,2,1.0,2024-12-19 09:43:18.058677
78,TCS,32.94153746816637,4279.05,9,4.5,2024-12-19 14:42:33.881830
79,ESCORTS,33.57201581358235,3288.0,3,1.5,2024-12-19 14:20:00.640697
80,ICICIPRULI,7.015576436842106,657.7,2,1.0,2024-12-19 09:15:31.294430
