,symbol,long_move_val,long_move_val_track,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track
0,BANKBARODA,2.360715331697792,0.8431126184634973,210.74,211.44,2,13,1.0,2025-02-11 13:01:57.396958,2025-02-11 14:45:28.250098
1,GUJGASLTD,5.132391262181665,1.8329968793505944,422.5,421.6,4,24,2.0,2025-02-11 14:05:14.723335,2025-02-11 15:08:02.557596
2,PFC,6.427898185483869,2.295677923387096,374.4,372.45,3,22,1.5,2025-02-11 10:31:18.327095,2025-02-11 15:19:21.817603
3,GAIL,1.8623864133106955,0.66513800475382,162.44,162.27,3,27,1.5,2025-02-11 09:49:52.656489,2025-02-11 15:18:23.044398
4,UNITDSPR,14.478218589685904,5.170792353459253,1395.0,1395.9,4,15,2.0,2025-02-11 13:13:08.709086,2025-02-11 14:49:28.596758
5,DLF,8.780853380348047,3.136019064410017,706.55,710.55,3,19,1.5,2025-02-11 14:05:52.992116,2025-02-11 14:45:21.452085
6,TATAPOWER,3.841097245797962,1.3718204449278435,347.85,350.3,3,30,1.5,2025-02-11 13:14:16.294979,2025-02-11 14:52:20.372779
7,ATUL,57.51914138098471,20.54255049320883,5850.0,5837.0,3,18,1.5,2025-02-11 11:27:53.189413,2025-02-11 14:49:09.644652
8,AUROPHARMA,13.10015677181664,4.678627418505943,1153.5,1148.4,2,19,1.0,2025-02-11 10:20:23.770010,2025-02-11 15:18:23.044398
9,BSOFT,8.088554137096775,2.88876933467742,509.85,507.95,2,10,1.0,2025-02-11 12:02:26.605808,2025-02-11 13:20:54.214645
10,SAIL,1.7257920366129034,0.6163542987903227,99.97,99.55,3,15,1.5,2025-02-11 14:29:33.333736,2025-02-11 15:27:20.996163
11,MFSL,11.577652295500846,4.134875819821731,1059.95,1062.05,5,23,2.5,2025-02-11 15:28:18.122738,2025-02-11 15:22:02.171105
12,INDIANB,6.959684528013582,2.485601617147708,518.6,512.6,1,20,0.5,2025-02-11 09:31:45.836216,2025-02-11 15:21:17.441504
13,OBEROIRLTY,22.56309119146859,8.058246854095925,1705.55,1697.65,4,27,2.0,2025-02-11 11:34:24.746117,2025-02-11 14:58:02.373396
14,LICHSGFIN,6.504687002376912,2.323102500848897,543.6,545.5,3,19,1.5,2025-02-11 13:14:31.804561,2025-02-11 15:20:14.648484
15,APOLLOTYRE,4.706230921986418,1.680796757852292,417.7,415.05,1,14,0.5,2025-02-11 09:18:46.142435,2025-02-11 14:02:19.742155
16,IRFC,1.885138084040746,0.6732636014431236,121.24,121.75,3,15,1.5,2025-02-11 14:23:45.028980,2025-02-11 14:49:25.912957
17,POWERGRID,2.8197922839983014,1.0070686728565363,264.1,262.5,4,19,2.0,2025-02-11 14:54:12.822189,2025-02-11 15:07:54.725690
18,BRITANNIA,39.21625860229204,14.005806643675728,4892.0,4917.15,1,23,0.5,2025-02-11 09:55:10.813501,2025-02-11 14:52:40.846863
