,symbol,long_move_val,long_move_val_track,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track
0,BANKBARODA,2.306227197758913,0.8236525706281834,205.66,206.99,6,34,3.0,2025-02-17 10:33:59.101618,2025-02-17 14:58:17.422770
1,GUJGASLTD,4.557142489813243,1.6275508892190151,393.2,391.0,4,26,2.0,2025-02-17 10:36:45.251779,2025-02-17 15:12:23.180648
2,PFC,5.577985250764007,1.992137589558574,369.7,373.25,4,36,2.0,2025-02-17 13:56:22.365386,2025-02-17 14:57:35.349497
3,GAIL,1.7658045643463494,0.6306444872665534,159.77,160.95,4,30,2.0,2025-02-17 09:31:08.296735,2025-02-17 15:23:11.272749
4,DLF,8.241206699490661,2.943288106960951,673.5,675.35,6,50,3.0,2025-02-17 13:35:26.987181,2025-02-17 15:00:55.895603
5,UNITDSPR,12.96841212644312,4.631575759443972,1351.05,1353.25,1,19,0.5,2025-02-17 09:14:46.320275,2025-02-17 14:21:06.747376
6,TATAPOWER,3.872827412096774,1.3831526471774194,338.45,337.75,8,54,4.0,2025-02-17 13:44:58.379697,2025-02-17 15:16:14.226934
7,ATUL,56.106007717741946,20.03785989919356,5428.9,5430.45,10,48,5.0,2025-02-17 13:34:45.684715,2025-02-17 15:22:51.459237
8,AUROPHARMA,13.950220291808144,4.982221532788622,1175.4,1175.25,5,24,2.5,2025-02-17 13:41:18.754438,2025-02-17 15:00:11.679544
9,BSOFT,5.228663266129033,1.867379737903226,478.75,478.4,2,34,1.0,2025-02-17 10:25:36.576144,2025-02-17 14:10:25.590539
10,SAIL,1.509168236162988,0.5389886557724958,105.54,105.53,4,29,2.0,2025-02-17 14:57:16.767915,2025-02-17 14:49:54.513125
11,MFSL,10.852406947028864,3.87585962393888,1067.9,1070.45,6,35,3.0,2025-02-17 12:53:34.353133,2025-02-17 15:27:20.686005
12,INDIANB,6.92046942096774,2.471596221774193,515.5,518.2,3,27,1.5,2025-02-17 14:55:49.337511,2025-02-17 15:15:47.688507
13,OBEROIRLTY,21.17948349643463,7.564101248726654,1588.65,1591.45,5,36,2.5,2025-02-17 13:35:29.402076,2025-02-17 14:57:45.468292
14,LICHSGFIN,5.843854808913412,2.0870910031833616,539.85,539.9,7,47,3.5,2025-02-17 13:41:15.730930,2025-02-17 14:28:26.385094
15,APOLLOTYRE,4.087921388455008,1.4599719244482172,416.7,417.25,8,42,4.0,2025-02-17 13:40:14.786133,2025-02-17 14:58:46.656540
16,IRFC,1.7518024138370116,0.6256437192275042,118.96,120.01,7,43,3.5,2025-02-17 10:34:26.290571,2025-02-17 14:58:20.981457
17,POWERGRID,2.4396461258913407,0.871302187818336,262.05,263.2,4,35,2.0,2025-02-17 10:49:42.589557,2025-02-17 15:18:09.018826
18,BRITANNIA,36.67121759053481,13.096863425191003,4957.022580645161,4963.95,0,25,0.0,2025-02-17 09:13:33.451055,2025-02-17 14:59:58.531895
19,AXISBANK,7.032496721561969,2.511605971986418,993.25,995.45,3,25,1.5,2025-02-17 13:41:25.343446,2025-02-17 15:00:24.167224
20,SHRIRAMFIN,7.051017376825126,2.518220491723259,547.2,552.9,5,29,2.5,2025-02-17 12:46:52.850236,2025-02-17 15:01:08.849892
21,ZYDUSLIFE,8.953356014473682,3.197627148026315,920.0,925.1,4,34,2.0,2025-02-17 10:21:26.030201,2025-02-17 15:18:32.380124
22,GRANULES,7.040750214473683,2.5145536480263155,519.0,524.4,5,41,2.5,2025-02-17 11:37:50.036133,2025-02-17 14:57:52.008986
23,APOLLOHOSP,48.86075054796266,17.450268052843807,6275.55,6310.9,4,25,2.0,2025-02-17 13:34:35.963534,2025-02-17 14:33:08.310243
24,ABFRL,4.576395618421052,1.6344270065789472,256.8,255.2,9,33,4.5,2025-02-17 13:42:15.944238,2025-02-17 13:53:26.914600
25,JKCEMENT,49.919823540916816,17.82850840747029,4636.7,4658.0,5,38,2.5,2025-02-17 13:40:08.345754,2025-02-17 14:57:42.578362
26,NMDC,0.8833612474533105,0.3154861598047537,62.46,62.53,4,26,2.0,2025-02-17 10:37:28.667291,2025-02-17 14:57:29.398670
27,ASIANPAINT,15.983999772156196,5.708571347198642,2267.3,2259.2,4,30,2.0,2025-02-17 13:33:55.415047,2025-02-17 14:15:55.578968
28,AMBUJACEM,5.557259426146009,1.9847355093378605,489.65,489.65,6,33,3.0,2025-02-17 14:56:14.999210,2025-02-17 14:56:14.999210
29,SUPREMEIND,50.622260223684194,18.079378651315785,3638.2,3640.0,6,52,3.0,2025-02-17 15:01:24.944235,2025-02-17 15:10:03.944417
