,Unnamed: 0.1,Unnamed: 0,symbol,long_move_val,fut_benchmark,long_moves,days_theta,idv_updated_time
0,0,0,GUJGASLTD,5.302639515704582,463.45,2.0,1.0,2024-11-22 14:25:21.735656
1,1,1,BANKBARODA,2.5750767570458404,237.25,3.0,1.5,2024-11-22 14:25:21.735656
2,2,2,PFC,5.991566451612906,471.0,3.0,1.5,2024-11-22 14:25:21.735656
3,3,3,UNITDSPR,12.250921177419354,1500.4403225806452,0.0,0.0,2024-11-22 09:22:25.046720
4,4,4,PIDILITIND,23.02240500000001,2977.75,1.0,0.5,2024-11-22 14:25:21.735656
5,5,5,DLF,8.30689980687606,807.65,3.0,1.5,2024-11-22 14:25:21.735656
6,6,6,BEL,3.3694896896434634,283.0,2.0,1.0,2024-11-22 14:25:21.735656
7,7,7,LALPATHLAB,27.03316792105264,3038.459677419355,0.0,0.0,2024-11-22 09:22:25.046720
8,8,8,TATAPOWER,4.632259258064516,410.7145161290322,0.0,0.0,2024-11-22 09:22:25.046720
9,9,9,GAIL,2.240521176086588,193.7,2.0,1.0,2024-11-22 14:25:21.735656
10,10,10,TATACOMM,17.567807002207132,1740.0,1.0,0.5,2024-11-22 14:25:21.735656
11,11,11,ATUL,80.64415674023769,7271.2774193548385,0.0,0.0,2024-11-22 09:22:25.046720
12,12,12,SYNGENE,8.820177184380299,871.35,2.0,1.0,2024-11-22 14:25:21.735656
13,13,13,ITC,3.1381374511884546,471.75,4.0,2.0,2024-11-22 14:25:21.735656
14,14,14,AUROPHARMA,12.781755619185056,1226.6306451612902,0.0,0.0,2024-11-22 09:22:25.046720
15,15,15,M&MFIN,3.0457079002546683,262.6,3.0,1.5,2024-11-22 14:25:21.735656
16,16,16,BHARATFORG,14.084383172750425,1325.0,2.0,1.0,2024-11-22 14:25:21.735656
17,17,17,ICICIBANK,9.275031765025464,1279.8,2.0,1.0,2024-11-22 14:25:21.735656
18,18,18,CROMPTON,4.578149873684212,391.8,2.0,1.0,2024-11-22 14:25:21.735656
19,19,19,COLPAL,26.48001009303905,2709.2338709677424,0.0,0.0,2024-11-22 09:22:25.046720
20,20,20,SAIL,1.5780722412308992,113.07,1.0,0.5,2024-11-22 14:25:21.735656
21,21,21,BSOFT,6.427148196095075,562.05,2.0,1.0,2024-11-22 14:25:21.735656
22,22,22,UBL,,1814.3983870967736,0.0,0.0,2024-11-22 09:22:25.046720
23,23,23,MFSL,13.052391362648557,1175.0129032258064,0.0,0.0,2024-11-22 09:22:25.046720
24,24,24,NAUKRI,87.12408804889641,8004.35,5.0,2.5,2024-11-22 14:25:21.735656
25,25,25,BERGEPAINT,4.684438057894735,476.8,2.0,1.0,2024-11-22 14:25:21.735656
26,26,26,SUNTV,,,,,
27,27,27,OBEROIRLTY,21.391348547198643,1951.4,3.0,1.5,2024-11-22 14:25:21.735656
28,28,28,CANBK,1.289251788667232,97.43,2.0,1.0,2024-11-22 14:25:21.735656
29,29,29,POWERGRID,2.8935920500848886,333.35,2.0,1.0,2024-11-22 14:25:21.735656
30,30,30,HINDPETRO,4.730138238879456,362.4951612903226,0.0,0.0,2024-11-22 09:22:25.046720
31,31,31,SHRIRAMFIN,33.330910530390504,2851.75,1.0,0.5,2024-11-22 14:25:21.735656
32,32,32,BRITANNIA,41.19805665696094,4836.254838709679,0.0,0.0,2024-11-22 09:22:25.046720
33,33,33,AXISBANK,9.14805634770798,1146.158064516129,0.0,0.0,2024-11-22 09:22:25.046720
34,34,34,SIEMENS,72.97882445297115,6901.5,3.0,1.5,2024-11-22 14:25:21.735656
35,35,35,ZYDUSLIFE,8.937201884210529,948.982258064516,0.0,0.0,2024-11-22 09:22:25.046720
36,36,36,LICHSGFIN,6.016367835483872,613.8548387096776,0.0,0.0,2024-11-22 09:22:25.046720
37,37,37,BAJAJFINSV,13.192089479626484,1605.8,2.0,1.0,2024-11-22 14:25:21.735656
38,38,38,APOLLOHOSP,52.95964407809849,6917.75,3.0,1.5,2024-11-22 14:25:21.735656
39,39,39,DALBHARAT,16.980331492359934,1822.15,2.0,1.0,2024-11-22 14:25:21.735656
40,40,40,APOLLOTYRE,4.962064495755517,491.8,5.0,2.5,2024-11-22 14:25:21.735656
41,41,41,GRANULES,,548.2274193548387,0.0,0.0,2024-11-22 09:22:25.046720
42,42,42,CANFINHOME,9.029901999999996,841.4,3.0,1.5,2024-11-22 14:25:21.735656
43,43,43,ABFRL,,289.5,0.0,0.0,2024-11-22 09:22:25.046720
44,44,44,JKCEMENT,,4030.9580645161286,0.0,0.0,2024-11-22 09:22:25.046720
45,45,45,ASIANPAINT,19.8480551910017,2490.7,3.0,1.5,2024-11-22 14:25:21.735656
46,46,46,HINDALCO,6.95120576434635,650.9758064516129,0.0,0.0,2024-11-22 09:22:25.046720
47,47,47,AMBUJACEM,8.924028482894736,499.65,1.0,0.5,2024-11-22 14:25:21.735656
48,48,48,NMDC,2.765776867843804,222.0,1.0,0.5,2024-11-22 14:25:21.735656
49,49,49,CHOLAFIN,12.898586933022072,1213.3370967741937,0.0,0.0,2024-11-22 09:22:25.046720
50,50,50,COFORGE,91.8784844312394,8314.4,1.0,0.5,2024-11-22 15:01:42.752622
51,51,51,INDIGO,37.2269382139219,4143.55,1.0,0.5,2024-11-22 14:25:21.735656
52,52,52,CUB,1.8380338207130733,170.90193548387106,0.0,0.0,2024-11-22 09:22:25.046720
53,53,53,DIXON,225.61909788157897,15089.22258064516,0.0,0.0,2024-11-22 09:22:25.046720
54,54,54,LTF,1.7315178982173174,140.31,1.0,0.5,2024-11-22 14:25:21.735656
55,55,55,HDFCBANK,12.230411043123937,1748.3080645161292,0.0,0.0,2024-11-22 09:22:25.046720
56,56,56,CUMMINSIND,36.247217589983016,3300.129032258064,0.0,0.0,2024-11-22 09:22:25.046720
57,57,57,DIVISLAB,49.73559735938029,5997.682258064516,0.0,0.0,2024-11-22 09:22:25.046720
58,58,58,ACC,30.05362130271647,2100.55,2.0,1.0,2024-11-22 14:25:21.735656
59,59,59,IEX,2.0797972168081484,162.02000000000007,0.0,0.0,2024-11-22 09:22:25.046720
60,60,60,BHARTIARTL,12.04422979456706,1563.1,3.0,1.5,2024-11-22 14:25:21.735656
61,61,61,ABB,71.7814894310696,6937.2,2.0,1.0,2024-11-22 14:25:21.735656
62,62,62,GODREJCP,10.277683384125632,1184.085483870968,0.0,0.0,2024-11-22 09:22:25.046720
63,63,63,BANDHANBNK,2.3729518611544984,170.17,1.0,0.5,2024-11-22 14:25:21.735656
64,64,64,CIPLA,12.528594566383704,1493.5,2.0,1.0,2024-11-22 14:25:21.735656
65,65,65,ULTRACEMCO,83.65759651973681,11375.4,4.0,2.0,2024-11-22 14:25:21.735656
66,66,66,GODREJPROP,31.56531368421053,2852.6,4.0,2.0,2024-11-22 14:25:21.735656
67,67,67,GLENMARK,16.527970324193543,1472.5677419354838,0.0,0.0,2024-11-22 09:22:25.046720
68,68,68,ASTRAL,16.90539760950763,1766.3,3.0,1.5,2024-11-22 14:25:21.735656
69,69,69,MARUTI,90.24192822580645,11077.7,2.0,1.0,2024-11-22 14:25:21.735656
70,70,70,MARICO,5.0751139342105285,602.05,2.0,1.0,2024-11-22 14:25:21.735656
71,71,71,GNFC,,562.4435483870968,0.0,0.0,2024-11-22 09:22:25.046720
72,72,72,LTIM,53.89608156876062,6114.0,3.0,1.5,2024-11-22 14:25:21.735656
73,73,73,TORNTPHARM,,3122.551612903226,0.0,0.0,2024-11-22 09:22:25.046720
74,74,74,ICICIGI,16.02941824473684,1849.65,2.0,1.0,2024-11-22 14:25:21.735656
75,75,75,INDIAMART,26.528126652631585,2265.6080645161296,0.0,0.0,2024-11-22 09:22:25.046720
76,76,76,MPHASIS,30.488564291850587,2880.0,3.0,1.5,2024-11-22 14:25:21.735656
77,77,77,M&M,31.849948911290323,3017.5,2.0,1.0,2024-11-22 14:25:21.735656
78,78,78,GRASIM,21.53760746349745,2606.0,3.0,1.5,2024-11-22 14:25:21.735656
79,79,79,AARTIIND,,428.35161290322577,0.0,0.0,2024-11-22 09:22:25.046720
80,80,80,OFSS,143.92689301171472,11552.75,3.0,1.5,2024-11-22 14:25:21.735656
81,81,81,ADANIENT,63.19384326910016,2195.0419354838714,0.0,0.0,2024-11-22 09:22:25.046720
82,82,82,LAURUSLABS,5.464365110865874,514.7,4.0,2.0,2024-11-22 14:25:21.735656
83,83,83,WIPRO,5.5433526129032265,573.0,2.0,1.0,2024-11-22 14:25:21.735656
84,84,84,INDHOTEL,8.510010081833617,790.0032258064518,0.0,0.0,2024-11-22 09:22:25.046720
85,85,85,IRCTC,7.834760811375212,808.75,1.0,0.5,2024-11-22 14:25:21.735656
86,86,86,VOLTAS,18.023737820373515,1641.5677419354845,0.0,0.0,2024-11-22 09:22:25.046720
87,87,87,LUPIN,19.14373334465196,2052.6306451612904,0.0,0.0,2024-11-22 09:22:25.046720
88,88,88,INFY,13.72645108828523,1904.3,4.0,2.0,2024-11-22 15:01:42.752622
89,89,89,CONCOR,7.779253304456708,792.25,2.0,1.0,2024-11-22 14:25:21.735656
90,90,90,PVRINOX,17.15946405050934,1454.875806451613,0.0,0.0,2024-11-22 09:22:25.046720
91,91,91,BHEL,3.241157712436332,235.35,2.0,1.0,2024-11-22 14:25:21.735656
92,92,92,PEL,13.425727843803056,1092.95,3.0,1.5,2024-11-22 14:25:21.735656
93,93,93,EICHERMOT,45.30035059991512,4966.75,1.0,0.5,2024-11-22 14:28:09.435342
94,94,94,HDFCAMC,42.51356895246181,4242.783870967742,0.0,0.0,2024-11-22 09:22:25.046720
95,95,95,SUNPHARMA,13.02223702410866,1787.7903225806451,0.0,0.0,2024-11-22 09:22:25.046720
96,96,96,INDUSTOWER,4.255422782258065,331.5548387096775,0.0,0.0,2024-11-22 09:22:25.046720
97,97,97,ABCAPITAL,2.1821037190152794,187.28,1.0,0.5,2024-11-22 14:25:21.735656
98,98,98,PNB,1.3571774108658743,100.14,2.0,1.0,2024-11-22 14:25:21.735656
99,99,99,DEEPAKNTR,26.55154215178268,2675.2,2.0,1.0,2024-11-22 14:25:21.735656
100,100,100,TRENT,84.85976030237691,6665.3,2.0,1.0,2024-11-22 14:25:21.735656
101,101,101,MRF,1089.3072267000002,123871.4483870968,0.0,0.0,2024-11-22 09:22:25.046720
102,102,102,TATACONSUM,8.18259214006791,943.5,3.0,1.5,2024-11-22 14:25:21.735656
103,103,103,COALINDIA,3.782660653650256,415.5,2.0,1.0,2024-11-22 14:25:21.735656
104,104,104,KOTAKBANK,12.812801606791172,1766.15,2.0,1.0,2024-11-22 14:25:21.735656
105,105,105,RELIANCE,10.526913658828525,1261.7,3.0,1.5,2024-11-22 14:25:21.735656
106,106,106,BAJAJ-AUTO,88.59817937419352,9540.84193548387,0.0,0.0,2024-11-22 09:22:25.046720
107,107,107,NIFTY,116.27791808149404,23883.9,3.0,1.5,2024-11-22 14:25:21.735656
108,108,108,DRREDDY,9.838183577419356,1220.45,2.0,1.0,2024-11-22 14:25:21.735656
109,109,109,BAJFINANCE,58.63206374872664,6672.0,3.0,1.5,2024-11-22 14:25:21.735656
110,110,110,MANAPPURAM,2.240456722903226,151.411935483871,0.0,0.0,2024-11-22 09:22:25.046720
111,111,111,NATIONALUM,3.451116361629881,257.8,4.0,2.0,2024-11-22 14:25:21.735656
112,112,112,BPCL,3.3884548288624794,284.1467741935484,0.0,0.0,2024-11-22 09:22:25.046720
113,113,113,TATAMOTORS,7.981183047538199,789.55,1.0,0.5,2024-11-22 14:25:21.735656
114,114,114,ALKEM,57.88811463497456,5561.498387096774,0.0,0.0,2024-11-22 09:22:25.046720
115,115,115,HINDCOPPER,,263.9225806451614,0.0,0.0,2024-11-22 09:22:25.046720
116,116,116,RAMCOCEM,9.273543756366722,943.35,3.0,1.5,2024-11-22 14:25:21.735656
117,117,117,TECHM,15.03014748302207,1739.65,2.0,1.0,2024-11-22 14:25:21.735656
118,118,118,EXIDEIND,4.910278833870967,423.7,1.0,0.5,2024-11-22 14:25:21.735656
119,119,119,CHAMBLFERT,5.775602204414261,465.0,1.0,0.5,2024-11-22 14:25:21.735656
120,120,120,RECLTD,7.089469365025468,508.85,2.0,1.0,2024-11-22 14:25:21.735656
121,121,121,UPL,6.204799420628182,568.15,2.0,1.0,2024-11-22 14:25:21.735656
122,122,122,POLYCAB,64.47750515398981,6646.85,3.0,1.5,2024-11-22 14:25:21.735656
123,123,123,IPCALAB,16.219360045415957,1596.95,1.0,0.5,2024-11-22 14:25:21.735656
124,124,124,MOTHERSON,2.031126103904924,166.02,2.0,1.0,2024-11-22 14:25:21.735656
125,125,125,RBLBANK,2.200245650628183,157.0622580645161,0.0,0.0,2024-11-22 09:22:25.046720
126,126,126,TATACHEM,11.99895038578098,1069.85,2.0,1.0,2024-11-22 14:25:21.735656
127,127,127,PAGEIND,389.9160263157895,44505.9693548387,0.0,0.0,2024-11-22 09:22:25.046720
128,128,128,IDFCFIRSTB,0.7669017382003395,64.59,2.0,1.0,2024-11-22 14:25:21.735656
129,129,129,BALKRISIND,24.56811382682512,2773.0,1.0,0.5,2024-11-22 14:25:21.735656
130,130,130,JSWSTEEL,8.752689464176568,976.75,3.0,1.5,2024-11-22 14:25:21.735656
131,131,131,GMRINFRA,1.0568558903820036,79.42,2.0,1.0,2024-11-22 14:25:21.735656
132,132,132,JINDALSTEL,9.575892493548386,874.9838709677417,0.0,0.0,2024-11-22 09:22:25.046720
133,133,133,HAL,49.08824368760611,4123.45,2.0,1.0,2024-11-22 14:25:21.735656
134,134,134,SHREECEM,203.52459991256373,24793.8,5.0,2.5,2024-11-22 14:25:21.735656
135,135,135,NTPC,3.8991648048387098,364.0,1.0,0.5,2024-11-22 14:25:21.735656
