,symbol,long_move_val,long_move_val_track,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track
172,MANAPPURAM,9999999.0,2499999.75,186.0277419354838,186.0277419354838,0,0,0.0,2025-01-29 09:11:48.318825,2025-01-29 09:11:48.318825
173,BAJFINANCE,85.01926974091681,30.36402490747029,7748.0,7748.0,7,28,3.5,2025-01-29 12:26:03.819095,2025-01-29 15:05:46.329380
174,NATIONALUM,3.375143379999999,1.2054083499999997,193.34,193.66,3,14,1.5,2025-01-29 09:53:31.265121,2025-01-29 15:06:05.524665
175,DMART,39.516861702886246,14.113164893887946,3545.21935483871,3563.9,0,17,0.0,2025-01-29 09:11:48.318825,2025-01-29 15:06:23.667169
176,PRESTIGE,9999999.0,2499999.75,1250.7903225806451,1250.7903225806451,0,0,0.0,2025-01-29 09:11:48.318825,2025-01-29 09:11:48.318825
177,LICI,10.46357635657895,3.736991555921053,833.0,830.5,2,9,1.0,2025-01-29 10:29:02.596197,2025-01-29 12:53:17.791336
178,RAMCOCEM,10.626673504584044,3.795240537351445,927.0,923.5,4,18,2.0,2025-01-29 11:26:59.154292,2025-01-29 15:28:20.933222
179,UPL,7.183285787096773,2.565459209677419,552.6,553.6,1,16,0.5,2025-01-29 13:22:04.160891,2025-01-29 15:11:38.028607
180,CHAMBLFERT,6.933945262096772,2.476409022177419,490.35,491.95,5,15,2.5,2025-01-29 11:05:38.770353,2025-01-29 14:48:57.634250
181,EXIDEIND,5.719700541935483,2.042750193548387,349.75,351.4,4,25,2.0,2025-01-29 12:24:53.682394,2025-01-29 13:31:26.071585
182,TECHM,17.62591254040747,6.29496876443124,1671.5,1681.0,3,19,1.5,2025-01-29 09:48:57.867415,2025-01-29 14:14:16.950069
183,CGPOWER,10.87985126587436,3.885661166383701,620.0,619.0,11,51,5.5,2025-01-29 13:59:26.938894,2025-01-29 15:29:55.199729
184,JSWENERGY,9.04076714983022,3.2288454106536504,473.45,474.55,17,71,8.5,2025-01-29 15:18:52.618888,2025-01-29 15:30:01.707505
185,YESBANK,0.3071050603989814,0.1096803787139219,18.94,18.8,3,12,1.5,2025-01-29 09:41:42.249187,2025-01-29 14:38:29.379475
186,LODHA,23.327447161290326,8.33123112903226,1134.35,1130.9,3,18,1.5,2025-01-29 15:12:59.437433,2025-01-29 15:03:21.674537
187,RBLBANK,2.601948066587436,0.92926716663837,158.65,157.67,6,23,3.0,2025-01-29 14:41:41.597681,2025-01-29 15:29:22.462218
188,IDFCFIRSTB,0.8503050155348049,0.3036803626910017,59.47,59.79,3,18,1.5,2025-01-29 14:24:35.750720,2025-01-29 14:55:13.523741
189,BALKRISIND,33.19610185220712,11.855750661502544,2744.9,2734.65,5,22,2.5,2025-01-29 15:30:11.201753,2025-01-29 13:27:11.331972
190,SHREECEM,347.93422185789456,124.2622220921052,26818.4,26754.05,7,29,3.5,2025-01-29 11:37:28.842925,2025-01-29 14:53:02.022123
191,FEDERALBNK,2.543999312283532,0.9085711829584042,185.53,184.95,5,18,2.5,2025-01-29 10:53:56.408410,2025-01-29 15:29:47.718212
192,JINDALSTEL,12.162361735441424,4.343700619800509,845.6129032258065,849.0,0,5,0.0,2025-01-29 09:11:48.318825,2025-01-29 12:35:25.896099
193,SBICARD,10.144965097283528,3.623201820458403,770.75,762.7,5,42,2.5,2025-01-29 11:37:34.871620,2025-01-29 15:12:37.682640
194,MUTHOOTFIN,27.76148436235144,9.914815843696942,2210.0,2208.45,2,21,1.0,2025-01-29 12:51:06.231204,2025-01-29 15:23:42.092146
