,symbol,long_move_val,long_move_val_track,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track
0,BANKBARODA,2.8164687876315786,1.005881709868421,224.78,225.54,2,17,1.0,2025-01-24 14:56:41.790908,2025-01-24 14:39:53.607635
1,GUJGASLTD,5.525388265704586,1.9733529520373525,499.25,495.25,3,9,1.5,2025-01-24 13:17:36.996577,2025-01-24 14:15:17.968569
2,PFC,6.541186989473683,2.3361382105263155,408.5,409.1,2,9,1.0,2025-01-24 14:39:05.823358,2025-01-24 14:15:52.965487
3,UNITDSPR,15.446316396392184,5.516541570140066,1467.35,1469.0,11,52,5.5,2025-01-24 14:48:47.326275,2025-01-24 14:45:15.713853
4,DLF,9.84337883064516,3.515492439516129,691.05,691.15,3,18,1.5,2025-01-24 15:28:28.159501,2025-01-24 15:28:25.999826
5,GAIL,2.183034287903226,0.7796551028225805,175.61,175.79,4,13,2.0,2025-01-24 14:15:17.968569,2025-01-24 14:12:48.344531
6,TATAPOWER,4.542465123344652,1.62230897262309,366.7,363.3,4,17,2.0,2025-01-24 12:37:23.730351,2025-01-24 14:38:10.439046
7,ATUL,9999999.0,2499999.75,6804.011290322579,6804.011290322579,0,0,0.0,2025-01-24 09:05:28.128539,2025-01-24 09:05:28.128539
8,AUROPHARMA,17.01059993327674,6.07521426188455,1219.25,1213.55,4,18,2.0,2025-01-24 12:45:36.529068,2025-01-24 14:15:30.728000
9,BSOFT,7.74963280772496,2.7677260027589146,552.2,547.5,3,14,1.5,2025-01-24 11:04:45.226944,2025-01-24 14:16:40.744620
10,SAIL,1.667099704456706,0.5953927515916807,108.15,107.85,1,17,0.5,2025-01-24 14:40:23.895766,2025-01-24 14:43:55.359874
11,MFSL,13.542065250000004,4.836451875000002,1048.5,1039.6,3,16,1.5,2025-01-24 13:05:41.932762,2025-01-24 15:04:55.193922
12,INDIANB,7.910389347368419,2.825139052631578,502.0,500.0,2,12,1.0,2025-01-24 14:37:18.543626,2025-01-24 14:40:35.194693
13,OBEROIRLTY,23.41272922852292,8.361689010186756,1747.35,1746.25,4,22,2.0,2025-01-24 14:38:29.460449,2025-01-24 14:39:05.823358
14,LICHSGFIN,7.008444578947367,2.5030159210526315,569.35,574.9,2,13,1.0,2025-01-24 14:52:01.294751,2025-01-24 15:29:45.296578
15,APOLLOTYRE,5.761031572495754,2.0575112758913408,428.1,425.25,3,17,1.5,2025-01-24 13:42:11.896862,2025-01-24 14:43:04.663934
16,IRFC,2.335340036247878,0.8340500129456707,138.31,138.0,3,14,1.5,2025-01-24 09:58:28.303069,2025-01-24 15:29:37.679448
17,SHRIRAMFIN,8.239477129032258,2.942670403225807,529.95,524.1,8,45,4.0,2025-01-24 15:20:50.280044,2025-01-24 15:27:48.297089
18,BRITANNIA,55.972054917911706,19.990019613539896,5069.85,5074.55,1,11,0.5,2025-01-24 13:27:19.280295,2025-01-24 14:04:45.641772
19,POWERGRID,3.253633729541596,1.1620120462648558,297.3,295.05,5,18,2.5,2025-01-24 13:43:05.681204,2025-01-24 14:42:53.117336
20,AXISBANK,9.474562797962648,3.383772427843803,950.15,951.3,1,15,0.5,2025-01-24 14:42:43.263828,2025-01-24 14:15:17.968569
21,ZYDUSLIFE,10.852382802376908,3.875851000848896,960.0,956.15,5,23,2.5,2025-01-24 14:14:09.376287,2025-01-24 14:39:07.680095
22,GRANULES,7.987272933743634,2.8525974763370123,584.75,582.7,6,56,3.0,2025-01-24 13:24:05.448808,2025-01-24 15:05:10.794112
23,APOLLOHOSP,71.40223168081494,25.50079702886248,6811.85,6767.05,2,14,1.0,2025-01-24 09:49:52.068013,2025-01-24 13:43:25.897111
24,ABFRL,9999999.0,2499999.75,284.7161290322581,284.7161290322581,0,0,0.0,2025-01-24 09:05:28.128539,2025-01-24 09:05:28.128539
25,JKCEMENT,58.845024276315776,21.016080098684206,4757.55,4740.5,4,29,2.0,2025-01-24 13:58:06.389993,2025-01-24 14:57:27.421377
26,NMDC,0.9553115297538198,0.3411826891977928,66.71,66.93,4,17,2.0,2025-01-24 14:43:22.081755,2025-01-24 14:13:34.780901
27,ASIANPAINT,22.091114495246178,7.889683748302207,2273.15,2269.0,3,11,1.5,2025-01-24 13:32:42.415697,2025-01-24 14:15:51.155259
28,AMBUJACEM,7.187460833404074,2.5669502976443126,552.3,550.3,2,21,1.0,2025-01-24 13:33:56.696313,2025-01-24 15:26:31.032412
29,SUPREMEIND,49.27910064736841,17.599678802631576,3837.4,3819.55,3,14,1.5,2025-01-24 14:08:50.823035,2025-01-24 14:50:52.959815
30,BANKINDIA,1.4757695271646862,0.5270605454159593,98.65,98.5,1,12,0.5,2025-01-24 14:03:07.312047,2025-01-24 14:15:39.681503
31,KPITTECH,20.18372734736842,7.20847405263158,1331.3,1324.5,3,21,1.5,2025-01-24 13:42:52.645703,2025-01-24 15:23:22.064961
32,CUB,2.2311760357894737,0.7968485842105264,167.62,167.2,4,15,2.0,2025-01-24 14:09:45.712987,2025-01-24 14:36:38.437689
33,HDFCBANK,13.429879172410866,4.796385418718167,1645.25,1643.25,2,16,1.0,2025-01-24 15:24:58.229471,2025-01-24 15:29:43.558943
34,CUMMINSIND,39.23128853225806,14.01117447580645,2812.0,2805.0,4,20,2.0,2025-01-24 14:39:49.712312,2025-01-24 15:13:49.448403
35,BHARTIARTL,15.50347221583192,5.536954362797115,1649.124193548387,1646.25,0,11,0.0,2025-01-24 09:05:28.128539,2025-01-24 13:00:45.915027
36,GODREJCP,12.667449635568756,4.52408915556027,1138.05,1133.95,1,16,0.5,2025-01-24 09:41:42.159704,2025-01-24 14:28:15.375179
37,BANDHANBNK,2.6224576110526314,0.9365920039473684,149.6,149.55,1,5,0.5,2025-01-24 12:53:41.856841,2025-01-24 14:57:45.854489
38,CIPLA,14.723819312393887,5.258506897283532,1417.4,1414.0,3,13,1.5,2025-01-24 13:43:39.111570,2025-01-24 14:42:58.926330
39,GODREJPROP,35.79674139227505,12.78455049724109,2170.15,2156.35,4,17,2.0,2025-01-24 14:15:49.174620,2025-01-24 14:42:55.065061
40,GLENMARK,20.095571050424454,7.176989660865876,1454.1,1450.6,3,18,1.5,2025-01-24 13:05:50.710231,2025-01-24 14:37:04.879697
41,GMRAIRPORT,1.1236459688964346,0.4013021317487267,71.61,71.56,2,11,1.0,2025-01-24 14:37:48.926355,2025-01-24 14:41:38.196083
42,GNFC,7.189087760271647,2.56753134295416,556.65,558.75,5,14,2.5,2025-01-24 14:37:08.969231,2025-01-24 15:10:28.542880
43,MARUTI,113.29539211349744,40.4626400405348,11952.85,11961.35,1,11,0.5,2025-01-24 09:57:37.523614,2025-01-24 15:18:42.159015
44,MARICO,6.916835438709675,2.470298370967741,667.0080645161293,667.55,0,8,0.0,2025-01-24 09:05:28.128539,2025-01-24 14:11:59.544685
45,ASTRAL,17.819442016977924,6.364086434634973,1470.95,1469.05,2,18,1.0,2025-01-24 09:59:49.966831,2025-01-24 15:16:04.730673
46,LTIM,59.37962709677419,21.20700967741936,6045.9,5992.35,2,15,1.0,2025-01-24 11:45:11.620516,2025-01-24 15:29:17.260724
47,INDIAMART,31.17331565526313,11.133327019736834,2092.804838709677,2099.45,0,6,0.0,2025-01-24 09:05:28.128539,2025-01-24 12:15:38.491172
48,ICICIGI,21.406412852631583,7.645147447368423,1827.35,1821.65,1,14,0.5,2025-01-24 09:18:54.295256,2025-01-24 15:20:42.989268
49,MPHASIS,41.41571767741935,14.79132774193548,3035.05,3001.0,14,69,7.0,2025-01-24 13:50:12.260502,2025-01-24 15:25:19.258404
50,M&M,31.88171141218165,11.38632550435059,2807.1,2795.2,3,27,1.5,2025-01-24 14:42:43.263828,2025-01-24 15:04:16.942361
51,LAURUSLABS,8.230566310271644,2.939487967954159,613.3,613.5,7,49,3.5,2025-01-24 15:29:30.295713,2025-01-24 15:29:32.094904
52,WIPRO,3.2530893458404067,1.161817623514431,319.5435483870968,319.7,0,10,0.0,2025-01-24 09:05:28.128539,2025-01-24 13:47:40.665777
53,VOLTAS,21.48608530288625,7.673601893887947,1466.0,1463.2,4,18,2.0,2025-01-24 13:14:30.560304,2025-01-24 15:10:12.927330
54,LUPIN,26.31667020458404,9.398810787351444,2139.9,2133.9,3,13,1.5,2025-01-24 10:36:31.519615,2025-01-24 14:55:10.279943
55,CDSL,24.830315542741925,8.867969836693545,1501.4,1500.45,1,11,0.5,2025-01-24 14:15:14.144172,2025-01-24 14:15:59.981399
56,PVRINOX,17.25127030670629,6.161167966680818,1066.5,1066.5,2,5,1.0,2025-01-24 14:15:15.898188,2025-01-24 14:15:15.898188
57,BHEL,3.491528195687605,1.2469743556027162,199.91,200.2,4,13,2.0,2025-01-24 14:43:37.842810,2025-01-24 14:43:04.663934
58,ADANIENSOL,16.495698376910017,5.891320848896434,796.55,789.7,1,14,0.5,2025-01-24 09:15:32.480016,2025-01-24 12:39:26.296120
59,PNB,1.150705671612903,0.4109663112903225,97.3,97.3,6,50,3.0,2025-01-24 15:16:59.232150,2025-01-24 15:16:59.232150
60,TRENT,92.280617047708,32.95736323132429,5497.85,5500.85,3,14,1.5,2025-01-24 13:43:01.529089,2025-01-24 14:45:34.696280
61,MRF,1160.9098851736835,414.6106732763157,111470.0,111253.15,1,12,0.5,2025-01-24 09:50:27.697767,2025-01-24 14:37:41.511244
62,COALINDIA,4.24174314040747,1.5149082644312395,384.1,381.9,2,17,1.0,2025-01-24 10:03:13.476016,2025-01-24 14:43:10.759012
63,ALKEM,50.05802623089984,17.877866511035656,4998.1,5005.0,3,20,1.5,2025-01-24 14:43:47.582961,2025-01-24 14:39:11.326186
64,HUDCO,3.867540062818336,1.3812643081494056,219.23,218.2,4,21,2.0,2025-01-24 13:36:58.652868,2025-01-24 15:28:31.990089
65,BPCL,3.395259590959253,1.2125927110568762,258.25,258.85,5,26,2.5,2025-01-24 15:27:25.404807,2025-01-24 15:05:14.645992
66,TATAMOTORS,9.684444303056026,3.458730108234295,738.1,734.4,4,13,2.0,2025-01-24 13:33:32.680617,2025-01-24 14:43:00.543888
67,HINDCOPPER,3.9091986110780974,1.3961423610993209,244.07,242.0,3,14,1.5,2025-01-24 14:11:28.377053,2025-01-24 14:35:45.374230
68,POLYCAB,80.57268765178269,28.77595987563668,5946.0,5912.0,6,40,3.0,2025-01-24 14:40:23.895766,2025-01-24 15:25:19.258404
69,RECLTD,7.244995308870966,2.587498324596774,451.3,446.85,2,11,1.0,2025-01-24 13:04:40.857193,2025-01-24 14:42:45.312951
70,MOTHERSON,2.0058462046689303,0.716373644524618,144.01,142.94,1,9,0.5,2025-01-24 09:56:45.698402,2025-01-24 14:16:05.625997
71,IPCALAB,19.04790366315789,6.802822736842103,1529.4,1520.4,3,21,1.5,2025-01-24 14:00:26.341971,2025-01-24 15:05:29.808056
72,TATACHEM,12.62784755093378,4.509945553904922,956.95,956.8,2,20,1.0,2025-01-24 14:41:36.164098,2025-01-24 15:09:54.232038
73,PAGEIND,454.4314158447369,162.2969342302632,46715.3,46385.0,3,18,1.5,2025-01-24 13:17:44.448939,2025-01-24 14:25:29.280675
