,symbol,long_move_val,full_move,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track,long_move_val_track
0,BANKBARODA,3.12957842491511,4.4708263213073005,220.87,222.21,2,9,1.0,2025-01-28 15:04:35.690294,2025-01-28 15:14:12.876910,1.1177065803268251
1,GUJGASLTD,5.956398552631579,8.509140789473685,467.3,469.4,4,12,2.0,2025-01-28 15:28:56.856830,2025-01-28 15:02:05.195640,2.1272851973684213
2,PFC,7.005788073896434,10.008268676994906,388.5,387.9,2,11,1.0,2025-01-28 12:02:42.144242,2025-01-28 14:53:10.542447,2.5020671692487264
3,UNITDSPR,15.39485003463497,21.992642906621388,1388.35,1395.6,3,13,1.5,2025-01-28 11:41:10.034526,2025-01-28 13:41:21.548292,5.498160726655347
4,DLF,10.652804845670628,15.218292636672324,733.9,726.7,2,13,1.0,2025-01-28 13:03:26.745725,2025-01-28 15:05:45.512965,3.804573159168081
5,GAIL,2.509073462962648,3.584390661375212,167.65,166.57,4,16,2.0,2025-01-28 14:12:03.337272,2025-01-28 14:55:47.779275,0.896097665343803
6,TATAPOWER,5.026041263157893,7.180058947368419,348.5,347.6,1,15,0.5,2025-01-28 11:14:59.068589,2025-01-28 15:17:18.391499,1.7950147368421048
7,ATUL,80.89948174736841,115.57068821052631,6239.85,6227.4,4,16,2.0,2025-01-28 12:48:05.324354,2025-01-28 14:59:30.032027,28.89267205263158
8,AUROPHARMA,16.587048356112057,23.69578336587437,1142.6,1138.75,2,14,1.0,2025-01-28 13:26:32.474385,2025-01-28 15:01:39.098520,5.923945841468592
9,BSOFT,8.53753113327674,12.196473047538202,528.1,520.4,1,6,0.5,2025-01-28 11:40:26.731724,2025-01-28 15:03:16.362446,3.0491182618845505
10,SAIL,1.7721894351273342,2.531699193039049,103.44967741935486,102.92,0,12,0.0,2025-01-28 11:14:57.761259,2025-01-28 14:52:58.962005,0.6329247982597622
11,MFSL,9999999.0,0.0,1030.2274193548387,1030.2274193548387,0,0,0.0,2025-01-28 11:14:57.761259,2025-01-28 11:14:57.761259,2499999.75
12,INDIANB,8.079503535229199,11.542147907470286,509.6,512.15,4,11,2.0,2025-01-28 15:08:26.875057,2025-01-28 15:01:46.364201,2.8855369768675714
13,OBEROIRLTY,26.527997653565365,37.89713950509338,1684.6,1675.0,4,19,2.0,2025-01-28 15:00:07.424491,2025-01-28 15:04:58.884655,9.474284876273344
14,LICHSGFIN,7.521728350339559,10.7453262147708,573.45,568.7,1,9,0.5,2025-01-28 11:55:41.669335,2025-01-28 15:05:25.948649,2.6863315536927
15,APOLLOTYRE,6.041475839558574,8.630679770797963,424.5,425.15,4,11,2.0,2025-01-28 14:51:38.554018,2025-01-28 15:07:49.934292,2.1576699426994908
16,IRFC,2.416239954329372,3.451771363327674,139.82,137.97,4,15,2.0,2025-01-28 14:40:38.324228,2025-01-28 14:51:17.172132,0.8629428408319185
17,SHRIRAMFIN,8.164492266213921,11.663560380305602,528.55,530.6,4,19,2.0,2025-01-28 15:04:35.690294,2025-01-28 15:00:22.923706,2.9158900950764006
18,BRITANNIA,58.60741578013582,83.72487968590832,5025.5,5025.15,2,11,1.0,2025-01-28 13:13:29.356997,2025-01-28 15:09:45.355974,20.93121992147708
19,POWERGRID,3.4155310463497446,4.879330066213921,285.1451612903225,284.5,0,6,0.0,2025-01-28 11:14:57.761259,2025-01-28 14:53:10.542447,1.2198325165534802
20,AXISBANK,9.731206334125636,13.901723334465196,987.4,984.55,3,13,1.5,2025-01-28 12:10:15.906516,2025-01-28 14:53:20.472030,3.475430833616299
21,ZYDUSLIFE,11.759161117741932,16.79880159677419,915.85,908.45,3,15,1.5,2025-01-28 13:54:28.854932,2025-01-28 14:51:31.603315,4.1997003991935475
22,GRANULES,8.152032941256364,11.645761344651948,516.6,516.95,10,44,5.0,2025-01-28 14:51:14.884523,2025-01-28 15:26:29.231847,2.911440336162987
23,APOLLOHOSP,74.65454152971138,106.64934504244484,6723.385483870968,6694.6,0,5,0.0,2025-01-28 11:14:57.761259,2025-01-28 14:53:15.138026,26.66233626061121
24,ABFRL,4.150079364516127,5.928684806451611,267.7,267.5,4,23,2.0,2025-01-28 11:50:24.129426,2025-01-28 15:28:56.856830,1.4821712016129027
25,JKCEMENT,58.55848673565367,83.65498105093381,4805.95,4807.2,1,12,0.5,2025-01-28 14:30:26.986086,2025-01-28 14:47:29.853655,20.913745262733453
