,symbol,long_move_val,long_move_val_track,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track
0,BANKBARODA,3.1370579238455005,1.1203778299448215,215.01,213.7,7,33,3.5,2025-01-31 12:15:45.658277,2025-01-31 13:56:39.211398
1,GUJGASLTD,6.615454564431238,2.362662344439728,482.3080645161291,488.3,0,10,0.0,2025-01-31 09:10:17.779353,2025-01-31 14:50:21.780741
2,PFC,7.169604501315791,2.5605730361842114,420.8,419.85,1,16,0.5,2025-01-31 10:56:06.864906,2025-01-31 14:59:21.296071
3,UNITDSPR,14.077051641935483,5.027518443548387,1435.991935483871,1431.35,0,12,0.0,2025-01-31 09:10:17.779353,2025-01-31 14:40:36.873673
4,DLF,10.434857628013583,3.726734867147709,744.45,750.65,3,13,1.5,2025-01-31 13:54:17.547176,2025-01-31 14:50:19.668658
5,GAIL,2.4433789186757218,0.8726353280984721,178.16,178.15,4,28,2.0,2025-01-31 11:24:08.980024,2025-01-31 14:59:36.920138
6,TATAPOWER,4.960647973853989,1.771659990662139,364.35,365.1,2,10,1.0,2025-01-31 12:58:38.231487,2025-01-31 15:09:34.072403
7,ATUL,69.88483529999998,24.958869749999995,6293.2,6305.0,1,16,0.5,2025-01-31 10:01:21.497161,2025-01-31 14:32:28.550413
8,AUROPHARMA,15.636514374787774,5.584469419567062,1174.6,1178.85,1,12,0.5,2025-01-31 10:25:51.244907,2025-01-31 15:01:22.923603
9,BSOFT,8.310327685483868,2.967974173387096,532.016129032258,538.15,0,6,0.0,2025-01-31 09:10:17.779353,2025-01-31 14:50:19.668658
10,SAIL,1.813780917266553,0.647778899023769,107.74,108.02,1,11,0.5,2025-01-31 10:54:39.578802,2025-01-31 14:43:30.370811
11,MFSL,16.684777187521217,5.958848995543292,1104.95,1114.2,1,8,0.5,2025-01-31 10:52:25.611870,2025-01-31 14:37:01.683093
12,INDIANB,8.169543048769098,2.917693945988964,557.75,553.0,1,11,0.5,2025-01-31 12:30:21.211402,2025-01-31 14:16:26.982094
13,OBEROIRLTY,26.56627090199491,9.48795389356961,1757.8,1763.35,3,17,1.5,2025-01-31 14:03:36.802333,2025-01-31 15:00:38.221725
14,LICHSGFIN,7.686952191638368,2.745340068442275,602.35,600.8,6,33,3.0,2025-01-31 14:55:40.339235,2025-01-31 14:54:26.092287
15,APOLLOTYRE,6.469476626230901,2.310527366511036,434.2467741935484,434.1,0,6,0.0,2025-01-31 09:10:17.779353,2025-01-31 15:01:12.404198
16,IRFC,3.009113180933786,1.0746832789049237,142.3,141.75,2,14,1.0,2025-01-31 12:18:08.489079,2025-01-31 12:41:18.500491
17,POWERGRID,3.52407669252971,1.2585988187606107,299.9,299.7,2,13,1.0,2025-01-31 13:30:20.943496,2025-01-31 14:46:59.800796
18,BRITANNIA,57.10055052911714,20.39305376039898,5137.0,5128.3,3,16,1.5,2025-01-31 12:13:07.382167,2025-01-31 14:18:48.032039
19,AXISBANK,9.041510841298807,3.229111014749574,990.366129032258,990.6,0,12,0.0,2025-01-31 09:10:17.779353,2025-01-31 15:08:37.793656
20,SHRIRAMFIN,8.282123447707978,2.957901231324278,547.5,545.25,1,14,0.5,2025-01-31 10:40:22.536161,2025-01-31 15:02:57.811740
21,ZYDUSLIFE,12.389876215280136,4.424955791171477,970.5,973.3,1,9,0.5,2025-01-31 09:39:51.916941,2025-01-31 14:59:57.957909
22,GRANULES,8.806625542105262,3.145223407894737,558.8,559.1,1,7,0.5,2025-01-31 13:45:43.566682,2025-01-31 14:38:54.986266
23,APOLLOHOSP,72.77640024397284,25.99157151570459,6861.659677419355,6851.7,0,8,0.0,2025-01-31 09:10:17.779353,2025-01-31 14:11:00.879416
24,ABFRL,3.7249773028013577,1.3303490367147708,274.9,275.4,2,12,1.0,2025-01-31 09:27:22.199796,2025-01-31 11:18:23.432347
25,JKCEMENT,61.19089243735144,21.853890156196947,4822.0451612903225,4859.1,0,12,0.0,2025-01-31 09:10:17.779353,2025-01-31 14:44:33.973465
26,NMDC,1.0126094108658743,0.3616462181663837,66.39,66.3,3,14,1.5,2025-01-31 11:05:34.247564,2025-01-31 14:43:21.508441
