,symbol,long_move_val,full_move,fut_benchmark,fut_benchmark_track,long_moves,long_moves_track,days_theta,idv_updated_time,idv_updated_time_track,long_move_val_track
0,BANKBARODA,2.334087853548387,3.3344112193548385,214.65,215.66,1,14,0.5,2025-02-10 09:43:16.158554,2025-02-10 14:40:27.537792,0.8336028048387096
1,GUJGASLTD,4.6534896082767405,6.647842297538201,444.7,444.65,3,21,1.5,2025-02-10 12:04:19.364642,2025-02-10 15:00:13.901204,1.6619605743845502
2,PFC,6.1252023831918505,8.750289118845501,397.8,393.5,2,13,1.0,2025-02-10 10:09:05.973882,2025-02-10 15:29:16.143639,2.1875722797113752
3,GAIL,1.8030857990407465,2.575836855772495,169.38,168.64,1,16,0.5,2025-02-10 09:31:20.948783,2025-02-10 15:19:46.489143,0.6439592139431237
4,UNITDSPR,13.742491629881156,19.632130899830223,1417.0,1426.25,3,13,1.5,2025-02-10 13:34:02.310816,2025-02-10 14:40:48.157907,4.908032724957556
5,DLF,8.588082374872664,12.26868910696095,733.0,733.15,3,18,1.5,2025-02-10 12:16:08.906698,2025-02-10 14:33:44.280440,3.0671722767402376
6,TATAPOWER,3.765789714770798,5.379699592529712,360.6,360.0,2,12,1.0,2025-02-10 12:01:01.633145,2025-02-10 14:40:53.488195,1.344924898132428
7,ATUL,64.01645246791172,91.4520749541596,6043.65,6025.0,1,18,0.5,2025-02-10 11:31:31.232492,2025-02-10 14:32:15.054722,22.8630187385399
8,AUROPHARMA,12.502868515789473,17.861240736842106,1179.0,1183.6,3,19,1.5,2025-02-10 13:28:31.868282,2025-02-10 15:24:20.681173,4.4653101842105265
9,BSOFT,7.9185760315789455,11.312251473684208,527.6,526.3,1,5,0.5,2025-02-10 10:34:08.736731,2025-02-10 14:41:50.278293,2.828062868421052
10,SAIL,1.6728590192275044,2.389798598896435,104.91,105.06,3,17,1.5,2025-02-10 15:30:09.626351,2025-02-10 15:24:41.805320,0.5974496497241087
11,MFSL,11.584359840789473,16.549085486842102,1103.0,1094.2,1,10,0.5,2025-02-10 11:03:03.063350,2025-02-10 14:05:01.655778,4.137271371710526
