,symbol,long_move_val,fut_benchmark,long_moves,days_theta,idv_updated_time
0,BANKBARODA,2.485422334482173,217.75,3,1.5,2025-01-13 14:43:02.323622
1,GUJGASLTD,4.852941269949066,472.55,3,1.5,2025-01-13 13:47:44.768930
2,PFC,5.554161444227504,393.25,4,2.0,2025-01-13 13:47:44.768930
3,UNITDSPR,13.460192868208832,1487.3,4,2.0,2025-01-13 15:17:17.651657
4,DLF,8.487496543378608,711.7,7,3.5,2025-01-13 14:31:42.337630
5,GAIL,2.0610152842869267,172.7,5,2.5,2025-01-13 14:37:11.993595
6,TATAPOWER,3.675101612903225,342.6,6,3.0,2025-01-13 14:26:04.584374
7,ATUL,81.87743575789473,6652.2,2,1.0,2025-01-13 14:15:05.425195
8,AUROPHARMA,13.641614106960947,1156.15,5,2.5,2025-01-13 14:43:02.323622
9,BSOFT,6.9561111581494055,530.0,9,4.5,2025-01-13 14:48:34.139292
10,SAIL,1.3975500445670628,100.6,4,2.0,2025-01-13 14:27:01.622754
11,MFSL,10.683302638497455,1058.95,4,2.0,2025-01-13 09:38:08.705232
12,INDIANB,6.577669671774191,477.7,2,1.0,2025-01-13 13:48:24.122024
13,OBEROIRLTY,28.142969279668925,2015.6,4,2.0,2025-01-13 14:23:04.732058
14,LICHSGFIN,5.845024549617996,538.25,5,2.5,2025-01-13 13:51:14.225218
15,APOLLOTYRE,4.489766043463498,440.3,5,2.5,2025-01-13 14:35:51.478200
16,IRFC,1.9139459387691,126.16,5,2.5,2025-01-13 14:30:22.418265
17,SHRIRAMFIN,8.282044457045842,525.75,3,1.5,2025-01-13 13:51:24.996811
18,BRITANNIA,37.81619498280985,4945.8,2,1.0,2025-01-13 11:18:26.740340
19,POWERGRID,2.5157071489813245,289.1,11,5.5,2025-01-13 14:32:32.878573
20,AXISBANK,10.706798262393889,1050.85,5,2.5,2025-01-13 14:03:55.576177
21,ZYDUSLIFE,8.877715144694397,979.1,7,3.5,2025-01-13 13:44:12.950735
22,GRANULES,7.848528828522919,570.15,3,1.5,2025-01-13 14:25:02.107822
23,APOLLOHOSP,57.07918371277592,6855.3,11,5.5,2025-01-13 15:00:10.448303
24,ABFRL,3.540254462648556,262.9,5,2.5,2025-01-13 14:00:01.104681
25,JKCEMENT,55.775223458149405,4397.1,2,1.0,2025-01-13 14:17:33.330718
26,NMDC,0.8023898399999999,60.59,3,1.5,2025-01-13 13:50:18.849718
27,ASIANPAINT,16.659655143930394,2258.2,3,1.5,2025-01-13 14:35:57.370201
28,AMBUJACEM,5.628218998981323,497.55,5,2.5,2025-01-13 14:24:18.141057
29,SUPREMEIND,70.00486474923599,4288.55,6,3.0,2025-01-13 15:12:09.947701
30,BANKINDIA,1.229667015280136,91.61,4,2.0,2025-01-13 13:49:11.202723
