,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,ltp,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val,sort_val
96,ICICIBANK,0.4796638388963767,27.80164791988001,1250.0,13.774999999999999,-0.36456842108785315,1267.35,1210.0,5.4,-0.1629606618670646,-2.974999999999998,-0.002347417840375585
184,RELIANCE,-1.167498722434058,43.19889092016312,1240.0,14.2,-0.36806679142693133,1257.1,1200.0,5.574999999999999,-0.16593544814320338,-3.0500000000000007,-0.002426219075650307
26,BAJFINANCE,-1.955340195003478,23.046521861247644,8200.0,118.7,-0.38307250161197026,8316.05,7900.0,48.675,-0.18065451514336717,-21.35000000000001,-0.002567324631285287
158,NIFTY,-0.6720319119879568,56.35989776227011,23200.0,172.425,-0.3523413089267716,23456.25,22650.0,55.3,-0.13912355001654841,-61.82500000000002,-0.0026357580602184927
87,HDFCBANK,-0.7429377717626054,10.726964157370146,1700.0,15.149999999999999,-0.3481580478263948,1723.45,1640.0,5.225,-0.13109806751846997,-4.699999999999999,-0.0027270881081551536
31,BANKNIFTY,-0.2397995811699241,76.8324637970508,49600.0,452.025,-0.35727125238205026,50233.8,48300.0,156.875,-0.15196136810425864,-138.27499999999998,-0.0027526287081606404
141,MARUTI,-1.1385713467814271,2.5197651859400603,12800.0,138.375,-0.3770998461914692,12950.6,12400.0,51.15,-0.16229345740992518,-36.075,-0.0027855852238506326
165,ONGC,-2.3064580826313676,63.104269241231094,240.0,4.175000000000001,-0.39163611177400615,243.55,230.0,1.6749999999999998,-0.18451798762693272,-0.8250000000000011,-0.003387394785465001
52,COALINDIA,-2.224562327234435,64.92705364434786,365.0,5.675000000000001,-0.3709026358648021,371.4,350.0,2.175,-0.16764197300476558,-1.325000000000001,-0.0035675821217016723
100,IDFCFIRSTB,-2.202916537387527,51.370470426934965,62.0,1.0750000000000002,-0.3819583197311034,63.04,59.0,0.42500000000000004,-0.16952287922809828,-0.2250000000000001,-0.003569162436548225
36,BHARTIARTL,0.6711409395973155,4.584658407581133,1660.0,14.75,-0.30728428335815205,1695.0,1580.0,4.3,-0.09602016908568645,-6.15,-0.0036283185840707967
23,AXISBANK,-0.8922476840565577,21.566168832884834,1000.0,11.45,-0.35353375666119913,1016.35,960.0,3.825,-0.1362627531740067,-3.799999999999999,-0.003738869483937619
