,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,ltp,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val,sort_val
109,INFY,-0.31240899102486036,28.623073826525285,1860.0,23.450000000000003,-0.3827500900876647,1882.65,1800.0,9.875,-0.18258818127237153,-3.700000000000003,-0.001965314848750433
158,NIFTY,-1.322511685205986,73.67506241444231,22900.0,173.875,-0.35638896759505445,23148.9,22400.0,62.0,-0.154275913594612,-49.875,-0.002154530020864922
141,MARUTI,-1.3738384119045415,3.199556664945366,12600.0,123.6,-0.3537897355922608,12778.4,12200.0,47.1,-0.15132385467886023,-29.39999999999999,-0.0023007575283290546
36,BHARTIARTL,0.26248267319432567,5.042413684377353,1680.0,18.025,-0.3764078649325907,1699.8,1620.0,6.775,-0.15442896535260164,-4.474999999999998,-0.002632662666196022
125,KOTAKBANK,-1.9392273629561763,69.77804919406036,1900.0,22.725,-0.37032786890669134,1926.6,1840.0,8.8,-0.1694159545181836,-5.125,-0.002660126647980899
41,BRITANNIA,-0.3072336801119426,51.49847198622769,4850.0,60.1,-0.3765090982662338,4915.95,4700.0,23.375,-0.1753131415314908,-13.350000000000001,-0.002715650077807952
85,HCLTECH,-0.6734781983019139,35.69456585573481,1700.0,21.375,-0.36814088687988944,1725.55,1640.0,8.1,-0.16291159761990814,-5.175000000000001,-0.0029990437831416074
189,SBIN,-0.9189810122305562,81.89748021548475,720.0,9.649999999999999,-0.35625510786402503,733.15,690.0,3.725,-0.154258509634986,-2.1999999999999984,-0.0030007501875468847
31,BANKNIFTY,-1.2026679061952874,83.92583279880603,49000.0,438.725,-0.354742302877608,49630.0,47700.0,144.85,-0.1456467410583444,-149.02500000000003,-0.003002720128954262
26,BAJFINANCE,-1.2657315351575407,26.292047825608932,8100.0,113.275,-0.3784870610360509,8217.9,7800.0,44.175,-0.17189028783568028,-24.92500000000001,-0.0030330133002348545
20,ATUL,-3.145008791427529,29.88021308297064,5800.0,117.0,-0.4427793106248801,5839.0,5600.0,49.475,-0.23407474467024914,-18.049999999999997,-0.0030912827538962144
190,SHREECEM,-0.5791460987083471,85.10540779953268,27500.0,479.95,-0.4034305551953663,27844.55,26500.0,193.85000000000002,-0.19931696337436222,-92.24999999999994,-0.00331303612376569
197,SUNPHARMA,-1.8927717438276055,90.7309585855929,1680.0,21.65,-0.3786555598994077,1702.7,1620.0,8.0,-0.1648154906201399,-5.649999999999999,-0.003318259235332119
23,AXISBANK,-0.728131457246876,18.13156467657891,990.0,9.774999999999999,-0.3265043809542796,1008.9,950.0,3.175,-0.11966835495701411,-3.424999999999999,-0.0033947864010308248
