,symbol,pct_change,strike_price_near,opt_ltp_near,strike_price_far,opt_ltp_far,bcrs_val
44,DIXON,-1.4573696950780153,14500.0,302.275,14000.0,168.25,34.22500000000002
57,HAL,-3.264586638462894,4000.0,85.475,3900.0,57.825,30.17500000000001
117,PIIND,-2.242571481965988,4300.0,75.94999999999999,4200.0,51.825,27.700000000000017
104,NAUKRI,-1.2810207336523127,7500.0,105.75,7300.0,60.25,14.75
97,MCX,-1.3412524883333876,5900.0,127.1,5700.0,69.625,12.150000000000006
24,BHARATFORG,-1.9521178637200736,1300.0,35.9,1260.0,23.525,11.149999999999999
102,MUTHOOTFIN,-0.8648257834876673,1720.0,32.724999999999994,1680.0,21.925,11.125000000000007
129,SIEMENS,-1.6612320437119945,6500.0,97.925,6300.0,53.925,9.924999999999997
51,GLENMARK,-2.050388211060054,1500.0,25.9,1460.0,15.875,5.850000000000001
30,BRITANNIA,0.3303997539365196,4900.0,39.775000000000006,4800.0,22.5,5.224999999999994
119,POLYCAB,-2.076650346108391,6200.0,76.175,6000.0,40.375,4.575000000000003
98,METROPOLIS,-4.687714796315814,2000.0,21.424999999999997,1960.0,12.975,4.525000000000002
143,TRENT,0.5044280979463117,6400.0,108.5,6200.0,56.375,4.25
112,PEL,-2.114906680960967,960.0,11.5,940.0,7.625,3.75
122,RECLTD,0.11634671320535195,500.0,8.899999999999999,490.0,6.074999999999999,3.25
55,GRASIM,-1.1322920996892136,2420.0,25.875,2360.0,14.475000000000001,3.075000000000003
135,TATACOMM,0.0056756910153811235,1700.0,17.4,1660.0,10.15,2.900000000000002
39,CROMPTON,-1.135204081632653,375.0,9.4,365.0,6.15,2.9000000000000004
115,PFC,-0.1398902399655655,450.0,8.524999999999999,440.0,5.55,2.575000000000001
134,TATACHEM,-1.6606968414197332,1020.0,12.0,1000.0,7.199999999999999,2.3999999999999986
53,GODREJCP,0.5990059050936744,1140.0,8.85,1120.0,5.475,2.0999999999999996
103,NATIONALUM,-1.598325987266818,215.0,5.4,210.0,3.75,2.0999999999999996
74,INDIGO,-0.7135654016517954,3750.0,38.925,3650.0,20.424999999999997,1.9249999999999972
123,RELIANCE,-0.7436399217221136,1220.0,6.25,1200.0,4.05,1.8499999999999996
147,UPL,-2.3724007561436675,500.0,6.0,490.0,3.875,1.75
58,HAVELLS,0.0870430241233524,1560.0,15.9,1520.0,8.825,1.7499999999999982
91,LTTS,-1.0672630506171443,5100.0,64.425,4950.0,33.075,1.7250000000000085
48,EXIDEIND,-1.4198314671591827,410.0,5.175,400.0,3.3499999999999996,1.5249999999999995
3,ADANIENT,-0.786866981181345,2760.0,31.375,2680.0,16.45,1.5249999999999986
114,PETRONET,-2.0427112349117924,305.0,3.05,300.0,2.25,1.4500000000000002
40,CUMMINSIND,-3.3167257742616334,3250.0,38.95,3150.0,20.175,1.3999999999999986
22,BEL,-2.1817557120769626,275.0,3.675,270.0,2.475,1.2750000000000004
95,MARICO,0.8030112923462988,580.0,4.425,570.0,2.8499999999999996,1.2749999999999995
83,JSWSTEEL,-1.8905265350762983,910.0,8.925,890.0,5.1,1.2749999999999986
6,AMBUJACEM,-1.550179211469534,530.0,4.225,520.0,2.725,1.2250000000000005
94,M&MFIN,-2.9018277746372716,250.0,3.3,245.0,2.2,1.1000000000000005
65,HINDPETRO,-1.0480233483682675,360.0,5.675,350.0,3.325,0.9750000000000005
68,ICICIGI,-0.4355400696864111,1820.0,14.625,1780.0,7.775,0.9250000000000007
34,CIPLA,-0.11428944618599793,1480.0,11.975000000000001,1440.0,6.45,0.9249999999999989
80,IRCTC,-0.40155680484339284,780.0,8.025,760.0,4.45,0.875
11,ASTRAL,-0.3035162066200894,1680.0,12.5,1640.0,6.675,0.8499999999999996
107,NMDC,-1.4003111802622805,215.0,3.5999999999999996,210.0,2.2,0.8000000000000007
23,BERGEPAINT,-1.2118763886083619,470.0,3.825,460.0,2.3,0.7749999999999995
133,SYNGENE,-2.91844051086713,840.0,9.149999999999999,820.0,4.925,0.7000000000000011
56,GUJGASLTD,-1.2685827552031717,480.0,4.275,470.0,2.45,0.625
20,BANKBARODA,-1.6568047337278107,240.0,2.625,235.0,1.6,0.5750000000000002
38,CONCOR,-1.7730277383085196,770.0,8.125,750.0,4.325,0.5250000000000004
19,BANDHANBNK,-3.4375000000000004,160.0,2.3,155.0,1.4,0.5
151,ZYDUSLIFE,0.43626806833114323,920.0,6.425,900.0,3.45,0.47500000000000053
90,LTIM,-0.318031203689828,5800.0,51.5,5650.0,25.975,0.45000000000000284
72,IGL,-1.6974947319129008,410.0,5.275,400.0,2.8499999999999996,0.42499999999999893
108,NTPC,1.1786275536930328,375.0,4.55,365.0,2.475,0.40000000000000036
35,COALINDIA,-1.0104655359076147,400.0,4.45,390.0,2.425,0.39999999999999947
0,ABB,-1.753632524515067,6700.0,104.475,6500.0,52.4,0.32500000000000284
76,INDUSTOWER,-0.8560311284046693,310.0,5.375,300.0,2.8499999999999996,0.3249999999999993
125,SBICARD,-0.6763213996912446,655.0,4.45,640.0,2.3499999999999996,0.2499999999999991
1,ABCAPITAL,-2.1470663592108634,185.0,2.425,180.0,1.3250000000000002,0.22500000000000053
71,IEX,-1.505969880602388,160.0,2.5,155.0,1.35,0.20000000000000018
7,APOLLOHOSP,-2.3226540553994957,6650.0,54.1,6500.0,27.15,0.19999999999999574
29,BPCL,-0.6924315619967795,300.0,4.324999999999999,290.0,2.25,0.1750000000000007
118,PNB,-0.6915097963887822,100.0,1.375,97.0,0.775,0.17500000000000004
52,GMRINFRA,-1.5852723088724114,74.0,0.975,72.0,0.575,0.17499999999999993
50,GAIL,-1.899091515680337,185.0,2.375,180.0,1.275,0.17499999999999982
127,SBIN,-1.2598709988546628,790.0,5.5,770.0,2.825,0.15000000000000036
46,EICHERMOT,-3.4726681333487726,4450.0,62.95,4300.0,31.55,0.14999999999999858
49,FEDERALBNK,-1.7526071842410198,195.0,1.525,190.0,0.825,0.125
120,POWERGRID,-1.0825227486664575,305.0,2.75,295.0,1.4249999999999998,0.09999999999999964
70,IDFCFIRSTB,-2.085222121486854,63.0,0.975,61.0,0.525,0.07500000000000007
131,SUNPHARMA,-1.1625003468079795,1720.0,7.875,1680.0,3.9000000000000004,-0.07499999999999929
100,MGL,-1.575347449610711,1320.0,19.925,1280.0,9.925,-0.07499999999999929
27,BIOCON,-3.721264367816092,325.0,4.1,315.0,2.0,-0.09999999999999964
78,IOC,-1.4442767837896098,135.0,2.275,130.0,1.025,-0.2250000000000001
139,TATASTEEL,-2.91834188271177,135.0,1.375,130.0,0.575,-0.2250000000000001
32,CANBK,-1.592920353982301,98.0,1.625,94.0,0.675,-0.2749999999999999
2,ACC,-1.6144328532674619,2160.0,18.725,2100.0,9.225,-0.27500000000000213
64,HINDALCO,-3.399954054674937,610.0,7.15,590.0,3.425,-0.3000000000000007
69,ICICIPRULI,-1.3437611091361537,670.0,6.575,650.0,3.0999999999999996,-0.3750000000000009
124,SAIL,-1.572052401746725,110.0,2.1500000000000004,105.0,0.875,-0.40000000000000036
81,ITC,0.549392498679345,460.0,1.975,445.0,0.725,-0.5250000000000001
130,SRF,-1.6415261756876662,2160.0,25.75,2100.0,12.600000000000001,-0.5499999999999972
111,ONGC,-1.885692068429238,245.0,2.7,235.0,1.0750000000000002,-0.5499999999999998
26,BHEL,-2.1389214282615296,220.0,4.55,210.0,2.0,-0.5499999999999998
73,INDHOTEL,-1.5185717217319927,700.0,7.55,680.0,3.5,-0.5499999999999998
31,BSOFT,-1.2380615493455962,540.0,7.35,520.0,3.375,-0.5999999999999996
138,TATAPOWER,-2.062228654124458,395.0,5.75,380.0,2.55,-0.6500000000000004
79,IPCALAB,-2.7965035641712093,1460.0,29.3,1400.0,14.325,-0.6500000000000021
88,LICHSGFIN,-0.41305580302907596,600.0,8.2,580.0,3.75,-0.6999999999999993
47,ESCORTS,-1.0853957259903708,3400.0,37.975,3300.0,18.6,-0.7749999999999986
109,OBEROIRLTY,-3.3831072033148892,1860.0,30.799999999999997,1800.0,14.925,-0.9499999999999957
