,symbol,pct_change,strike_price_near,opt_ltp_near,strike_price_far,opt_ltp_far,bcrs_val
145,TCS,-0.6676540142846905,4250.0,62.725,4500.0,37.925,13.124999999999993
123,PFC,1.35971700198983,460.0,1.35,500.0,5.0,8.65
27,BHEL,-0.5006257822277848,240.0,1.1,260.0,2.575,4.050000000000001
141,TATAELXSI,0.38233259294323274,7200.0,144.47500000000002,7500.0,73.35,2.224999999999966
110,NATIONALUM,1.4176765077434146,225.0,5.35,250.0,3.675,2.0
80,IDFCFIRSTB,-0.96,62.0,0.175,70.0,0.8500000000000001,1.5250000000000001
67,HDFCAMC,0.16932695495666178,4350.0,93.725,4500.0,47.325,0.9250000000000114
147,TITAN,-0.2683403151507924,3450.0,53.275,3550.0,26.950000000000003,0.6250000000000071
103,MARICO,-0.38710696792542265,650.0,11.15,670.0,5.85,0.5499999999999989
44,CUB,-0.17746736890313716,180.0,3.175,185.0,1.8250000000000002,0.47500000000000053
58,FEDERALBNK,0.38570848558668297,205.0,3.325,210.0,1.9,0.47499999999999964
3,ABFRL,-1.2003530450132394,290.0,5.825,300.0,3.0999999999999996,0.3749999999999991
28,BIOCON,-0.8121827411167513,355.0,8.075,370.0,4.05,0.025000000000000355
144,TATASTEEL,-0.47635975826519733,145.0,2.525,150.0,1.275,0.02499999999999991
128,POWERGRID,0.30600740860041875,320.0,5.35,330.0,2.6500000000000004,-0.049999999999998934
79,IDEA,1.3404825737265416,8.0,0.32499999999999996,9.0,0.125,-0.07499999999999996
102,M&MFIN,0.3403289846851957,270.0,5.575,280.0,2.75,-0.07500000000000018
88,IRFC,-0.8562567421790722,150.0,4.2,160.0,2.05,-0.10000000000000053
142,TATAMOTORS,1.0056397363593121,770.0,14.45,800.0,7.15,-0.14999999999999858
33,CANBK,-0.07938870695643545,104.0,2.225,109.0,0.925,-0.375
116,NYKAA,-0.9995680878632689,165.0,5.525,175.0,2.55,-0.4250000000000007
62,GODREJCP,-0.8247613752200909,1100.0,21.975,1140.0,10.725,-0.5250000000000021
114,NMDC,0.42847725774555045,220.0,5.8,230.0,2.625,-0.5499999999999998
124,PNB,-0.08839996071112857,105.0,2.575,111.0,0.975,-0.6250000000000002
40,COALINDIA,1.1971372804163958,400.0,7.65,415.0,3.5,-0.6500000000000004
14,ATGL,0.08179046769276527,700.0,22.575,750.0,10.95,-0.6750000000000007
127,POONAWALLA,-2.029434546862897,320.0,9.274999999999999,340.0,4.275,-0.7249999999999979
57,EXIDEIND,-0.6088825214899715,430.0,10.375,450.0,4.825,-0.7249999999999996
59,GAIL,-0.6513177824901545,205.0,3.8,215.0,1.475,-0.8499999999999996
11,ASHOKLEY,-0.27204715484017233,225.0,4.5,235.0,1.8250000000000002,-0.8499999999999996
29,BPCL,0.325119780971937,305.0,6.6,320.0,2.8499999999999996,-0.9000000000000004
90,JIOFIN,-0.1147729135923922,315.0,6.875,330.0,2.95,-0.9749999999999996
115,NTPC,-0.268897520167314,345.0,5.95,360.0,2.425,-1.1000000000000005
46,DABUR,-0.5397978211797037,520.0,8.525,540.0,3.7,-1.125
154,WIPRO,0.14758937356510332,315.0,6.85,330.0,2.8499999999999996,-1.1500000000000004
2,ABCAPITAL,-0.8369098712446352,190.0,4.125,200.0,1.4249999999999998,-1.2750000000000004
