,symbol,pct_change,strike_price_near,opt_ltp_near,strike_price_far,opt_ltp_far,bcrs_val
100,NIFTY,-0.5731509789025562,24150.0,154.8,23450.0,145.875,136.95
131,TCS,-0.1784028912778251,4300.0,40.8,4100.0,40.3,39.8
66,INDUSINDBK,-0.8709016393442623,960.0,11.600000000000001,900.0,11.95,12.299999999999997
45,DRREDDY,1.9598412889262957,1260.0,11.225000000000001,1200.0,10.975,10.724999999999998
109,PFC,-2.7649769585253456,480.0,7.525,450.0,7.625,7.725
52,GODREJPROP,0.011683022898724882,2950.0,35.150000000000006,2900.0,20.799999999999997,6.449999999999989
140,WIPRO,0.6290322580645161,310.0,3.925,290.0,4.325,4.7250000000000005
72,IRFC,-1.9706661497706275,150.0,2.75,135.0,2.9749999999999996,3.1999999999999993
92,METROPOLIS,-2.0338905322051777,2100.0,25.5,2060.0,14.05,2.6000000000000014
5,ADANIENT,-0.7879067342969988,2440.0,36.125,2360.0,19.1,2.075000000000003
90,MAXHEALTH,-1.3433327839129718,1180.0,13.85,1160.0,7.875,1.9000000000000004
18,BANKBARODA,-1.8177571912342847,250.0,3.275,235.0,2.5,1.725
62,IDFCFIRSTB,1.861198738170347,64.0,0.725,60.0,0.725,0.725
61,ICICIPRULI,-0.928332714444857,660.0,6.675,650.0,3.6500000000000004,0.6250000000000009
36,CROMPTON,-0.8160703075957313,390.0,3.825,385.0,2.2,0.5750000000000002
69,IOC,-1.9441674975074776,135.0,3.55,130.0,1.9249999999999998,0.2999999999999998
74,JINDALSTEL,-1.3781177950115282,930.0,11.85,910.0,5.875,-0.09999999999999964
99,NHPC,-1.4809590973201694,83.0,1.1,81.0,0.45,-0.20000000000000007
103,NYKAA,-3.1631269769543606,170.0,3.0999999999999996,165.0,1.4249999999999998,-0.25
114,POONAWALLA,-2.8853341306622813,320.0,5.800000000000001,310.0,2.75,-0.3000000000000007
40,DELHIVERY,-2.408854166666667,370.0,6.225,360.0,2.925,-0.375
0,AARTIIND,-1.0932775063968365,420.0,5.1,410.0,2.3,-0.5
4,ACC,-1.977529107959951,2140.0,22.15,2100.0,10.774999999999999,-0.6000000000000014
50,GAIL,-2.9272191418152755,190.0,5.0,180.0,2.175,-0.6500000000000004
73,ITC,0.0,465.0,6.800000000000001,450.0,3.075,-0.6500000000000004
51,GLENMARK,0.8614170639487094,1520.0,21.85,1480.0,10.55,-0.75
2,ABCAPITAL,-0.8680736043247739,190.0,6.199999999999999,180.0,2.7,-0.7999999999999989
20,BEL,-2.62989095574086,300.0,8.95,285.0,4.050000000000001,-0.8499999999999979
124,SJVN,-1.9400203320908167,115.0,2.0999999999999996,110.0,0.6000000000000001,-0.8999999999999995
67,INDUSTOWER,-1.2386576407892842,340.0,4.55,330.0,1.8250000000000002,-0.8999999999999995
135,TVSMOTOR,1.0422391857506363,2450.0,24.55,2400.0,11.825,-0.9000000000000021
39,DABUR,-0.2762158429515636,500.0,10.1,480.0,4.574999999999999,-0.9500000000000011
37,CUB,-1.169782442330819,180.0,2.4000000000000004,175.0,0.7,-1.0000000000000004
79,KALYANKJIL,-2.2703273495248153,730.0,10.0,710.0,4.475,-1.0500000000000007
3,ABFRL,-1.3326585695006747,290.0,4.475,280.0,1.65,-1.1749999999999998
96,MUTHOOTFIN,-0.2610656224041771,2080.0,21.0,2040.0,9.9,-1.1999999999999993
130,TATAPOWER,-1.2222617776195563,410.0,10.925,390.0,4.8,-1.325000000000001
137,VBL,-2.8681572860447186,620.0,8.399999999999999,600.0,3.45,-1.4999999999999982
32,CIPLA,1.4663461538461537,1460.0,32.974999999999994,1400.0,15.725,-1.524999999999995
64,INDHOTEL,-0.606920022688599,870.0,9.7,850.0,4.05,-1.5999999999999996
83,LICI,-0.907164973654191,900.0,8.925,880.0,3.625,-1.6750000000000007
