,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,ltp,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val,sort_val
153,NIFTY,-1.4069823600623814,98.7071160315455,22900.0,197.15,-0.35920945653433756,23170.0,22300.0,66.6,-0.14734945456015958,-63.95000000000002,-0.0027600345274061294
113,ITC,-1.2872173718379227,90.99956753669125,435.0,5.6,-0.37760407649231764,440.95,420.0,2.125,-0.168901523977111,-1.3499999999999996,-0.003061571606758135
40,BRITANNIA,-0.2829168729602199,96.20254681599693,4850.0,69.55,-0.3655655424569928,4934.45,4650.0,26.8,-0.16142787339159959,-15.949999999999996,-0.0032323764553293674
68,DMART,-4.467330606921102,31.37959091089003,3450.0,54.925,-0.3677948641947226,3515.65,3300.0,21.6,-0.16656687722815788,-11.724999999999994,-0.003335087394934079
30,BANKNIFTY,-1.201561170386856,99.95429590545965,47600.0,506.9,-0.35709974174567927,48299.0,46100.0,172.075,-0.14813000287314226,-162.75,-0.0033696349820907267
17,ASIANPAINT,-2.737951286923476,75.80882299173678,2220.0,31.325,-0.3774367383971531,2252.2,2140.0,11.825,-0.17114217310589797,-7.675000000000001,-0.0034077790604742034
182,SBIN,-1.9896831245394253,98.77493495645304,720.0,11.7,-0.3807826176207816,731.5,690.0,4.574999999999999,-0.1743415221523893,-2.5500000000000007,-0.0034859876965140134
178,RELIANCE,-0.11240465676435167,94.16116884576519,1220.0,15.275,-0.34310557359349514,1244.1,1170.0,5.4,-0.14093287257080855,-4.475,-0.003596977734908769
137,MARUTI,-1.0248575156217812,79.01688067911054,11300.0,136.825,-0.3381348138178597,11531.0,10800.0,44.775,-0.1281404993173979,-47.27499999999999,-0.004099817882230509
197,TATAMOTORS,-2.895193977996526,99.38381426720484,740.0,15.100000000000001,-0.38048411254547565,754.65,700.0,5.975,-0.1717826412669443,-3.150000000000002,-0.004174120453190224
207,UBL,-2.7180323754548876,75.68966833431644,1900.0,29.3,-0.3589053028752267,1938.1,1820.0,10.600000000000001,-0.15707704062930916,-8.099999999999998,-0.004179350910685722
35,BHARTIARTL,-1.1085721343873518,90.06421434225196,1580.0,23.15,-0.3886642147235815,1601.25,1520.0,8.225,-0.16856052216106954,-6.699999999999999,-0.00418423106947697
61,DABUR,-1.2223291626564003,94.26861952358783,505.0,7.2,-0.3714946168738462,513.15,485.0,2.5,-0.1570230120042534,-2.2,-0.004287245444801716
151,NESTLEIND,-0.42496384469907666,71.061442107218,2200.0,23.5,-0.3435318608335536,2237.7,2120.0,6.8,-0.12497468848843929,-9.9,-0.004424185547660545
200,TCS,0.6809107329594069,60.13345866244021,4150.0,43.05,-0.3234467987222204,4236.25,3950.0,12.075,-0.10331382548643309,-18.9,-0.004461493065801121
195,TATACONSUM,-0.8016032064128258,86.02171553067154,950.0,13.825,-0.3734104542969856,965.25,910.0,4.725,-0.15371692539425152,-4.375,-0.004532504532504532
94,ICICIBANK,-1.2096774193548387,99.87707757161374,1210.0,16.05,-0.3360984800837068,1237.25,1160.0,5.2,-0.13484968124642993,-5.65,-0.004566579106890281
1,ABB,-4.6145705258898415,90.10856697830224,6000.0,112.975,-0.3677249587937772,6128.8,5700.0,42.25,-0.16337045042424103,-28.474999999999994,-0.0046460971152591036
23,AXISBANK,0.9481850397471507,99.99970384560105,1030.0,17.675,-0.3538502811181502,1054.0,980.0,6.375,-0.1526581315746285,-4.925000000000001,-0.004672675521821632
63,DEEPAKNTR,-3.315819956975012,81.46767038024936,2300.0,43.849999999999994,-0.39100658728225746,2337.05,2200.0,16.375,-0.18110952561704774,-11.099999999999994,-0.004749577458762112
5,ACC,-3.4891835310537336,99.97298654260727,1820.0,34.225,-0.35156543156153663,1867.05,1720.0,12.65,-0.15145891684428947,-8.925,-0.004780268337752069
86,HDFCBANK,-1.6174613673260778,99.90846907749882,1600.0,19.5,-0.3292646083418359,1636.2,1520.0,5.8,-0.11359669326595156,-7.9,-0.004828260603838162
138,MAXHEALTH,-5.854272447163997,19.34246429370162,1060.0,24.25,-0.3741791520074804,1084.7,1000.0,9.45,-0.17234556090071207,-5.350000000000001,-0.004932239328846687
185,SIEMENS,-4.954578934446354,88.69763269020451,5700.0,113.325,-0.3819595444144721,5806.8,5400.0,42.325,-0.16769347700317816,-28.674999999999997,-0.004938175931666322
125,LALPATHLAB,-2.1092592907849714,66.09820736584344,2800.0,41.125,-0.32823086173084226,2875.1,2650.0,13.45,-0.1248101103540743,-14.225000000000001,-0.004947653994643665
25,BAJAJFINSV,-1.6187683284457477,47.016476548490196,1640.0,19.4,-0.32523395322667314,1677.4,1560.0,5.55,-0.11004185033746117,-8.299999999999999,-0.0049481340169309634
204,TORNTPHARM,-0.8539449205526243,49.22359277512653,3200.0,54.3,-0.38463641904417445,3250.9,3050.0,19.075000000000003,-0.16148714088230853,-16.14999999999999,-0.004967855055523083
92,HINDUNILVR,0.03882463525276881,99.43270222399092,2400.0,29.35,-0.3408611495586553,2447.85,2300.0,8.525,-0.12409149535173869,-12.3,-0.005024817697162817
51,CIPLA,-2.1120075937351683,99.9750531102655,1420.0,25.549999999999997,-0.38252287110034033,1443.75,1360.0,9.125,-0.17267375938540286,-7.299999999999997,-0.005056277056277055
