,symbol,pct_change,strike_price_near,opt_ltp_near,strike_price_far,opt_ltp_far,bcrs_val
166,TATAELXSI,-1.0304840315333494,7200.0,129.39999999999998,7000.0,68.975,8.550000000000011
17,AXISBANK,-1.3400546103759716,1160.0,14.95,1100.0,11.6,8.25
12,APOLLOTYRE,1.5228426395939088,540.0,8.600000000000001,500.0,7.375,6.149999999999999
100,JKCEMENT,-1.01904895983366,4500.0,69.4,4400.0,37.75,6.099999999999994
87,IGL,0.9357941252924357,380.0,8.175,350.0,6.425,4.674999999999999
179,VEDL,-2.5844930417495036,480.0,8.3,450.0,6.35,4.399999999999999
72,HAL,0.9268479509766373,4500.0,127.925,4300.0,65.30000000000001,2.6750000000000256
183,ZYDUSLIFE,-0.39101664327250857,980.0,13.675,960.0,7.525,1.375
38,CANBK,-0.4279340799417281,108.0,2.175,100.0,1.6749999999999998,1.1749999999999998
19,BAJAJFINSV,0.420975565113938,1620.0,21.675,1580.0,11.3,0.9250000000000007
22,BANDHANBNK,-0.5474967545295479,175.0,3.8,160.0,2.25,0.7000000000000002
124,MOTHERSON,-2.2237827715355807,165.0,4.0,150.0,2.3499999999999996,0.6999999999999993
139,ONGC,-0.7268553940321346,255.0,3.225,250.0,1.9249999999999998,0.6249999999999996
24,BANKINDIA,-1.3431322858590977,115.0,2.75,105.0,1.65,0.5499999999999998
123,MGL,-0.17051619903890872,1260.0,25.674999999999997,1220.0,13.075,0.4750000000000014
64,FEDERALBNK,0.0046779248725265475,210.0,3.075,205.0,1.6749999999999998,0.27499999999999947
66,GLENMARK,-0.7618675522563001,1500.0,24.475,1460.0,12.350000000000001,0.22500000000000142
67,GMRINFRA,2.4252413468330585,85.0,1.4249999999999998,82.0,0.725,0.025000000000000133
2,ABFRL,0.9896171317326412,305.0,5.875,295.0,2.9000000000000004,-0.07499999999999929
145,PNB,-1.1498415572657312,107.0,2.125,103.0,1.025,-0.07500000000000018
158,SJVN,0.7837637158650277,120.0,3.0,115.0,1.4,-0.20000000000000018
134,NTPC,-0.16189962223421478,365.0,4.45,355.0,2.075,-0.2999999999999998
85,IDEA,0.12300123001230012,8.0,0.775,7.0,0.225,-0.325
68,GNFC,-1.519185591229444,620.0,11.35,600.0,5.5,-0.34999999999999964
86,IDFCFIRSTB,-1.02765603747922,64.0,1.875,60.0,0.725,-0.42500000000000004
127,NATIONALUM,-1.2782497195063314,240.0,5.45,230.0,2.5,-0.4500000000000002
105,KOTAKBANK,0.5934219734079775,1780.0,21.799999999999997,1740.0,10.649999999999999,-0.5
148,POWERGRID,-0.07562008469449485,325.0,4.1,315.0,1.775,-0.5499999999999998
138,OIL,-1.3938377698595683,460.0,11.625,440.0,5.525,-0.5749999999999993
131,NHPC,2.4730426629160807,86.0,1.975,82.0,0.675,-0.625
23,BANKBARODA,-0.5994344957587182,260.0,4.7,250.0,2.025,-0.6500000000000004
99,JIOFIN,-0.36699941280093956,335.0,5.75,325.0,2.55,-0.6500000000000004
181,WIPRO,0.23482053002348205,295.0,4.35,285.0,1.8250000000000002,-0.6999999999999993
116,M&MFIN,0.39504399353564373,275.0,4.8,265.0,2.0,-0.7999999999999998
78,HINDALCO,-2.2273368475759154,650.0,11.325,630.0,5.25,-0.8249999999999993
161,SUNTV,-1.0658347956066812,750.0,11.975000000000001,730.0,5.575,-0.8250000000000011
44,CHOLAFIN,0.7193963326426086,1260.0,20.450000000000003,1220.0,9.8,-0.8500000000000014
8,AMBUJACEM,1.2843068261787474,570.0,10.175,550.0,4.65,-0.875
84,ICICIPRULI,0.7762827147715511,670.0,9.975000000000001,650.0,4.55,-0.8750000000000018
41,CESC,0.6888922411625684,195.0,4.8,185.0,1.9,-1.0
46,COALINDIA,-0.7162468664199595,410.0,6.75,395.0,2.825,-1.0999999999999996
43,CHAMBLFERT,-2.6484604105571847,520.0,9.8,500.0,4.35,-1.1000000000000014
62,ESCORTS,0.4516456839609327,3500.0,60.575,3400.0,29.725,-1.125
122,MFSL,0.7108903258961072,1160.0,24.0,1120.0,11.425,-1.1499999999999986
133,NMDC,-1.087228192951762,235.0,4.7,225.0,1.775,-1.1500000000000004
182,ZOMATO,-2.42174629324547,290.0,7.5,275.0,3.175,-1.1500000000000004
36,BSOFT,-0.3026337313921152,600.0,10.65,580.0,4.75,-1.1500000000000004
50,CROMPTON,2.203991673809232,410.0,6.275,395.0,2.55,-1.1750000000000007
168,TATAPOWER,-0.23796033994334279,435.0,8.100000000000001,420.0,3.45,-1.200000000000001
31,BIOCON,-3.1114612051988972,365.0,8.125,350.0,3.45,-1.2249999999999996
29,BHARTIARTL,-0.19621278186121838,1580.0,19.5,1540.0,9.100000000000001,-1.2999999999999972
27,BERGEPAINT,-0.47609190643759053,475.0,6.775,460.0,2.7,-1.375
42,CGPOWER,2.3777735393222708,790.0,17.174999999999997,760.0,7.875,-1.4249999999999972
96,IRFC,-0.20166372573733302,155.0,4.1,145.0,1.3250000000000002,-1.4499999999999993
65,GAIL,-0.12295469592357892,210.0,4.15,200.0,1.35,-1.4500000000000002
60,DRREDDY,0.13542579463076554,1240.0,13.3,1210.0,5.9,-1.5
135,NYKAA,-0.34713909504429014,165.0,4.3,155.0,1.4,-1.5
162,SYNGENE,-4.061435292845168,870.0,14.600000000000001,840.0,6.5,-1.6000000000000014
153,SBILIFE,1.68779278038027,1460.0,22.049999999999997,1420.0,10.175,-1.6999999999999957
159,SRF,-0.7153696076306092,2260.0,33.6,2200.0,15.95,-1.7000000000000028
70,GODREJPROP,0.155880549960592,2800.0,56.974999999999994,2700.0,27.625,-1.7249999999999943
15,AUBANK,-0.35738597685500345,580.0,11.5,560.0,4.85,-1.8000000000000007
16,AUROPHARMA,0.07594835511851941,1240.0,21.575,1200.0,9.875,-1.8249999999999993
165,TATACONSUM,-3.8752943585543163,930.0,14.95,900.0,6.55,-1.8499999999999996
152,SBICARD,0.38924028636963925,715.0,9.15,695.0,3.6500000000000004,-1.8499999999999996
117,MARICO,-4.74090407938258,600.0,10.8,580.0,4.45,-1.9000000000000004
111,LT,1.4785361334156886,3900.0,54.75,3800.0,26.375,-2.0
169,TATASTEEL,-1.0063061854286866,145.0,3.825,140.0,0.875,-2.075
143,PETRONET,0.0888494002665482,335.0,5.4,320.0,1.625,-2.1500000000000004
178,VBL,-0.6723338485316848,630.0,13.025,600.0,5.425000000000001,-2.174999999999999
149,RAMCOCEM,-0.3240695276441128,1000.0,14.2,970.0,6.0,-2.1999999999999993
129,NAVINFLUOR,-0.5720839802498147,3500.0,58.95,3400.0,28.375,-2.200000000000003
63,EXIDEIND,0.8602150537634409,460.0,8.175,440.0,2.9749999999999996,-2.2250000000000014
177,UPL,-0.7540140157899405,550.0,8.475000000000001,530.0,3.125,-2.2250000000000014
130,NESTLEIND,-1.9164261955635835,2200.0,25.5,2140.0,11.625,-2.25
93,IOC,-0.056116722783389444,140.0,4.15,135.0,0.925,-2.3000000000000003
101,JSWENERGY,-0.6486327117269847,660.0,16.05,630.0,6.875,-2.3000000000000007
81,HUDCO,-0.3181250755043692,245.0,7.125,230.0,2.4000000000000004,-2.3249999999999993
55,DELHIVERY,3.6509726529461517,360.0,9.4,340.0,3.45,-2.5
80,HINDUNILVR,-3.613514544396042,2380.0,31.325,2320.0,14.4,-2.5249999999999986
0,AARTIIND,0.12146643109540636,450.0,10.125,430.0,3.7750000000000004,-2.5749999999999993
25,BATAINDIA,0.39356486915694266,1440.0,21.175,1400.0,9.3,-2.5749999999999993
88,INDHOTEL,1.162300511894008,830.0,13.8,800.0,5.6,-2.6000000000000014
114,LUPIN,-0.6521739130434783,2100.0,32.125,2040.0,14.725000000000001,-2.674999999999997
45,CIPLA,-0.6164521996900897,1460.0,21.775,1420.0,9.475000000000001,-2.8249999999999957
79,HINDPETRO,-0.4987531172069825,395.0,9.125,375.0,3.1500000000000004,-2.8249999999999993
97,ITC,-1.2370480016916896,460.0,7.699999999999999,450.0,2.425,-2.8499999999999996
176,UNITDSPR,-1.3488234714974896,1480.0,17.7,1440.0,7.425,-2.8499999999999996
39,CANFINHOME,-0.4539800995024876,790.0,16.05,760.0,6.5,-3.0500000000000007
58,DLF,1.3379872018615475,860.0,14.475000000000001,830.0,5.7,-3.075000000000001
3,ACC,0.10134390834985679,2240.0,33.9,2160.0,15.4,-3.099999999999998
95,IRCTC,0.5271986580397796,830.0,13.3,800.0,5.05,-3.200000000000001
91,INDUSTOWER,-0.6002728512960437,360.0,7.7,340.0,2.125,-3.45
106,KPITTECH,3.9197904070939136,1520.0,35.025000000000006,1460.0,15.775,-3.475000000000005
13,ASIANPAINT,-1.4560422682312464,2380.0,30.35,2320.0,13.425,-3.5
82,ICICIBANK,-0.5129549198741951,1320.0,17.525,1280.0,6.875,-3.7749999999999986
180,VOLTAS,2.3585180015122433,1740.0,32.55,1680.0,14.175,-4.199999999999996
76,HDFCBANK,0.8056070248932571,1860.0,21.075,1810.0,8.399999999999999,-4.275000000000002
110,LICI,0.759301442672741,980.0,19.15,940.0,7.199999999999999,-4.75
26,BEL,0.06341154090044387,310.0,9.899999999999999,300.0,2.475,-4.949999999999998
30,BHEL,-0.2595846645367412,245.0,10.149999999999999,235.0,2.5999999999999996,-4.949999999999999
98,JINDALSTEL,-0.5136806793164902,940.0,18.1,900.0,6.575,-4.950000000000001
109,LICHSGFIN,-1.3449428593640673,630.0,13.625,600.0,4.325,-4.975
49,CONCOR,1.952802359882006,850.0,22.625,800.0,8.8,-5.024999999999999
103,JUBLFOOD,-0.4158600415860042,690.0,14.45,660.0,4.7,-5.049999999999999
102,JSWSTEEL,-1.1342810441329438,990.0,17.799999999999997,950.0,6.35,-5.099999999999998
141,PEL,-0.2690006825390452,1220.0,24.8,1160.0,9.725,-5.350000000000001
167,TATAMOTORS,-1.6471449487554906,800.0,27.5,750.0,11.024999999999999,-5.450000000000003
125,MPHASIS,0.1453987028475274,3000.0,46.275,2900.0,20.325000000000003,-5.624999999999993
83,ICICIGI,0.8966433352066624,1960.0,32.575,1900.0,13.45,-5.675000000000004
171,TECHM,-0.5617506497861994,1760.0,24.875,1700.0,9.45,-5.975000000000001
74,HCLTECH,-0.8152032815826369,1900.0,28.025,1840.0,11.0,-6.024999999999999
52,DABUR,-3.17173064101343,500.0,11.175,485.0,2.575,-6.025
14,ASTRAL,0.41387145639471973,1840.0,29.475,1780.0,11.575,-6.325000000000003
121,METROPOLIS,-1.4484653718969775,2080.0,42.75,2000.0,18.125,-6.5
172,TITAN,-0.0014392838123749622,3450.0,52.474999999999994,3350.0,22.925,-6.624999999999993
119,MAXHEALTH,1.351474335638879,1100.0,32.375,1040.0,12.875,-6.625
94,IPCALAB,-1.142727655304134,1500.0,21.75,1440.0,7.525,-6.699999999999999
164,TATACOMM,-0.12248761204832694,1780.0,30.424999999999997,1720.0,11.775,-6.8749999999999964
71,GRASIM,-0.9187149038018964,2660.0,37.125,2580.0,15.1,-6.925000000000001
33,BPCL,0.46527085410435365,300.0,10.8,285.0,1.875,-7.050000000000001
146,POLICYBZR,-0.23550809121857946,2100.0,53.425,2000.0,23.15,-7.125
140,PAYTM,-0.0611807892321811,960.0,30.625,900.0,11.675,-7.274999999999999
5,ADANIENT,-0.2242953552997221,2460.0,60.45,2320.0,26.575000000000003,-7.299999999999997
7,ADANIPORTS,0.4309322368941251,1260.0,29.675,1200.0,11.175,-7.324999999999999
73,HAVELLS,-0.7868383404864091,1720.0,26.875,1660.0,9.75,-7.375
104,KALYANKJIL,4.9210454669207735,760.0,24.75,710.0,8.649999999999999,-7.450000000000003
136,OBEROIRLTY,-0.41983486495311845,2100.0,39.625,2020.0,15.85,-7.925000000000001
108,LAURUSLABS,-3.351059339917279,560.0,18.475,540.0,5.05,-8.375000000000002
6,ADANIGREEN,0.7796300904039148,1180.0,52.175,1080.0,21.85,-8.474999999999994
126,MUTHOOTFIN,0.9991588713582953,1960.0,37.975,1880.0,14.575,-8.825000000000003
69,GODREJCP,-8.930153870941753,1120.0,24.025,1060.0,7.475,-9.075
48,COLPAL,-3.9850947106924752,2750.0,48.65,2650.0,19.6,-9.449999999999996
107,LALPATHLAB,1.5153973456209235,3100.0,53.75,3000.0,22.1,-9.549999999999997
21,BALKRISIND,2.0523909113466376,2850.0,53.45,2750.0,21.825,-9.800000000000004
28,BHARATFORG,0.7695989984166145,1360.0,27.0,1300.0,8.575,-9.850000000000001
54,DEEPAKNTR,-1.1442364386792452,2650.0,49.95,2550.0,20.0,-9.950000000000003
53,DALBHARAT,-1.2694958287994198,1880.0,32.375,1800.0,11.175,-10.024999999999999
4,ADANIENSOL,-0.46812442254388675,800.0,31.825,740.0,10.825,-10.175
89,INDIGO,0.2785639471397054,4450.0,76.275,4300.0,32.675,-10.925000000000011
11,APOLLOHOSP,-0.6471757415698655,7150.0,95.625,6950.0,41.975,-11.674999999999997
118,MARUTI,-0.46750345240084795,11200.0,156.35000000000002,10900.0,72.125,-12.100000000000023
144,PFC,0.1646010844306739,510.0,20.8,480.0,4.3,-12.200000000000001
175,ULTRACEMCO,-0.44200380661072997,11700.0,153.02499999999998,11400.0,70.15,-12.724999999999966
40,CDSL,1.5962093337215766,1880.0,48.475,1780.0,17.725,-13.024999999999999
154,SBIN,-0.2304147465437788,860.0,24.2,830.0,5.4,-13.399999999999999
150,RECLTD,0.7941465155706255,560.0,22.8,530.0,4.7,-13.4
34,BRITANNIA,-1.8466663941462618,4750.0,70.6,4600.0,28.225,-14.149999999999991
151,RELIANCE,-0.5004549590536852,1300.0,29.9,1260.0,7.85,-14.2
10,APLAPOLLO,0.6896551724137931,1580.0,37.425,1500.0,11.45,-14.524999999999999
170,TCS,-0.4278735470829356,4400.0,58.3,4250.0,21.700000000000003,-14.899999999999991
128,NAUKRI,-0.4381193213561116,8300.0,140.55,8000.0,62.825,-14.900000000000006
59,DMART,0.3677532900785416,3750.0,72.2,3600.0,28.5,-15.200000000000003
75,HDFCAMC,2.720165922144225,4450.0,77.1,4300.0,30.825,-15.449999999999996
