,symbol,pct_change,strike_price_near,opt_ltp_near,strike_price_far,opt_ltp_far,bcrs_val
27,COFORGE,-1.1446497127103141,7400.0,25.675,7300.0,17.175,8.675
2,ADANIENT,3.9195681611604742,2720.0,25.15,2640.0,14.55,3.950000000000003
74,PEL,2.0293445121951215,1040.0,7.65,1020.0,4.85,2.049999999999999
19,BHEL,0.6663602941176471,210.0,4.05,205.0,2.975,1.9000000000000004
87,SUNPHARMA,1.2539605821384459,1820.0,10.7,1780.0,6.125,1.5500000000000007
4,AMBUJACEM,1.2573496155585708,540.0,4.375,530.0,2.8499999999999996,1.3249999999999993
62,LICHSGFIN,2.7252271022585215,600.0,9.375,580.0,4.975,0.5749999999999993
95,UBL,-1.306050271567513,1900.0,9.775,1860.0,5.15,0.5250000000000004
28,CONCOR,-0.9306420172294536,760.0,6.7,740.0,3.575,0.4500000000000002
81,RECLTD,2.0107896027464442,500.0,2.5,490.0,1.475,0.4500000000000002
76,PETRONET,-1.096621221102549,320.0,1.0750000000000002,315.0,0.725,0.3749999999999998
1,ABFRL,1.9457841343755198,295.0,1.85,290.0,1.1,0.3500000000000001
40,HAL,0.10792402148887184,4000.0,14.35,3900.0,7.35,0.34999999999999964
82,SBICARD,-1.2627912040060962,660.0,9.149999999999999,640.0,4.725,0.3000000000000007
75,PERSISTENT,0.19458678922992942,5500.0,19.9,5400.0,10.1,0.3000000000000007
39,GUJGASLTD,0.5789124039100313,510.0,0.8999999999999999,500.0,0.6000000000000001,0.30000000000000027
52,INDUSINDBK,3.3995013425393177,1040.0,3.6500000000000004,1020.0,1.975,0.2999999999999998
32,EICHERMOT,2.515709595355613,4550.0,9.325,4450.0,4.800000000000001,0.27500000000000213
77,PFC,2.9820168449806514,440.0,3.3,430.0,1.775,0.25
34,FEDERALBNK,1.868608448894362,185.0,2.45,180.0,1.3250000000000002,0.20000000000000018
57,ITC,0.6533914125700063,470.0,0.775,460.0,0.475,0.17499999999999993
73,ONGC,0.05679666792881485,255.0,0.925,250.0,0.525,0.125
42,HDFCLIFE,0.5356261893015716,690.0,0.95,680.0,0.525,0.10000000000000009
78,PNB,3.6786160900375156,96.0,1.1749999999999998,93.0,0.625,0.07500000000000018
21,BPCL,1.48619957537155,300.0,0.8,295.0,0.42500000000000004,0.050000000000000044
36,GMRINFRA,-0.49504950495049505,76.0,0.525,74.0,0.275,0.025000000000000022
7,ASHOKLEY,-0.425531914893617,205.0,0.725,200.0,0.375,0.025000000000000022
15,BANKBARODA,5.348507587126897,245.0,1.125,240.0,0.575,0.02499999999999991
54,INFY,1.046935334747376,1800.0,2.6500000000000004,1760.0,1.3250000000000002,0.0
69,MOTHERSON,1.0677466863033873,185.0,0.95,180.0,0.475,0.0
17,BEL,-1.5204249862612202,260.0,1.1749999999999998,255.0,0.575,-0.02499999999999991
47,IDFCFIRSTB,1.5416076765770017,62.0,0.175,60.0,0.07500000000000001,-0.024999999999999967
23,CANBK,4.460218243457994,96.0,1.1749999999999998,93.0,0.525,-0.12499999999999978
33,EXIDEIND,3.8316303864948913,450.0,1.525,440.0,0.7,-0.125
35,GAIL,0.6830071691532649,200.0,0.775,195.0,0.32499999999999996,-0.1250000000000001
55,IOC,1.7223703096165677,145.0,1.275,140.0,0.525,-0.22499999999999987
80,POWERGRID,1.2668250197941409,310.0,0.775,300.0,0.275,-0.22499999999999998
99,WIPRO,2.3494860499265786,540.0,1.5750000000000002,525.0,0.675,-0.2250000000000001
11,AXISBANK,-0.7443229604709841,1140.0,2.3,1120.0,1.025,-0.25
48,IEX,0.5363857553638576,175.0,0.8500000000000001,170.0,0.3,-0.2500000000000001
84,SBIN,1.649405446873801,770.0,1.625,750.0,0.675,-0.2749999999999999
92,TATASTEEL,2.161086717892426,145.0,0.625,140.0,0.175,-0.275
8,ASIANPAINT,1.7142471485455895,2920.0,5.275,2860.0,2.5,-0.27500000000000036
