,symbol,pct_change,strike_price_near,opt_ltp_near,strike_price_far,opt_ltp_far,bcrs_val
65,INDIGO,4.007203962179199,4600.0,28.025,4350.0,47.375,66.725
2,ACC,-0.3831417624521073,2080.0,9.5,2000.0,25.174999999999997,40.849999999999994
118,SUNPHARMA,0.3331589526143341,1820.0,3.0,1760.0,15.375,27.75
68,INFY,0.012993425326784647,1920.0,6.975,1820.0,16.775,26.574999999999996
125,TECHM,-0.058530875036581796,1700.0,6.800000000000001,1600.0,13.225,19.65
42,DRREDDY,1.3480712498599647,1350.0,6.85,1280.0,12.125,17.4
74,JSWSTEEL,-1.3854105610912772,920.0,4.75,870.0,9.025,13.3
114,SBILIFE,0.028505255656511668,1400.0,5.949999999999999,1320.0,9.425,12.900000000000002
69,IRCTC,-0.6029831799428753,780.0,4.825,740.0,7.875,10.925
7,AMBUJACEM,-1.5337144931481985,540.0,2.8499999999999996,510.0,6.625,10.4
67,INDUSTOWER,-0.9390371143240422,330.0,2.3,310.0,4.75,7.2
3,ADANIENT,1.834020112304375,2340.0,77.32499999999999,2200.0,41.825,6.325000000000017
6,ALKEM,-0.37440187018300036,5400.0,131.225,5200.0,67.625,4.025000000000006
22,BPCL,0.5526770293609673,290.0,1.85,270.0,2.875,3.9
108,POLICYBZR,-3.1859158918204558,2000.0,66.25,1900.0,34.825,3.4000000000000057
99,NYKAA,0.3816793893129771,160.0,1.15,145.0,2.2,3.2500000000000004
51,HCLTECH,-0.17324653506929863,1860.0,33.825,1800.0,18.05,2.2749999999999986
66,INDUSINDBK,-0.7520389789217244,920.0,22.425,880.0,11.925,1.4250000000000007
79,LICI,-1.08449067670005,880.0,21.225,850.0,11.0,0.7749999999999986
84,LUPIN,0.9808230585949247,2160.0,47.95,2080.0,24.2,0.44999999999999574
82,LTF,0.8900561756766616,130.0,3.4000000000000004,125.0,1.9,0.39999999999999947
35,CUB,-0.8580744808649392,170.0,3.3499999999999996,165.0,1.85,0.35000000000000053
131,UPL,-0.7456097321691357,500.0,11.9,480.0,6.1,0.29999999999999893
103,PAYTM,1.2579593104519335,960.0,40.35,900.0,20.225,0.10000000000000142
97,NMDC,-1.5573118832717578,205.0,5.725,195.0,2.8499999999999996,-0.025000000000000355
16,BANKBARODA,-0.9294962860737915,240.0,5.225,230.0,2.55,-0.125
21,BIOCON,3.1823003485376566,335.0,8.825,320.0,4.325,-0.17499999999999893
