,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,ltp,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val,sort_val
155,NIFTY,-0.4870056956353426,76.8524232260614,23500.0,139.60000000000002,0.35164397672003894,23263.7,23900.0,42.15,0.14306034830551365,-55.300000000000026,-0.002377093927449203
128,LICI,1.1501032143910352,2.7672385083131856,870.0,10.95,0.3900261598892807,857.5,900.0,4.4,0.18424890824885745,-2.1499999999999986,-0.002507288629737608
30,BANKNIFTY,-1.4965430553181935,96.70821897900176,49400.0,353.6,0.3388109882169276,48704.0,50600.0,114.975,0.1372968392294332,-123.65000000000003,-0.002538805847568989
206,TITAN,1.2016663909401273,34.17438622305139,3400.0,39.775000000000006,0.40771400939578234,3364.5,3500.0,15.575,0.19278159840669065,-8.625000000000007,-0.0025635309852875634
153,NESTLEIND,1.5837988184722893,58.93208359812906,2240.0,20.25,0.3647311709106769,2209.6,2300.0,6.8,0.15485870378377048,-6.65,-0.003009594496741492
163,PAGEIND,0.23538328921037613,36.677203144485894,46500.0,544.125,0.3747965696460138,45756.4,48000.0,203.125,0.17189556144957616,-137.875,-0.0030132396779466914
192,SUNPHARMA,1.2434147170452614,79.09345966407153,1820.0,13.625,0.3201667534087455,1787.25,1880.0,4.05,0.11450354876670846,-5.525,-0.003091341446356134
198,TATACONSUM,2.0478907791584446,67.55343927798447,970.0,11.3,0.38722670591616626,956.75,1000.0,4.15,0.17665577484132666,-3.0,-0.003135615364515286
181,RELIANCE,2.547344383637151,29.396194826725797,1320.0,11.600000000000001,0.3631191167542984,1302.3,1360.0,3.625,0.14057812208158096,-4.350000000000001,-0.0033402441833678886
113,ITC,1.610861811068922,68.5766358647224,450.0,3.325,0.31470121413304253,441.55,465.0,0.925,0.10780559265548616,-1.475,-0.0033405050390669234
81,HAL,4.676176672515066,94.43259271276241,4200.0,77.25,0.39857078189195705,4116.6,4400.0,31.675,0.1942784530398799,-13.899999999999999,-0.0033765728999659906
83,HCLTECH,0.5025407787978325,64.30365684067044,1820.0,19.725,0.36473483118587546,1789.9,1880.0,6.775,0.15587606245334143,-6.175000000000001,-0.0034499134029834073
185,SBIN,-0.23443605105496224,89.92447562376498,780.0,8.45,0.35752414774078295,766.0,810.0,2.875,0.14501327017258261,-2.6999999999999993,-0.003524804177545691
134,LUPIN,0.7038904213830496,69.47844861159214,2160.0,25.125,0.356126376554306,2117.4,2240.0,8.8,0.15278878086633138,-7.524999999999999,-0.0035538868423538295
55,COROMANDEL,-0.11962358445425061,56.27602406398978,1920.0,24.200000000000003,0.35623874834877617,1878.65,2000.0,8.725000000000001,0.15364311379923395,-6.75,-0.003593005615734703
