,symbol,pct_change,strike_price,opt_ltp,params.delta,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val
145,MGL,-3.285265508497029,1240.0,29.375,-0.35430470877743325,1160.0,9.775,-0.14712435822123604,-9.825
36,BHARTIARTL,-0.6728552738147155,1560.0,22.075,-0.3438645583782194,1480.0,6.05,-0.11723643395238592,-9.975
18,ASTRAL,-3.6728290627210924,1520.0,25.950000000000003,-0.3297765455379078,1440.0,7.975,-0.12875542085678138,-10.000000000000004
51,CHOLAFIN,-2.0857692452759027,1260.0,23.675,-0.3373846289575415,1180.0,6.625,-0.1193713533736881,-10.425
107,INDUSINDBK,-2.7926262676724782,940.0,21.275,-0.3377490285040694,860.0,5.4,-0.10681129365407815,-10.474999999999998
57,COROMANDEL,-1.0226090486944608,1900.0,33.400000000000006,-0.34419469843007333,1800.0,11.275,-0.1412641258945535,-10.850000000000005
81,GRASIM,-2.379395740465577,2420.0,38.75,-0.3705807671948712,2300.0,13.8,-0.15143863064017127,-11.149999999999999
109,INFY,0.17225864507006045,1900.0,35.474999999999994,-0.35289225264861424,1800.0,11.975,-0.1470434184458047,-11.524999999999995
210,UBL,-2.519681327487861,2020.0,33.8,-0.34356681371593467,1920.0,11.125,-0.14006687382945915,-11.549999999999997
85,HCLTECH,-0.10023130300693908,1900.0,32.775000000000006,-0.3560043799395025,1800.0,10.6,-0.1405479213367571,-11.575000000000006
52,CIPLA,-1.5137024700722226,1460.0,25.299999999999997,-0.35674279682929844,1380.0,6.85,-0.1259360757000233,-11.599999999999998
204,TECHM,-0.4922478335200142,1640.0,30.025,-0.3382152245003164,1540.0,9.2,-0.12663297206499835,-11.625
97,ICICIGI,-1.199001736111111,1780.0,37.3,-0.3690889067287286,1680.0,12.8,-0.15575572868856713,-11.699999999999996
84,HAVELLS,-3.4546467638347162,1600.0,31.35,-0.345003809318141,1500.0,9.7,-0.13112996326103232,-11.950000000000003
165,PAYTM,-1.3095117246980001,940.0,28.950000000000003,-0.3616193040791569,860.0,8.45,-0.13708371909414951,-12.050000000000004
126,KPITTECH,-0.705801342744018,1400.0,43.45,-0.37292537281940175,1300.0,15.5,-0.1674822401321442,-12.450000000000003
197,TATACOMM,-2.7104463927568623,1660.0,35.875,-0.37632889625899835,1560.0,11.675,-0.151148163548409,-12.524999999999999
94,HINDUNILVR,-1.0811482540077049,2340.0,32.25,-0.3480750176170162,2240.0,9.850000000000001,-0.1341231942674863,-12.549999999999997
76,GLENMARK,-0.9020265122657323,1580.0,28.3,-0.33695811307356505,1480.0,7.775,-0.11601184869370662,-12.75
136,LUPIN,-0.49754377125582566,2320.0,38.825,-0.3590695022910132,2200.0,12.575,-0.14090741527638406,-13.675000000000004
217,VOLTAS,-2.697826978269783,1740.0,32.25,-0.35907617244065193,1640.0,9.2,-0.13099629558474968,-13.850000000000001
132,LT,-1.6342222161846411,3550.0,52.5,-0.356542855246365,3400.0,19.275,-0.1549910547125375,-13.950000000000003
178,PVRINOX,-3.4295337977493685,1220.0,23.625,-0.32838105386161054,1120.0,4.825,-0.08783036480464435,-13.975
137,M&M,-2.8123537669630325,3050.0,57.875,-0.3676641308826333,2900.0,21.675,-0.16496644553001028,-14.524999999999999
13,APLAPOLLO,-1.5081563558017852,1560.0,34.925,-0.3648800040740776,1460.0,10.0,-0.13647059204860112,-14.924999999999997
111,IPCALAB,-0.5878623710448966,1680.0,30.4,-0.34559669162262596,1580.0,7.725,-0.11655240204009798,-14.95
191,SRF,-0.9461663947797716,2220.0,42.35,-0.35325612894056846,2100.0,13.7,-0.14352739550916427,-14.950000000000003
6,ADANIENSOL,-6.487994178995876,740.0,23.45,-0.3456768736955105,640.0,4.15,-0.08020670232054106,-15.149999999999999
17,ASIANPAINT,-3.0367005736463866,2220.0,36.45,-0.34714239363455224,2100.0,10.600000000000001,-0.12648636763902843,-15.25
63,DALBHARAT,-2.8771620093238806,1700.0,38.9,-0.3374711564019911,1560.0,11.625,-0.11932047521256284,-15.649999999999999
7,ADANIENT,-3.6021015490199884,2400.0,55.275,-0.33717210379132356,2180.0,19.725,-0.1254115846478261,-15.824999999999996
8,ADANIGREEN,-5.794940848321631,940.0,40.625,-0.3646249741487648,840.0,12.350000000000001,-0.145363964248856,-15.924999999999997
47,CDSL,-4.369320849559478,1680.0,40.075,-0.35412752678630577,1560.0,12.0,-0.13375213643565265,-16.075000000000003
64,DEEPAKNTR,-1.637351057793629,2350.0,38.475,-0.3179861318616155,2200.0,11.1,-0.11018105087705665,-16.275000000000002
207,TORNTPHARM,-1.4152183438002044,3300.0,56.0,-0.3551458070961374,3150.0,19.75,-0.15453370330599525,-16.5
166,PEL,-4.883805374001452,1020.0,28.05,-0.37199071513240956,920.0,5.425,-0.09904876757827119,-17.200000000000003
173,POLICYBZR,-4.8334568649911285,2050.0,55.75,-0.35549207356577905,1900.0,19.174999999999997,-0.1498228322475076,-17.400000000000006
170,PIDILITIND,-1.510112664585313,2840.0,49.375,-0.3601176053055588,2700.0,15.8,-0.14516104797414897,-17.775
209,TVSMOTOR,-2.6837035108449663,2350.0,39.900000000000006,-0.3178817895302972,2200.0,10.875,-0.10811431166278618,-18.150000000000006
149,MUTHOOTFIN,-2.5378569208224167,2140.0,37.55,-0.34486522902703576,2000.0,9.5,-0.10993476147790371,-18.549999999999997
5,ACC,-3.2262759557539296,1940.0,37.5,-0.34583448515065296,1800.0,9.475000000000001,-0.10952461302212824,-18.549999999999997
143,METROPOLIS,2.3365069845315745,1980.0,56.6,-0.3570558507705124,1840.0,18.525,-0.1513413608707006,-19.550000000000004
160,OBEROIRLTY,-2.3011351088732828,2140.0,50.2,-0.34438805504966963,1980.0,15.1,-0.127997003019103,-20.000000000000004
141,MAXHEALTH,-2.012626583619338,1120.0,28.875,-0.35453860605626164,980.0,4.15,-0.06765794070035636,-20.575
55,COLPAL,-2.524395417904115,2700.0,53.650000000000006,-0.37281288071629637,2550.0,16.125,-0.1443209626311024,-21.400000000000006
41,BRITANNIA,-0.8665690057152289,4700.0,61.275000000000006,-0.3359785428412235,4500.0,19.725,-0.1320042946580906,-21.825000000000003
72,ESCORTS,-1.093162924173841,3250.0,58.375,-0.3385476349960088,3050.0,17.275,-0.12293106523914965,-23.825000000000003
152,NAVINFLUOR,-0.5153417841487975,3250.0,51.85,-0.31344264103908115,3050.0,13.825,-0.10480346975660781,-24.200000000000003
203,TCS,-0.07825013143576764,4000.0,73.575,-0.366427390381334,3800.0,24.475,-0.1523163636591538,-24.625
206,TITAN,0.3773258828273518,3400.0,48.275,-0.33221583946944055,3200.0,11.725000000000001,-0.1005847924499852,-24.824999999999996
147,MPHASIS,0.948254863068518,2800.0,61.974999999999994,-0.33351361536266544,2600.0,18.15,-0.12291444199525758,-25.674999999999997
71,EICHERMOT,-0.9675663500882165,5150.0,72.9,-0.3337123611879911,4900.0,23.375,-0.12822816640274293,-26.150000000000006
60,CUMMINSIND,-1.6422849720100208,3100.0,65.7,-0.3602931387490813,2900.0,19.700000000000003,-0.1352655601860987,-26.299999999999997
187,SHRIRAMFIN,-2.749073575264868,2900.0,72.775,-0.3667200751974995,2700.0,23.225,-0.14684225083945024,-26.325000000000003
69,DMART,-2.176465499128672,3850.0,92.675,-0.3611254866097675,3600.0,31.275,-0.15079625579915334,-30.125
104,INDIAMART,-3.358893333038694,2100.0,45.55,-0.31885328388476486,1900.0,7.275,-0.07213738917579093,-30.999999999999996
66,DIVISLAB,-2.847443137448316,5750.0,89.475,-0.3299046919182893,5450.0,28.225,-0.12679124887896265,-33.02499999999999
86,HDFCAMC,-3.0307321909078033,4000.0,91.35,-0.3617300146173067,3750.0,29.025,-0.14583694781048528,-33.3
127,LALPATHLAB,1.9651320243737307,2900.0,64.625,-0.3274350984515675,2650.0,15.625,-0.10038405544146356,-33.375
10,ALKEM,-0.13399607065576594,5400.0,99.15,-0.36650095332668475,5100.0,31.375,-0.14202848400393298,-36.400000000000006
89,HEROMOTOCO,-1.1169251707065257,4100.0,58.675,-0.3224300661184303,3800.0,11.125,-0.07662207496556683,-36.425
27,BALKRISIND,-3.196759013551287,2650.0,54.95,-0.3383559472321249,2400.0,8.975000000000001,-0.0749467091779501,-37.0
106,INDIGO,-4.702044270253419,4150.0,80.2,-0.33573534926997906,3800.0,20.775,-0.1011341560450334,-38.650000000000006
83,HAL,-2.8529557756399653,4000.0,81.375,-0.35196457450316276,3700.0,20.925,-0.1123459697725736,-39.525
171,PIIND,-1.7085536420600507,3500.0,59.625,-0.3205017862709072,3200.0,9.875,-0.06999391599994431,-39.875
79,GODREJPROP,-4.278697471348008,2550.0,60.3,-0.3502851100016421,2300.0,9.675,-0.07911414171493703,-40.949999999999996
26,BAJFINANCE,-0.49361598965628706,7200.0,108.425,-0.33282961824109614,6800.0,33.474999999999994,-0.1213655291485467,-41.47500000000001
14,APOLLOHOSP,1.7902097902097907,7300.0,112.44999999999999,-0.350977088260077,6950.0,35.400000000000006,-0.1365126648799202,-41.64999999999998
134,LTIM,0.048725735019011736,5600.0,126.75,-0.3623712348833894,5250.0,41.75,-0.14826337163726389,-43.25
174,POLYCAB,-3.399347236820269,6800.0,160.575,-0.36354288074152596,6400.0,58.025,-0.161978706891727,-44.52499999999999
42,BSE,-5.047095029376107,4900.0,139.2,-0.3449686317347427,4500.0,46.8,-0.1406362408465155,-45.599999999999994
199,TATAELXSI,-2.450142020839769,6300.0,161.25,-0.3677737055234578,5900.0,57.599999999999994,-0.16223007019056845,-46.05000000000001
118,JKCEMENT,-1.075268817204301,4550.0,83.8,-0.332538901600002,4200.0,18.8,-0.094568170276212,-46.199999999999996
167,PERSISTENT,-1.9042721457344771,6100.0,151.275,-0.3530455041406617,5700.0,51.55,-0.14999638767320778,-48.17500000000001
140,MARUTI,-1.362320414753667,11600.0,153.075,-0.35672059238003506,11100.0,51.875,-0.14147763941605163,-49.32499999999999
188,SIEMENS,-1.9415056296866862,6300.0,127.875,-0.3421887514400923,5900.0,38.55,-0.12939612348485618,-50.775000000000006
24,BAJAJ-AUTO,-1.5065683042489675,8600.0,141.75,-0.32678919949698004,8100.0,44.475,-0.12275204584735266,-52.8
1,ABB,-2.745227364332564,6500.0,138.325,-0.3783727680042387,6100.0,41.925,-0.14403858169367878,-54.474999999999994
12,ANGELONE,-3.0648281247227107,2600.0,83.725,-0.3299310864943419,2200.0,13.425,-0.06844991056276784,-56.87499999999999
135,LTTS,-0.7384756199034781,4600.0,95.275,-0.32488482617558545,4200.0,17.875,-0.08282601789758237,-59.525000000000006
211,ULTRACEMCO,-2.062178445708097,11300.0,176.22500000000002,-0.34275823860054455,10700.0,57.025000000000006,-0.13127281917729294,-62.17500000000001
151,NAUKRI,-2.8088372118629605,8600.0,185.95,-0.36000865329727727,8100.0,59.575,-0.1472836662736846,-66.79999999999998
124,KEI,-3.0305793318820595,4100.0,99.425,-0.3367009000664638,3600.0,15.850000000000001,-0.06885548562236177,-67.725
208,TRENT,-4.443581039630281,6800.0,154.125,-0.34957742819577664,6300.0,41.224999999999994,-0.12060703799725414,-71.67500000000001
156,NIFTY,-1.5206040079029073,23400.0,243.625,-0.35846072050896693,22700.0,84.175,-0.15167692770263763,-75.275
54,COFORGE,-0.5937506453811363,9300.0,202.5,-0.33468662813997296,8700.0,62.95,-0.1319126075726601,-76.6
44,CAMS,-4.89659576558432,4700.0,130.3,-0.36654448240452,4200.0,21.450000000000003,-0.08557290621626623,-87.4
161,OFSS,-3.1703828219074017,11500.0,294.15,-0.3326019794057612,10500.0,80.525,-0.11469306501231735,-133.09999999999997
39,BOSCHLTD,-2.07306753906868,33000.0,534.15,-0.35339255244047363,31500.0,192.7,-0.1532012577224966,-148.75
67,DIXON,-2.5576594686898817,17500.0,439.05,-0.3582370752664936,16250.0,132.175,-0.13792413495878986,-174.7
31,BANKNIFTY,-2.0666534007553765,49300.0,578.65,-0.34648878343261025,47500.0,191.075,-0.1398059012662577,-196.5
2,ABBOTINDIA,1.4150474183350894,29500.0,541.175,-0.37372068006991177,28000.0,170.875,-0.14923831499939766,-199.42499999999995
148,MRF,-2.8133937617642957,120000.0,1464.75,-0.305029088401074,113000.0,320.25,-0.08397825803632952,-824.25
