,symbol,pct_change,strike_price_near,opt_ltp_near,strike_price_far,opt_ltp_far,bcrs_val
46,DIXON,0.33696495429554424,15500.0,159.475,15600.0,139.75,120.025
96,MCX,0.06534359842170079,6200.0,60.975,6300.0,40.125,19.275
120,POLYCAB,2.291986758113823,6700.0,39.425,6800.0,25.375,11.325000000000003
113,PEL,-0.20631417330390558,1080.0,9.375,1100.0,5.875,2.375
134,TATACHEM,0.37825059101654845,1100.0,8.35,1120.0,5.1,1.8499999999999996
124,RECLTD,0.408082014531701,520.0,6.275,530.0,3.975,1.6749999999999998
73,IGL,-18.398427904691722,340.0,7.75,350.0,4.45,1.1500000000000004
31,BSOFT,-1.671881984801073,570.0,4.775,580.0,2.9000000000000004,1.0250000000000004
149,VEDL,5.190311418685121,470.0,4.8,480.0,2.9000000000000004,1.0000000000000009
12,AUBANK,0.8280310293733113,600.0,3.425,610.0,2.1500000000000004,0.8750000000000009
103,NATIONALUM,11.465576005453308,255.0,2.775,260.0,1.8250000000000002,0.8750000000000004
76,INDUSINDBK,-1.2006861063464838,1040.0,6.825,1060.0,3.8499999999999996,0.8749999999999991
99,MGL,-14.31175934366454,1160.0,21.35,1200.0,11.05,0.75
132,SUNPHARMA,-0.7556533017537923,1820.0,3.95,1840.0,2.3499999999999996,0.7499999999999991
84,JUBLFOOD,1.1714589989350372,640.0,3.05,650.0,1.85,0.6500000000000004
144,TRENT,-2.0870694453033205,6500.0,78.55,6700.0,39.599999999999994,0.6499999999999915
29,BPCL,-1.4077425842131726,305.0,2.175,310.0,1.3250000000000002,0.47500000000000053
34,CHAMBLFERT,0.08605851979345956,480.0,4.525,490.0,2.5,0.47499999999999964
87,LAURUSLABS,0.020580366330520683,500.0,4.8,510.0,2.625,0.4500000000000002
70,ICICIPRULI,0.014399884800921593,720.0,2.9000000000000004,730.0,1.65,0.39999999999999947
107,NMDC,3.315219873053564,235.0,2.125,240.0,1.225,0.3250000000000002
50,EXIDEIND,-0.011946004061641383,430.0,4.175,440.0,2.2,0.22500000000000053
67,HINDPETRO,-0.21464985242822648,385.0,4.0,395.0,2.05,0.09999999999999964
9,ASHOKLEY,0.7197251114413076,225.0,1.025,230.0,0.525,0.025000000000000133
111,ONGC,-0.13910969793322736,260.0,1.3250000000000002,265.0,0.675,0.02499999999999991
2,ABCAPITAL,-0.8758970029548332,195.0,1.375,200.0,0.7,0.02499999999999991
32,CANBK,0.18450184501845018,101.0,0.875,104.0,0.42500000000000004,-0.02499999999999991
54,GMRINFRA,0.9373779455800026,80.0,0.775,82.0,0.375,-0.025000000000000022
19,BANDHANBNK,-0.5134634903576334,170.0,2.2,175.0,1.0750000000000002,-0.04999999999999982
100,MOTHERSON,1.0134523737708871,170.0,2.7,175.0,1.3250000000000002,-0.04999999999999982
119,PNB,1.4332965821389196,104.0,1.125,107.0,0.525,-0.07499999999999996
52,GAIL,-1.5920029618659755,190.0,2.375,195.0,1.15,-0.07500000000000018
37,COALINDIA,1.2773722627737227,430.0,2.1500000000000004,440.0,1.025,-0.10000000000000053
51,FEDERALBNK,-0.1568905308973126,205.0,0.975,210.0,0.42500000000000004,-0.12499999999999989
93,MANAPPURAM,-0.2578815034491651,160.0,1.5750000000000002,165.0,0.725,-0.12500000000000022
71,IDFCFIRSTB,2.9959003468937246,67.0,0.625,69.0,0.225,-0.175
66,HINDALCO,4.997210488563003,680.0,5.05,700.0,2.425,-0.20000000000000018
139,TATASTEEL,2.970799217448011,145.0,1.375,150.0,0.575,-0.2250000000000001
68,HINDUNILVR,0.3846073451641897,2480.0,6.0,2520.0,2.875,-0.25
53,GLENMARK,0.24659312134977288,1600.0,13.05,1640.0,6.35,-0.3500000000000014
133,SYNGENE,-0.7870825857977891,880.0,6.475,900.0,3.05,-0.375
41,CUB,-0.14514630747793777,175.0,1.8250000000000002,180.0,0.7,-0.42500000000000027
137,TATAMOTORS,0.09658103148541627,800.0,5.6,820.0,2.575,-0.4499999999999993
72,IEX,0.12360939431396788,165.0,1.85,170.0,0.7,-0.4500000000000002
22,BEL,0.23127557374132715,290.0,2.925,300.0,1.225,-0.47499999999999964
123,RBLBANK,1.4593826682164537,160.0,2.05,165.0,0.775,-0.4999999999999998
81,ITC,-0.05353892279687333,480.0,1.3250000000000002,495.0,0.375,-0.5750000000000002
109,OBEROIRLTY,-1.6264294790343075,2000.0,20.2,2060.0,9.8,-0.5999999999999979
39,CONCOR,0.16496415202081086,810.0,6.025,830.0,2.7,-0.625
77,INDUSTOWER,1.762114537444934,330.0,4.45,340.0,1.9,-0.6500000000000004
23,BERGEPAINT,-0.731484303565986,505.0,1.85,520.0,0.575,-0.7000000000000002
27,BIOCON,-1.811701811701812,340.0,3.0,350.0,1.15,-0.7000000000000002
21,BATAINDIA,-0.7574888098244004,1340.0,4.725,1370.0,2.0,-0.7249999999999996
43,DABUR,-0.29495624815652344,520.0,2.3,535.0,0.775,-0.7499999999999998
121,POWERGRID,-0.2716088832081802,320.0,1.775,330.0,0.475,-0.825
115,PETRONET,-0.3970144513260283,320.0,2.5999999999999996,330.0,0.875,-0.8499999999999996
20,BANKBARODA,-0.9925558312655087,245.0,2.525,255.0,0.825,-0.875
78,INFY,-2.9576596144048484,1860.0,4.9,1900.0,2.0,-0.9000000000000004
25,BHARTIARTL,-0.5600798274696623,1600.0,3.875,1640.0,1.475,-0.9249999999999998
6,AMBUJACEM,1.376904718193501,570.0,3.575,590.0,1.3250000000000002,-0.9249999999999998
26,BHEL,0.21879883902656844,230.0,3.225,240.0,1.1,-1.025
138,TATAPOWER,0.8390918065153012,420.0,3.725,435.0,1.3250000000000002,-1.0749999999999997
126,SBICARD,0.39128829826504247,700.0,3.3499999999999996,720.0,1.125,-1.0999999999999996
69,ICICIBANK,-0.059601859578018834,1300.0,3.675,1330.0,1.275,-1.125
74,INDHOTEL,-0.3845116028062601,760.0,5.975,780.0,2.4000000000000004,-1.174999999999999
79,IPCALAB,4.115618328132699,1640.0,8.375,1680.0,3.5999999999999996,-1.1750000000000007
151,WIPRO,-3.1957038471696455,565.0,3.5,585.0,1.125,-1.25
88,LICHSGFIN,1.0515938218862966,630.0,6.1,650.0,2.4000000000000004,-1.299999999999999
83,JSWSTEEL,1.0646225912913874,980.0,5.8,1010.0,2.25,-1.2999999999999998
148,UPL,0.9455370650529501,550.0,4.5,570.0,1.6,-1.2999999999999998
94,MARICO,0.13486176668914363,610.0,3.2,630.0,0.95,-1.3000000000000003
40,COROMANDEL,1.2002913328477787,1780.0,16.975,1820.0,7.825,-1.325000000000001
85,KOTAKBANK,0.7961363968974097,1780.0,5.0,1820.0,1.8250000000000002,-1.3499999999999996
108,NTPC,-2.0872357506020873,375.0,3.325,390.0,0.975,-1.3750000000000002
10,ASIANPAINT,0.79499596448749,2580.0,9.325,2640.0,3.95,-1.424999999999999
135,TATACOMM,-0.9023883401178514,1800.0,11.375,1840.0,4.949999999999999,-1.4750000000000014
57,GRASIM,0.10856263076862345,2620.0,7.65,2680.0,3.075,-1.5
136,TATACONSUM,0.6142903330100226,960.0,4.6,990.0,1.525,-1.5499999999999998
16,BAJAJFINSV,-1.129616661084554,1680.0,5.575,1720.0,2.0,-1.5750000000000002
82,JINDALSTEL,1.8919379580705644,920.0,7.85,950.0,2.95,-1.9499999999999993
125,RELIANCE,-0.7902807265864592,1300.0,4.824999999999999,1340.0,1.4249999999999998,-1.9749999999999996
80,IRCTC,-0.23117775695095283,820.0,6.15,850.0,2.075,-2.0
91,LUPIN,0.8259338260826431,2100.0,12.025,2160.0,5.0,-2.0250000000000004
116,PFC,1.7574886702774402,470.0,7.35,490.0,2.6500000000000004,-2.049999999999999
8,APOLLOTYRE,-0.9608277900960827,480.0,4.8,500.0,1.35,-2.0999999999999996
58,GUJGASLTD,-6.007175807278318,470.0,6.325,490.0,2.05,-2.2250000000000005
33,CANFINHOME,0.4300944996365399,850.0,8.325,880.0,3.0250000000000004,-2.2749999999999986
128,SBIN,0.4897098933796182,830.0,4.824999999999999,860.0,1.275,-2.2749999999999995
35,CHOLAFIN,2.864475536054309,1280.0,10.25,1320.0,3.95,-2.3499999999999996
24,BHARATFORG,-0.953560836430529,1360.0,9.3,1400.0,3.45,-2.4000000000000004
47,DLF,0.705697856769472,790.0,7.125,820.0,2.3499999999999996,-2.4250000000000007
13,AUROPHARMA,-0.3041825095057034,1280.0,8.05,1320.0,2.8,-2.450000000000001
4,ADANIENT,0.7319531125687311,2940.0,23.725,3020.0,10.625,-2.4750000000000014
62,HDFCAMC,-1.4148518553135807,4350.0,35.1,4450.0,16.3,-2.5
64,HDFCLIFE,-0.5171670736963081,710.0,4.2,740.0,0.825,-2.5500000000000003
5,ADANIPORTS,1.2023495092048726,1320.0,9.9,1360.0,3.6500000000000004,-2.5999999999999996
14,AXISBANK,-1.1679279121648223,1160.0,5.4,1200.0,1.375,-2.6500000000000004
63,HDFCBANK,1.0915742270474393,1760.0,5.125,1810.0,1.225,-2.675
142,TITAN,-0.16959000047108333,3300.0,11.225000000000001,3400.0,4.25,-2.7250000000000014
3,ACC,0.6204662621469957,2280.0,9.175,2340.0,3.0999999999999996,-2.9750000000000014
42,CUMMINSIND,0.27736131934032987,3450.0,29.275,3550.0,13.100000000000001,-3.0749999999999957
11,ASTRAL,-1.0771579159586417,1760.0,11.524999999999999,1800.0,4.225,-3.0749999999999993
98,MFSL,0.1339448796525551,1260.0,14.075,1300.0,5.475,-3.125
105,NAVINFLUOR,-0.9566854990583804,3400.0,21.0,3500.0,8.9,-3.1999999999999993
131,SRF,-0.5476084041126509,2300.0,11.5,2360.0,4.15,-3.1999999999999993
55,GODREJCP,1.2000510660028088,1220.0,7.0,1260.0,1.9,-3.2
140,TCS,-2.9132652446009337,4150.0,12.600000000000001,4250.0,4.625,-3.3500000000000014
127,SBILIFE,0.019198771278638168,1600.0,7.525,1640.0,2.05,-3.4250000000000007
117,PIDILITIND,0.1307232803269737,3120.0,12.2,3200.0,4.375,-3.4499999999999993
152,ZYDUSLIFE,-0.30820665517421514,980.0,6.35,1020.0,1.4249999999999998,-3.5
118,PIIND,-2.656834380071978,4300.0,25.575,4400.0,11.025,-3.5249999999999986
36,CIPLA,-0.3030706720841937,1540.0,6.825,1600.0,1.65,-3.5250000000000004
106,NESTLEIND,0.6832567811521675,2260.0,8.425,2340.0,2.3,-3.825000000000001
49,ESCORTS,0.034248530167246986,3600.0,28.725,3700.0,12.375,-3.9750000000000014
146,UBL,0.6119819626368908,1920.0,13.25,1980.0,4.550000000000001,-4.149999999999999
141,TECHM,-1.973918197984588,1700.0,9.0,1760.0,2.3499999999999996,-4.300000000000001
60,HAVELLS,0.7054184764193081,1680.0,9.125,1740.0,2.4000000000000004,-4.324999999999999
61,HCLTECH,-1.2910861262036688,1880.0,8.675,1940.0,2.0999999999999996,-4.475000000000001
150,VOLTAS,0.5547150781643975,1740.0,16.65,1800.0,6.0,-4.649999999999999
122,PVRINOX,-0.3352146399863178,1500.0,11.775,1560.0,3.5250000000000004,-4.725
89,LT,0.19804781440090538,3650.0,11.625,3750.0,3.45,-4.725
44,DALBHARAT,0.5148641573099075,1780.0,10.625,1840.0,2.9000000000000004,-4.824999999999999
97,METROPOLIS,0.16935424490096457,2100.0,17.075000000000003,2180.0,5.85,-5.3750000000000036
102,MUTHOOTFIN,7.174420895606406,1960.0,15.875,2020.0,5.2,-5.475
86,LALPATHLAB,1.5530047265361244,3100.0,19.875,3200.0,7.15,-5.574999999999999
130,SIEMENS,-0.550122702570452,6900.0,67.325,7100.0,30.674999999999997,-5.9750000000000085
0,ABB,0.29327045057683987,6900.0,66.69999999999999,7100.0,30.175,-6.349999999999987
18,BALKRISIND,0.5245710538778187,2850.0,15.675,2950.0,4.449999999999999,-6.775000000000002
104,NAUKRI,-2.5387570708728306,7800.0,67.175,8000.0,30.0,-7.174999999999997
143,TORNTPHARM,0.50979383101219,3200.0,26.025,3300.0,9.2,-7.625
129,SHRIRAMFIN,-0.22982409617254487,2900.0,33.375,3000.0,12.774999999999999,-7.825000000000003
7,APOLLOHOSP,-0.8532870862905695,7000.0,30.55,7200.0,11.3,-7.949999999999999
30,BRITANNIA,0.13015669646034797,5050.0,29.174999999999997,5200.0,10.524999999999999,-8.125
145,TVSMOTOR,1.3329167968343227,2500.0,19.5,2600.0,5.65,-8.2
92,M&M,0.9332006114685912,2900.0,29.825,3000.0,10.649999999999999,-8.525000000000002
48,EICHERMOT,0.24625256725964834,5050.0,23.8,5200.0,6.9,-10.0
