,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,ltp,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val,sort_val
177,RELIANCE,-2.1818181818181817,41.76344451283569,1290.0,10.899999999999999,0.3882292614866554,1277.75,1320.0,4.175000000000001,0.17771321085685685,-2.549999999999997,-0.0019956955585990976
56,CUB,-0.5676605504587157,30.452682977329005,175.0,2.375,0.42783079487063985,173.41,180.0,1.0,0.21965291830100464,-0.375,-0.002162505045845107
30,BANKNIFTY,-1.495165906258773,99.98189695355741,49400.0,361.85,0.3505958312575829,48772.6,50500.0,123.575,0.15009888171475844,-114.70000000000002,-0.0023517302747854333
152,NIFTY,-1.249561969555816,98.29245816768511,23350.0,125.19999999999999,0.3389125647807204,23107.8,23750.0,34.599999999999994,0.12737845851431862,-56.0,-0.002423424125187166
150,NESTLEIND,-0.09282948807933526,89.7641686297229,2240.0,16.799999999999997,0.3373360917715465,2206.3,2300.0,5.65,0.1371968493215998,-5.4999999999999964,-0.002492861351584098
129,LT,-1.2889859143178943,96.96980974554933,3600.0,32.7,0.3623029906807852,3549.5,3700.0,11.125,0.1535650254281011,-10.450000000000003,-0.0029440766305113405
68,EICHERMOT,-0.9173032678306424,59.15539877737298,5050.0,44.175,0.35257769964295776,4974.1,5200.0,14.7,0.14347500402263816,-14.774999999999999,-0.002970386602601475
59,DABUR,-0.26766083548417935,91.93751697924426,530.0,4.75,0.35069303242563526,521.65,545.0,1.6,0.147558016550729,-1.5499999999999998,-0.0029713409374101407
202,TITAN,-0.9600942423796203,83.84720134294123,3400.0,36.05,0.3965537016098004,3362.9,3500.0,13.024999999999999,0.17517418863573087,-10.0,-0.0029736239555145857
127,LICI,-2.539221382916909,4.914456454771219,850.0,9.100000000000001,0.38157199259978714,838.65,880.0,3.275,0.16018372619769933,-2.5500000000000016,-0.0030406009658379557
190,SUPREMEIND,-2.2797709071975802,64.74067877923675,4000.0,62.400000000000006,0.4067544433915109,3941.35,4200.0,25.15,0.1805525945765954,-12.100000000000009,-0.0030700140814695497
136,MARUTI,-1.1029166944129987,99.57910987703592,12100.0,114.45,0.3434157007738124,11881.1,12500.0,38.825,0.14122403001001638,-36.8,-0.003097356305392598
111,IRCTC,-1.091069626639758,88.55454100203384,800.0,8.100000000000001,0.3418798073831308,784.15,830.0,2.825,0.14041867965230026,-2.450000000000001,-0.00312440221896321
