,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,ltp,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val,sort_val
108,IOC,-1.2145443572721788,66.7473345844688,130.0,2.975,-0.4429677483791902,130.95,125.0,1.3250000000000002,-0.23986234075823276,-0.32499999999999973,-0.002481863306605573
152,NESTLEIND,-0.47829937998228533,29.538247999766693,2220.0,25.975,-0.3795737059187869,2247.2,2160.0,9.875,-0.1795602596713043,-6.225000000000001,-0.002770113919544323
154,NIFTY,-0.5543785758686745,85.68275441770932,23200.0,184.475,-0.33928660553189105,23517.0,22600.0,58.65,-0.1336171223886734,-67.175,-0.002856444274354722
191,SUNPHARMA,-2.44606668119416,78.13910418392891,1760.0,19.799999999999997,-0.34623590664346027,1790.7,1700.0,6.9,-0.14538293107177913,-5.9999999999999964,-0.0033506449991623365
40,BRITANNIA,0.27355900262414007,51.95449815186595,4850.0,57.275000000000006,-0.335318057890293,4948.45,4650.0,20.075,-0.1348226881998842,-17.125000000000007,-0.0034606796067455483
30,BANKNIFTY,-1.7361874777176889,99.12188225362148,48200.0,513.7750000000001,-0.3556637100050126,48922.85,46700.0,171.95,-0.14734921866507245,-169.8750000000001,-0.0034723038416609032
138,MARUTI,-0.988303447807215,15.450787801466195,11500.0,145.5,-0.37684938255211897,11656.35,11100.0,52.425,-0.16276928646839506,-40.650000000000006,-0.003487369545355107
86,HDFCBANK,-0.7782913374086775,97.05217498000664,1640.0,22.875,-0.3780411720501733,1663.7,1580.0,8.475,-0.16809456758748342,-5.925000000000001,-0.0035613391837470702
202,TCS,4.574691765057168,34.186714818352016,4150.0,52.3,-0.382288822164377,4202.7,4000.0,18.325,-0.15940697351418787,-15.649999999999999,-0.0037237966069431556
71,ESCORTS,0.24978694642804666,30.062744441316557,3350.0,61.150000000000006,-0.37959518036223927,3411.4,3200.0,23.775,-0.1758553110510881,-13.600000000000009,-0.003986633053878175
25,BAJAJFINSV,0.5930078182622807,18.251091915033115,1680.0,24.200000000000003,-0.3794324799086397,1704.8,1620.0,8.55,-0.16808868376310304,-7.100000000000001,-0.004164711403097139
