,symbol,pct_change,ivp,strike_price,opt_ltp,params.delta,strike_price_far,opt_ltp_far,params.delta_far,bcrs_val
220,YESBANK,0.8975712777191129,7.134681105279163,20.0,0.475,0.3575843744548712,22.0,0.125,0.12059782061014007,-0.22499999999999998
100,IDFCFIRSTB,-0.06371455877668047,83.28859977561879,65.0,1.0750000000000002,0.3408862649014002,69.0,0.32499999999999996,0.13074183895385566,-0.42500000000000027
155,NHPC,-0.0759589821496392,0.49017939151716866,82.0,1.525,0.34666474680681375,88.0,0.525,0.14066448382050278,-0.47499999999999987
112,IRB,1.8763029881862403,0.05709285861203046,61.0,1.275,0.356177377056644,66.0,0.375,0.13147174184167199,-0.5249999999999999
45,CANBK,0.5425325007677346,60.75026781777293,102.0,1.6749999999999998,0.33425623944039234,108.0,0.525,0.13334793877128356,-0.6249999999999998
30,BANKINDIA,0.6133735545500252,99.99999985048603,104.0,2.175,0.3580792827720175,111.0,0.725,0.15135963289124493,-0.7249999999999999
172,PNB,1.0965341687879382,44.44676417861027,107.0,1.775,0.3407282482438334,114.0,0.5,0.12288513852987565,-0.7749999999999999
213,UNIONBANK,-0.9454609121946949,100.0,118.0,2.625,0.3575085972317819,127.0,0.875,0.14860474936324483,-0.875
28,BANDHANBNK,2.1547759821311256,38.74342351992304,160.0,3.025,0.37335390239912725,170.0,1.05,0.15728351886530553,-0.9249999999999998
90,HFCL,2.390289449112979,6.302846452690591,115.0,2.375,0.3385030050146095,125.0,0.675,0.12162806450426923,-1.025
146,MOTHERSON,-0.4203854611305135,44.954814944537034,160.0,2.875,0.3423859825968757,170.0,0.925,0.13946022712801634,-1.025
101,IEX,0.1608640698609675,44.821333731290444,180.0,3.525,0.3674236241955182,190.0,1.225,0.1637039096817499,-1.0749999999999997
110,IOC,1.0401855870687722,46.24625557713609,140.0,1.9249999999999998,0.3189442008253021,150.0,0.42500000000000004,0.09107303558798197,-1.0749999999999997
3,ABCAPITAL,2.042317266349853,30.90460542910551,185.0,3.375,0.3795623409307392,195.0,1.125,0.16121712878639954,-1.125
16,ASHOKLEY,-1.0993360010553626,47.419715096931945,230.0,3.575,0.3743601459542695,240.0,1.225,0.16438101302110428,-1.125
190,SJVN,1.4421661924850389,5.422412432987907,110.0,1.875,0.29298399369592554,125.0,0.35,0.06635563633113424,-1.175
133,LTF,1.6528925619834711,63.14887405199201,140.0,2.625,0.35725590898508597,150.0,0.675,0.12237285399279046,-1.275
59,CUB,1.0033050047214354,14.097343978853061,175.0,2.9000000000000004,0.38073683974564976,185.0,0.75,0.1323162178603688,-1.4000000000000004
183,SAIL,1.0197635592455556,38.905279951075535,115.0,2.625,0.3960263018312909,125.0,0.575,0.11993170399284625,-1.475
114,IRFC,0.32566518847006654,0.29077518145301123,150.0,4.074999999999999,0.3921998114921888,165.0,1.275,0.15013862560599772,-1.5249999999999995
33,BEL,1.5207780725022104,36.40141931544545,295.0,5.574999999999999,0.37688048388275935,310.0,2.025,0.17340869910997236,-1.5249999999999995
163,ONGC,3.435024703944789,18.498403798921583,270.0,3.925,0.36442903657642717,285.0,1.1749999999999998,0.1340979065432445,-1.5750000000000002
168,PETRONET,0.8497723823975721,56.163045167525695,340.0,5.15,0.36991572979783327,355.0,1.775,0.16124292260148645,-1.6000000000000005
159,NYKAA,0.4608026131591228,0.0005100314471814614,180.0,3.125,0.32612101836066415,195.0,0.75,0.10132538848222232,-1.625
75,GAIL,1.2533765532144787,75.00906175175909,195.0,3.125,0.32717144445422064,210.0,0.725,0.09906764148469388,-1.675
176,POWERGRID,-0.34135240572171655,47.9583507601394,315.0,3.725,0.32959373633910344,330.0,1.025,0.11642548441658085,-1.6750000000000003
150,NATIONALUM,2.566015217066985,40.285323158217324,215.0,3.975,0.33844260865206605,230.0,1.125,0.1251789770628669,-1.725
29,BANKBARODA,1.955380577427822,79.41674767018937,240.0,4.175000000000001,0.36274911993617437,255.0,1.125,0.12943885530938673,-1.9250000000000007
4,ABFRL,1.876172607879925,65.34140772462871,280.0,4.9,0.358982263827279,300.0,1.45,0.1297097310608778,-2.0000000000000004
221,ZOMATO,-4.636260836788542,1.1949081154502355,265.0,5.6,0.3433099175621414,285.0,1.775,0.13830166927942955,-2.05
158,NTPC,0.25883069427527405,39.755579653148885,335.0,5.2,0.394647712340836,350.0,1.5750000000000002,0.15808010291444788,-2.05
153,NCC,4.713546656447595,0.42016730165668836,285.0,5.550000000000001,0.34289142845525594,305.0,1.75,0.13688501243050155,-2.0500000000000007
48,CESC,2.3184277983480492,99.99999999999999,190.0,3.725,0.3176730227948674,210.0,0.825,0.09166009650036233,-2.075
40,BPCL,-0.42046250875963564,35.94608959350343,295.0,4.25,0.3212631320738872,315.0,1.0750000000000002,0.10359516076270636,-2.0999999999999996
74,FEDERALBNK,-0.10570824524312897,98.12618593830497,205.0,3.675,0.35695837643227735,220.0,0.775,0.10553408868098717,-2.125
115,ITC,-0.22492127755285649,98.22579213367851,455.0,5.675000000000001,0.34148435300939567,475.0,1.775,0.13483211973690454,-2.125000000000001
37,BHEL,2.128335451080051,34.5871935070218,235.0,4.175000000000001,0.3304488207577616,255.0,0.925,0.09741711731395306,-2.3250000000000006
95,HUDCO,0.09980869999168263,1.5084530188478658,255.0,5.1,0.3174919571308642,280.0,1.375,0.10722076635440649,-2.3499999999999996
202,TATAPOWER,0.342601133219133,43.698132195160845,395.0,5.475,0.31847517443924356,420.0,1.525,0.11028939726345917,-2.425
